HID	I001	I002	I003	I004	I005	I006	I007	I008	I009	I010	I991	I992	I993	I994	I995	I996	I997	I998	I999	I1000
75	7	9	4	7	4	1	7	7	3	8	6	7	7	5	1	1	10	5	7	5
76	9	8	1	1	7	4	3	9	1	6	1	9	8	6	9	10	3	2	4	2
77	4	10	7	7	9	4	1	4	9	1	4	1	6	9	2	6	1	6	3	9
78	9	8	4	6	7	10	10	6	3	3	5	10	8	8	10	9	6	9	1	4
79	1	10	2	8	6	9	6	1	9	2	5	8	3	8	4	7	8	4	8	4
80	9	3	7	8	1	6	9	8	7	6	7	10	6	4	3	10	7	5	1	2
81	6	5	9	7	7	4	9	8	1	10	6	1	6	4	6	5	7	9	4	4
82	5	10	9	7	5	7	9	7	2	1	1	8	2	6	2	4	3	6	2	8
156	4	7	9	9	2	5	4	3	6	7	2	2	8	6	9	5	7	8	5	2
157	6	6	2	7	8	2	2	2	5	3	7	10	3	6	2	3	9	9	8	1
158	10	4	3	6	9	8	5	8	2	4	2	7	7	3	5	9	5	2	8	1
159	2	7	6	1	3	8	8	3	9	3	6	6	6	5	10	2	2	9	2	6
160	3	6	5	10	2	9	6	9	3	6	10	4	6	4	5	2	5	8	4	8
161	1	7	7	9	9	1	1	6	2	6	5	7	5	6	1	1	7	2	3	10
162	3	6	1	6	9	3	8	2	1	3	10	1	4	2	9	1	7	9	9	7
238	10	8	10	10	9	4	6	7	6	9	5	5	9	10	8	8	3	9	6	2
239	5	4	3	3	9	4	6	9	3	10	5	3	4	1	8	6	4	8	8	3
240	10	4	7	5	3	7	5	9	4	5	3	3	10	1	10	2	7	9	8	6
241	6	7	6	4	7	2	10	2	2	8	3	4	7	9	3	9	1	4	5	8
242	6	5	4	6	4	5	8	7	3	1	9	1	5	4	2	10	3	10	3	8
243	4	7	1	8	5	10	8	8	10	5	1	3	2	7	1	4	3	1	9	7
255	3	10	4	4	3	4	5	6	10	3	9	8	4	1	1	7	1	7	1	6
320	7	4	1	7	7	2	6	5	10	9	5	2	1	10	4	3	3	3	4	9
321	9	9	5	10	7	6	4	5	9	9	1	10	3	10	9	10	10	1	5	1
322	8	2	10	4	5	5	10	5	8	1	5	2	6	1	9	6	3	2	7	4
323	2	6	10	6	5	5	3	1	2	7	2	4	5	7	6	7	9	9	10	6
324	8	9	9	3	4	3	9	9	7	8	7	6	1	5	3	8	2	5	3	2
325	5	4	9	2	7	4	2	6	8	10	7	7	9	10	4	4	9	2	9	1
335	3	5	5	9	5	1	7	2	7	4	7	6	7	10	1	7	1	4	9	2
336	7	5	7	3	8	10	7	1	7	3	6	6	10	7	6	10	5	8	2	7
401	3	1	3	1	3	5	9	5	2	3	9	6	1	9	1	1	10	9	8	5
402	7	4	7	3	10	3	7	8	1	9	1	1	10	2	5	10	8	8	6	10
403	1	9	4	9	3	2	9	1	7	8	5	6	5	10	5	1	2	10	2	8
404	5	8	5	5	8	9	2	6	9	6	3	9	5	10	3	8	6	9	3	9
405	3	10	1	6	4	6	5	3	3	10	7	7	4	1	7	10	2	5	7	2
406	5	2	9	7	5	8	1	5	9	3	7	7	9	8	3	3	3	6	10	1
412	6	9	3	2	9	10	8	9	9	1	3	9	8	4	9	3	4	3	8	10
416	8	1	4	10	3	3	3	10	4	4	2	9	8	10	5	10	5	4	9	3
417	2	1	1	7	8	2	4	9	2	9	8	2	7	7	3	3	1	2	2	7
418	7	2	9	2	5	6	2	3	10	10	2	8	10	2	5	5	6	7	6	10
421	3	10	9	9	6	5	6	5	6	1	3	2	10	1	8	7	10	1	1	1
483	2	10	10	2	6	4	7	6	9	1	9	6	9	5	8	5	1	4	2	2
484	8	6	1	1	10	3	6	7	9	5	3	6	10	3	3	8	10	3	8	9
485	9	3	8	9	4	9	8	9	9	6	8	4	1	5	4	10	6	9	9	1
486	5	9	3	7	2	4	9	4	1	10	9	3	2	7	8	9	4	6	5	10
487	1	8	5	4	6	7	2	8	7	9	2	8	6	9	6	10	3	4	7	8
493	5	1	6	9	1	6	2	8	8	7	7	7	6	1	4	5	1	10	2	6
494	2	2	9	4	5	8	3	4	8	9	5	2	4	1	3	5	7	5	5	3
498	2	4	9	2	1	7	7	10	3	10	9	9	6	10	10	3	5	7	10	5
499	10	9	8	10	2	10	10	2	10	4	4	4	10	2	7	2	1	5	7	9
502	2	3	2	1	4	7	4	5	3	7	7	1	1	2	9	2	2	7	2	6
503	3	7	2	9	2	7	3	2	4	10	7	7	5	6	9	10	5	4	5	2
564	8	9	5	9	8	3	3	8	3	2	8	5	2	2	6	10	2	7	8	5
565	3	10	9	7	6	10	3	8	3	8	9	8	5	5	4	9	8	7	2	7
566	5	8	9	7	8	9	3	1	6	2	4	5	8	10	9	2	8	7	9	10
567	1	6	9	7	8	9	6	1	1	1	1	4	9	4	5	1	2	10	7	5
568	1	1	7	7	9	6	3	8	6	5	10	10	5	6	5	1	4	4	7	1
573	8	6	4	8	10	6	8	2	9	10	4	3	8	6	1	8	9	1	1	5
574	8	10	8	8	8	3	10	1	7	10	4	2	2	3	4	6	1	6	8	9
575	6	4	3	6	5	4	5	1	6	7	8	8	9	4	5	3	2	9	7	8
578	1	9	10	1	10	2	6	5	6	8	9	2	10	3	10	9	9	2	10	6
579	5	2	10	8	9	6	2	4	9	2	9	5	6	5	3	7	7	10	9	6
580	6	6	4	8	8	4	2	8	4	9	3	4	10	7	6	9	7	7	9	9
582	6	7	4	8	9	9	2	9	9	5	3	8	3	2	3	4	2	7	8	4
583	7	8	7	2	1	7	5	7	7	2	6	7	8	3	7	1	8	8	2	8
645	4	6	7	9	2	5	3	8	4	4	2	6	3	10	1	8	4	2	5	8
646	10	1	9	2	9	4	7	9	7	5	9	5	9	2	6	7	10	9	5	2
647	4	3	8	3	6	3	1	2	3	4	6	3	3	6	6	8	3	10	8	8
648	10	7	7	1	5	7	8	2	8	1	2	6	9	7	1	8	10	2	10	6
649	10	9	5	5	4	8	2	6	5	8	8	4	8	3	2	9	6	7	2	4
654	9	6	8	1	10	2	5	7	9	10	7	2	6	9	3	9	4	8	10	4
655	1	5	2	3	8	7	6	6	9	2	9	1	9	6	8	2	9	8	8	1
656	7	4	9	5	4	7	1	8	2	8	8	3	10	2	4	1	10	7	10	3
657	1	6	2	9	5	3	6	3	6	3	1	3	6	8	6	2	8	1	3	5
660	2	8	7	5	2	1	2	10	1	2	6	2	4	3	4	8	4	8	1	10
661	10	5	8	5	4	5	5	10	7	6	2	1	9	6	7	5	10	2	6	6
663	7	6	9	8	8	1	8	7	1	9	4	3	4	6	5	2	8	5	9	7
664	3	1	3	3	2	3	5	9	5	7	8	6	3	9	9	4	3	3	2	9
665	3	2	4	1	4	2	5	3	9	3	5	5	2	7	5	1	1	2	3	9
666	3	10	6	3	5	8	9	7	10	3	2	9	6	3	10	8	4	3	4	4
727	1	1	8	7	7	10	8	10	4	2	1	5	9	3	9	4	8	10	9	10
728	2	2	5	7	8	4	1	2	5	3	3	7	6	2	4	2	9	7	3	1
