ID	I0001	I0002	I0003	I0004	I0005	I0006	I0007	I0008	I0009	I0010	I0991	I0992	I0993	I0994	I0995	I0996	I0997	I0998	I0999	I1000
75	10	3	4	7	4	3	9	3	1	8	3	3	8	3	4	6	10	7	9	10
76	10	3	4	7	4	3	9	3	1	8	3	3	8	3	4	6	10	7	9	10
77	10	3	4	7	4	7	9	3	1	8	3	3	8	3	4	6	10	7	9	10
78	10	3	4	7	4	7	9	3	7	8	3	3	8	3	4	6	10	7	9	10
79	10	3	4	7	4	7	9	3	7	8	3	3	8	3	4	6	10	7	9	10
80	10	3	4	7	4	7	9	3	7	8	3	3	8	3	4	6	10	7	9	10
81	10	3	4	7	4	7	9	3	7	8	3	3	8	3	4	6	10	7	9	10
82	10	3	4	7	4	7	9	3	7	8	3	3	8	3	4	6	10	7	9	10
156	10	3	4	7	4	3	9	3	1	8	3	3	8	3	4	6	10	7	9	10
157	10	3	4	7	4	7	9	3	1	8	3	3	8	3	4	6	10	7	9	10
158	10	3	4	7	4	7	9	3	7	8	3	3	8	3	4	6	10	7	9	10
159	10	3	4	7	4	7	9	3	7	8	3	3	8	3	4	6	10	7	9	10
160	10	3	4	7	4	7	9	3	7	8	3	3	8	3	4	6	10	7	9	10
161	10	3	4	7	4	7	9	3	7	8	3	3	8	3	4	6	10	7	9	10
162	10	3	4	7	4	7	9	3	7	8	3	3	8	3	4	6	10	7	9	10
238	10	3	4	7	4	3	9	3	1	8	4	3	8	3	4	6	10	7	9	10
239	10	3	4	7	4	7	9	3	1	8	4	3	8	3	4	6	10	7	9	10
240	10	3	4	7	4	7	9	3	7	8	4	3	8	3	4	6	10	7	9	10
241	10	3	4	7	4	7	9	3	7	8	4	3	8	3	4	6	10	7	9	10
242	10	3	4	7	4	7	9	3	7	8	4	3	8	3	4	6	10	7	9	10
243	10	3	4	7	4	7	9	3	7	8	4	3	8	3	4	6	10	7	9	10
255	1	10	6	1	5	4	1	5	1	1	5	10	1	5	7	7	9	6	5	1
320	10	3	4	7	4	3	9	3	1	8	4	3	8	3	4	6	10	7	9	10
321	10	3	4	7	4	7	9	3	7	8	4	3	8	3	4	6	10	7	9	10
322	10	3	4	7	4	7	9	3	7	8	4	3	8	3	4	6	10	7	9	10
323	10	3	4	7	4	7	9	3	7	8	4	3	8	3	4	6	10	7	9	10
324	10	3	4	7	4	7	9	3	7	8	4	3	8	3	4	6	10	7	9	10
325	10	3	5	7	4	7	9	3	7	8	4	3	8	3	4	6	10	7	9	10
335	1	10	6	1	5	4	1	5	1	1	5	10	1	5	10	7	9	6	5	1
336	1	10	6	1	5	4	1	5	1	1	5	10	1	5	7	7	9	6	5	1
