Feature	R	S	R.Frequency	S.Frequency	SI.Mean	SI.P.Mean	SI.Min	SI.P.Min
BIO04	TRUE	TRUE	1	0.97	47.5451472451739	0.991552103598208	17.1544814294159	0.917696828334837
BIO15	TRUE	TRUE	1	0.82	48.2423423896518	0.998920665235239	23.2674293230732	0.992150377046459
BIO18	TRUE	FALSE	1	0	49.0111247411706	0.995007807552711	21.1118916291814	0.965331248262116
CWD	TRUE	TRUE	1	0.97	49.0330561730827	0.996593593809323	30.6071939208752	0.967762496979892
DTR	TRUE	TRUE	1	0.74	48.9287874576863	0.997872182287485	35.9238315388517	0.979193335475063
R1MM	TRUE	TRUE	1	1	48.8379322529581	0.996980260221718	29.4928159551928	0.97971940055785
TR	TRUE	TRUE	1	1	48.5032137268464	0.997541598547485	27.0489675470675	0.975415985474854
TX10P	TRUE	TRUE	1	0.71	48.7755485993724	0.995130107138869	27.7418903172762	0.955504507902287
TXX	TRUE	FALSE	1	0	48.561595038112	0.99632296367294	30.030735687225	0.975126552890378
WSDI	TRUE	TRUE	1	0.91	48.3236546495938	0.995628932245474	22.1453167494416	0.95748831271011
BIO13	FALSE	TRUE	0	0.75	48.9908857619186	0.995318786375995	23.0449048942922	0.955077585397632
BIO12	FALSE	TRUE	0	0.36	48.6218939914779	0.994030941275663	27.9839277986821	0.943947986550013
R.Mean	FALSE	FALSE	0	0	48.5762402273648	0.996155021430945	26.4524554097601	0.966538904563385
S.Mean	FALSE	FALSE	0	0	48.5802462247762	0.995956917073546	26.4410759474168	0.9623956816429
