BIO01_Mean	BIO02_Mean	BIO03_Mean	BIO04_Mean	BIO05_Mean	BIO06_Mean	BIO07_Mean	BIO08_Mean	BIO09_Mean	BIO10_Mean	BIO11_Mean	BIO12_Mean	BIO13_Mean	BIO14_Mean	BIO15_Mean	BIO16_Mean	BIO17_Mean	BIO18_Mean	BIO19_Mean	CDD_IDW1N10	CSDI_IDW1N10	CWD_IDW1N10	DTR_IDW1N10	FD_IDW1N10	GSL_IDW1N10	ID_IDW1N10	PRCPTOT_IDW1N10	R10MM_IDW1N10	R1MM_IDW1N10	R20MM_IDW1N10	R95P_IDW1N10	R99P_IDW1N10	RX1DAY_IDW1N10	RX5DAY_IDW1N10	SDII_IDW1N10	SU_IDW1N10	TN10P_IDW1N10	TN90P_IDW1N10	TNN_IDW1N10	TNX_IDW1N10	TR_IDW1N10	TX10P_IDW1N10	TX90P_IDW1N10	TXN_IDW1N10	TXX_IDW1N10	WSDI_IDW1N10
BIO01_Mean	1.000000	0.364093	0.801112	-0.786576	0.848033	0.944917	-0.682402	0.480329	0.876536	0.903035	0.967405	0.348765	0.287975	0.274360	-0.116647	0.282883	0.298102	0.118417	0.360907	0.291756	0.058615	0.283643	0.135191	-0.937283	0.942350	-0.955473	0.345300	0.409897	0.006260	0.379706	0.366913	0.356187	0.395428	0.430851	0.521582	0.826376	-0.195581	0.416832	0.906315	0.738612	0.674538	-0.224603	0.432676	0.938666	0.610032	0.221982
BIO02_Mean	0.364093	1.000000	0.609491	-0.027202	0.635645	0.145466	0.216681	0.351618	0.252314	0.502259	0.243182	-0.214056	-0.070373	-0.286399	0.404783	-0.102743	-0.273876	-0.117012	-0.180155	0.411767	-0.210451	-0.019924	0.581184	-0.245450	0.346879	-0.298621	-0.118299	-0.013007	-0.335200	0.039649	-0.048267	-0.020173	0.124084	0.137892	0.133631	0.502950	-0.127667	0.135638	0.185176	0.385550	0.254420	0.028638	0.104808	0.266338	0.493670	0.082580
BIO03_Mean	0.801112	0.609491	1.000000	-0.764006	0.651471	0.790479	-0.607788	0.252562	0.771590	0.631902	0.830387	0.274713	0.241648	0.199026	0.003210	0.243257	0.224495	0.016919	0.384368	0.277291	-0.110659	0.446604	0.145812	-0.774172	0.787057	-0.770880	0.363756	0.426876	0.072105	0.351657	0.358480	0.347119	0.349654	0.436658	0.488150	0.652037	-0.065047	0.316359	0.788467	0.434703	0.490874	0.005388	0.350332	0.824403	0.393827	0.371849
BIO04_Mean	-0.786576	-0.027202	-0.764006	1.000000	-0.371781	-0.928749	0.964844	-0.083255	-0.811135	-0.448949	-0.914672	-0.496255	-0.331954	-0.476952	0.332836	-0.356217	-0.495601	-0.124606	-0.570154	-0.019035	-0.037249	-0.525107	0.175735	0.777602	-0.719342	0.794612	-0.550589	-0.536864	-0.360976	-0.398437	-0.485744	-0.445099	-0.335053	-0.420813	-0.511215	-0.448246	0.093854	-0.355858	-0.832858	-0.281340	-0.383912	0.121848	-0.413409	-0.843524	-0.156460	-0.374423
BIO05_Mean	0.848033	0.635645	0.651471	-0.371781	1.000000	0.655087	-0.210607	0.578382	0.687235	0.976563	0.705185	0.056119	0.082257	-0.024543	0.076253	0.059924	-0.002267	-0.034302	0.075317	0.458558	0.077584	-0.010714	0.383439	-0.762204	0.818844	-0.776780	0.025443	0.133501	-0.308110	0.194340	0.095733	0.108875	0.253666	0.255853	0.319100	0.886216	-0.237853	0.389718	0.664372	0.863244	0.668929	-0.232269	0.367365	0.708402	0.826259	0.124881
BIO06_Mean	0.944917	0.145466	0.790479	-0.928749	0.655087	1.000000	-0.876573	0.287534	0.906762	0.731366	0.992960	0.435554	0.305429	0.394607	-0.270673	0.316007	0.417096	0.094793	0.500153	0.178637	0.117644	0.404523	-0.078983	-0.926753	0.887536	-0.927244	0.448435	0.475259	0.173451	0.392923	0.422559	0.393445	0.358437	0.424434	0.522079	0.684199	-0.144184	0.425564	0.937002	0.565465	0.585433	-0.190286	0.459453	0.947175	0.424242	0.334954
BIO07_Mean	-0.682402	0.216681	-0.607788	0.964844	-0.210607	-0.876573	1.000000	-0.003609	-0.735460	-0.324229	-0.835553	-0.527793	-0.342784	-0.526195	0.398782	-0.370694	-0.541102	-0.144497	-0.599147	0.060962	-0.102794	-0.530216	0.346434	0.713572	-0.626752	0.704922	-0.564000	-0.529876	-0.420678	-0.384593	-0.485748	-0.439707	-0.302184	-0.386181	-0.472231	-0.320751	0.035045	-0.302374	-0.789149	-0.181761	-0.331369	0.098252	-0.360459	-0.774265	-0.022597	-0.353833
BIO08_Mean	0.480329	0.351618	0.252562	-0.083255	0.578382	0.287534	-0.003609	1.000000	0.109182	0.625790	0.338400	0.018513	0.163360	-0.078380	0.261998	0.117155	-0.072481	0.329208	-0.246259	0.115433	-0.051630	-0.080940	0.331902	-0.371294	0.444474	-0.397112	-0.007669	0.024013	-0.170010	0.103767	0.095275	0.144257	0.278654	0.208220	0.202284	0.527215	-0.078134	0.163331	0.282963	0.569363	0.424471	-0.062110	0.080785	0.318294	0.479465	-0.187799
BIO09_Mean	0.876536	0.252314	0.771590	-0.811135	0.687235	0.906762	-0.735460	0.109182	1.000000	0.718830	0.905118	0.322896	0.183373	0.303809	-0.264289	0.196420	0.329577	-0.089105	0.500964	0.303908	0.152297	0.319120	-0.015425	-0.858169	0.820712	-0.854501	0.327221	0.381429	0.052088	0.314904	0.295796	0.259725	0.240138	0.316823	0.419627	0.687844	-0.134640	0.350304	0.870986	0.545741	0.570709	-0.172309	0.398181	0.880844	0.476049	0.389595
BIO10_Mean	0.903035	0.502259	0.631902	-0.448949	0.976563	0.731366	-0.324229	0.625790	0.718830	1.000000	0.771132	0.150306	0.170999	0.060910	0.050124	0.146687	0.082628	0.061854	0.128912	0.422458	0.086585	0.038908	0.298374	-0.821526	0.865261	-0.828419	0.105209	0.209217	-0.253582	0.265693	0.180399	0.192783	0.328147	0.321659	0.391306	0.895268	-0.215122	0.379753	0.738898	0.881532	0.724811	-0.233794	0.360861	0.773011	0.783156	0.088001
BIO11_Mean	0.967405	0.243182	0.830387	-0.914672	0.705185	0.992960	-0.835553	0.338400	0.905118	0.771132	1.000000	0.416070	0.308132	0.363727	-0.215384	0.314104	0.386927	0.107825	0.464352	0.209246	0.073320	0.389412	-0.001521	-0.927143	0.902962	-0.938430	0.434316	0.473284	0.135550	0.401451	0.422291	0.398770	0.382831	0.441839	0.537605	0.726206	-0.159334	0.424445	0.930241	0.598832	0.606768	-0.186932	0.455187	0.951282	0.463961	0.314773
BIO12_Mean	0.348765	-0.214056	0.274713	-0.496255	0.056119	0.435554	-0.527793	0.018513	0.322896	0.150306	0.416070	1.000000	0.840148	0.832627	-0.382363	0.892336	0.854628	0.711644	0.822557	-0.390076	-0.403851	0.616398	-0.039294	-0.377846	0.386953	-0.415799	0.850215	0.830578	0.622997	0.739884	0.835109	0.807600	0.646916	0.665337	0.707368	0.169419	0.081250	0.014054	0.380605	0.120624	0.216868	-0.071072	0.292871	0.409864	-0.025274	-0.005580
BIO13_Mean	0.287975	-0.070373	0.241648	-0.331954	0.082257	0.305429	-0.342784	0.163360	0.183373	0.170999	0.308132	0.840148	1.000000	0.460868	0.088879	0.986465	0.485090	0.826008	0.564261	-0.188385	-0.424048	0.583360	0.038563	-0.280982	0.312099	-0.320665	0.749846	0.763534	0.423719	0.786236	0.829451	0.844256	0.811467	0.817899	0.787383	0.150595	0.081878	0.017474	0.308021	0.126456	0.227765	-0.014477	0.167493	0.335191	-0.039919	-0.128300
BIO14_Mean	0.274360	-0.286399	0.199026	-0.476952	-0.024543	0.394607	-0.526195	-0.078380	0.303809	0.060910	0.363727	0.832627	0.460868	1.000000	-0.673346	0.528071	0.994246	0.478909	0.749394	-0.505343	-0.289932	0.480678	-0.119479	-0.321722	0.306778	-0.354874	0.705605	0.651646	0.648932	0.481282	0.610108	0.558294	0.328802	0.334661	0.431580	0.096698	0.064238	-0.026176	0.312417	0.044710	0.129883	-0.081458	0.271278	0.334457	-0.069666	0.049864
