HID	I001	I002	I003	I004	I005	I006	I007	I008	I009	I010	I991	I992	I993	I994	I995	I996	I997	I998	I999	I1000
75	10	5	9	1	8	6	6	5	10	3	4	8	10	1	6	1	7	9	1	9
76	1	9	1	2	1	6	6	1	2	1	2	1	1	10	1	3	8	2	1	4
77	9	6	7	7	5	8	8	6	4	8	9	5	3	8	3	6	5	10	8	10
78	6	6	2	8	5	1	1	4	8	3	9	4	6	10	7	5	3	3	5	1
79	3	7	7	9	9	3	10	6	6	9	7	3	3	10	7	3	8	6	5	9
80	1	10	7	2	1	8	5	1	10	10	6	4	6	9	2	2	4	9	5	5
81	4	6	7	4	4	8	7	7	3	7	9	5	8	2	5	9	5	4	3	10
82	6	9	3	8	3	5	2	2	3	4	8	9	5	3	9	2	8	2	2	5
156	4	7	3	1	9	7	4	1	4	6	10	7	9	9	10	8	5	9	4	3
157	10	6	8	7	1	8	9	1	3	5	10	6	6	3	6	5	8	4	8	8
158	5	7	5	4	4	7	2	3	5	5	8	4	1	4	2	2	8	1	3	2
159	10	2	2	4	8	6	6	9	9	5	5	7	5	6	4	4	4	2	6	7
160	9	2	6	1	10	6	3	8	1	2	9	10	7	6	9	1	9	1	3	2
161	8	9	4	2	1	7	10	2	9	2	2	2	10	9	5	9	7	3	6	4
162	6	7	2	10	7	7	1	10	10	1	7	1	9	1	7	1	1	3	4	1
238	2	6	7	7	2	3	2	10	2	3	10	2	6	3	9	2	2	9	6	10
239	8	7	7	9	2	10	2	3	6	4	6	10	3	10	10	7	8	8	10	7
240	4	2	8	5	1	9	8	9	8	6	6	1	5	6	3	9	1	8	7	8
241	1	6	6	2	9	10	7	8	1	3	1	4	8	3	4	8	7	10	5	5
242	1	2	6	3	10	1	8	10	8	8	10	1	2	10	10	9	5	2	10	1
243	2	8	1	4	7	3	6	9	2	8	4	7	4	10	5	8	3	1	10	5
320	4	8	10	5	3	8	5	5	5	8	6	8	8	5	6	1	1	9	6	8
321	7	6	6	4	8	6	5	4	5	4	7	4	1	2	10	10	10	9	7	3
322	1	5	2	6	2	3	2	3	2	3	3	9	9	9	3	4	6	1	2	10
323	5	2	7	5	8	5	1	6	9	3	6	8	7	6	5	6	1	2	1	7
324	10	1	9	5	7	10	6	9	8	7	9	7	8	3	7	3	2	6	4	3
325	10	2	9	1	1	4	1	9	4	10	8	6	5	1	9	3	4	8	9	6
401	10	9	3	3	9	7	1	3	7	1	8	1	10	6	10	8	3	4	10	5
402	3	8	7	2	4	5	6	9	2	8	8	10	7	3	10	3	5	10	7	10
403	2	9	2	7	9	2	8	9	6	5	8	8	8	3	6	3	7	1	7	1
404	10	7	5	9	6	2	3	4	6	6	7	6	1	7	9	3	6	1	4	6
405	3	4	9	6	2	3	7	8	3	6	2	7	3	8	3	3	9	5	8	1
406	10	1	3	9	4	2	8	10	3	1	5	6	4	10	3	1	10	10	4	2
483	3	8	9	6	3	10	2	9	2	4	5	6	5	1	6	3	3	8	6	3
484	6	4	9	10	3	3	9	5	5	9	5	4	8	1	6	1	4	1	9	5
485	8	5	3	4	2	3	3	1	8	8	9	7	7	7	2	10	5	8	7	8
486	7	6	10	10	7	2	2	3	6	5	1	2	4	9	7	3	10	8	5	10
487	5	1	8	7	5	7	9	2	2	2	1	6	2	9	9	1	4	7	6	5
564	9	7	8	4	10	5	6	8	1	4	2	9	7	10	9	10	9	10	5	5
565	5	9	10	10	3	8	9	1	7	9	5	10	9	2	3	10	7	1	4	7
566	5	8	4	5	5	4	4	3	10	9	5	4	7	10	9	7	5	9	2	7
567	6	8	3	10	6	9	1	10	5	7	2	6	2	5	5	6	8	3	4	9
568	6	4	5	9	6	6	6	3	9	3	10	7	1	8	7	8	3	2	3	10
645	8	10	4	2	6	3	8	10	7	5	9	3	7	6	7	6	6	5	3	6
646	9	5	9	10	4	5	4	5	9	7	7	1	4	10	8	7	1	9	5	3
647	5	3	10	10	8	3	10	8	2	4	7	6	10	5	4	10	5	6	6	10
648	3	8	2	9	4	2	2	3	8	9	1	3	2	1	6	6	1	4	4	1
649	9	3	10	3	6	3	1	7	7	4	8	10	8	1	1	6	5	1	5	4
727	4	10	10	1	3	5	1	7	4	7	6	7	6	5	4	9	6	6	8	10
728	9	1	1	2	6	6	4	2	7	6	5	1	6	1	2	8	2	4	6	1
729	5	4	6	8	9	9	6	2	2	3	5	10	2	6	2	1	5	8	8	8
730	7	8	3	10	3	8	4	7	8	5	6	9	10	10	2	4	10	6	9	4
809	1	9	4	5	7	10	9	7	8	2	8	1	1	5	2	7	4	2	8	9
810	7	4	10	2	7	7	1	6	10	1	5	9	10	8	6	1	3	10	9	10
811	6	2	8	9	4	5	10	4	1	10	9	6	9	9	5	6	8	5	9	7
889	3	7	5	4	9	5	8	7	1	9	6	3	10	2	3	8	9	8	7	6
890	1	6	10	7	8	8	10	4	5	5	9	9	9	9	6	2	8	6	6	2
891	2	4	8	3	2	1	7	3	3	9	2	6	6	5	4	9	1	7	4	2
892	8	8	5	1	1	7	6	10	9	2	3	10	5	5	8	3	10	10	6	4
972	7	6	9	6	1	8	5	10	6	3	2	6	9	9	4	9	3	6	3	1
973	7	6	3	6	10	9	9	8	4	3	5	5	1	1	5	8	8	2	9	3
19763	1	3	4	6	6	10	4	1	10	5	8	4	3	10	7	3	5	10	9	4
19764	2	10	2	1	3	10	2	5	10	10	1	9	5	7	7	1	1	3	7	10
19843	5	9	6	3	10	2	3	1	1	9	3	8	2	7	6	4	10	1	2	2
19844	4	8	3	2	2	2	5	8	9	8	5	3	3	1	2	7	8	1	5	5
19925	5	8	9	3	1	2	10	5	3	5	8	10	4	10	4	3	10	7	1	3
19926	5	5	3	6	5	10	10	5	2	1	8	8	6	6	5	9	8	9	7	9
20332	3	2	7	6	8	8	7	2	8	6	4	7	2	1	5	5	9	1	2	1
22519	9	7	9	5	8	3	4	8	10	6	10	9	7	4	5	2	1	7	3	10
22600	6	5	6	7	7	9	3	2	9	5	4	7	1	4	5	7	7	8	3	10
22762	1	7	4	3	7	3	10	8	5	4	10	2	3	9	6	3	5	3	5	9
22843	4	4	6	3	10	10	9	2	7	9	2	10	6	6	5	1	1	1	8	9
23005	7	1	7	5	9	3	6	6	3	10	9	4	6	3	8	9	1	1	10	6
23086	3	10	7	10	4	1	4	6	1	3	8	2	1	10	2	3	6	3	6	4
23166	10	3	2	10	4	8	4	9	6	10	2	5	3	4	9	7	10	8	9	7
23167	3	2	5	2	3	4	1	8	10	10	10	1	9	9	10	7	3	4	9	6
23247	8	8	2	7	5	10	3	7	6	7	8	6	6	5	3	1	2	6	2	3
23248	4	6	9	7	8	7	7	7	1	4	5	7	5	7	9	3	6	7	9	1
23328	5	3	3	6	4	2	10	1	5	7	4	6	3	4	8	10	7	3	4	9
23329	7	8	6	9	2	5	10	6	10	9	8	10	5	10	4	3	9	5	1	5
23407	4	6	5	1	4	8	2	6	1	4	3	10	4	6	2	5	6	9	2	6
23408	10	2	7	9	2	9	2	4	7	5	9	3	7	2	3	1	2	2	4	2
23409	8	2	9	7	5	5	1	5	6	2	9	2	5	8	7	8	8	10	6	7
23410	2	1	8	4	8	1	9	10	3	8	7	2	3	7	7	9	4	8	3	6
23488	2	9	9	1	5	5	9	8	6	4	8	8	8	10	6	3	9	9	7	9
23489	1	8	5	9	3	7	9	5	1	8	6	9	5	2	8	1	6	8	4	2
23490	4	9	10	10	4	7	4	4	4	1	1	4	4	2	10	1	1	2	6	7
23491	6	2	8	7	2	7	8	7	9	7	3	8	3	2	5	2	4	5	5	5
23569	5	10	6	5	6	10	2	1	8	3	1	7	1	6	9	7	6	7	2	5
23570	2	6	9	7	3	10	10	2	5	4	1	5	1	9	8	10	4	4	5	7
23571	6	1	1	8	9	7	10	4	2	9	6	8	7	9	4	5	4	10	6	7
23572	3	10	7	2	1	6	1	3	4	9	1	6	6	2	2	8	2	6	7	1
23651	4	6	5	1	9	3	4	5	2	3	6	4	6	1	5	2	2	8	6	2
23652	3	7	6	9	6	3	2	10	10	1	3	3	9	7	10	9	5	3	7	4
23653	3	5	7	4	3	5	6	10	8	9	7	2	9	1	2	9	2	10	1	4
23732	4	1	7	5	6	10	10	6	8	7	5	2	7	1	7	6	4	1	4	8
23733	10	10	7	5	4	2	6	10	7	4	6	8	3	4	8	10	3	1	3	10
23734	4	4	2	7	6	2	5	4	2	7	9	3	1	2	4	8	3	8	3	4
23814	5	4	5	4	4	4	1	9	9	8	10	1	10	9	4	10	5	2	10	2
23815	6	6	6	10	1	10	4	1	9	6	3	4	5	10	1	7	7	3	2	1
23896	3	5	5	3	5	2	10	1	10	7	3	9	6	10	8	10	7	8	7	10
23976	3	7	8	7	5	2	10	4	4	8	2	7	7	2	3	10	7	1	9	9
23977	2	8	5	8	1	2	8	9	10	8	10	7	9	8	9	5	8	8	1	8
24058	6	3	9	4	2	4	7	7	9	8	3	8	10	1	4	4	8	7	6	6
24220	2	10	1	4	8	2	8	3	6	10	9	9	9	2	3	7	8	8	6	7
25108	1	7	2	9	5	10	1	4	8	8	1	3	4	3	10	10	5	8	2	10
25109	6	7	6	8	3	4	8	5	6	6	7	9	10	5	3	8	4	5	1	3
25187	1	3	5	2	2	5	9	6	4	8	8	5	3	2	3	3	6	2	2	5
25188	1	8	6	9	6	1	3	10	3	8	6	1	5	3	8	6	9	10	2	1
25189	3	10	1	4	9	5	9	10	10	3	7	6	4	8	8	2	6	7	1	2
