ID	I0001	I0002	I0003	I0004	I0005	I0006	I0007	I0008	I0009	I0010	I0991	I0992	I0993	I0994	I0995	I0996	I0997	I0998	I0999	I1000
75	6	4	8	6	3	5	1	5	5	10	7	8	4	5	6	6	9	6	8	7
76	6	4	8	6	3	5	1	5	5	10	7	8	4	5	6	6	9	6	8	7
77	6	4	8	6	3	5	1	5	5	10	7	8	4	5	6	6	9	6	8	1
78	6	4	8	6	3	5	1	5	5	10	7	8	4	5	6	6	9	6	1	1
79	6	4	8	6	3	5	1	5	5	10	7	8	4	5	6	6	9	6	1	1
80	6	4	8	6	3	5	1	5	5	10	7	8	4	5	6	6	9	6	1	1
81	6	4	8	6	3	5	1	5	6	10	7	8	4	5	6	6	9	6	1	1
82	6	4	8	6	3	5	1	5	6	10	7	8	4	5	6	6	9	6	1	1
156	6	4	8	6	3	5	1	5	5	10	7	8	4	5	6	6	9	6	8	1
157	6	4	8	6	3	5	1	5	5	10	7	8	4	5	6	6	9	6	1	1
158	6	4	8	6	3	5	1	5	5	10	7	8	4	5	6	6	9	6	1	1
159	6	4	8	6	3	5	1	5	5	10	7	8	4	5	6	6	9	6	1	1
160	6	4	8	6	3	5	1	5	5	10	7	8	4	5	6	6	9	6	1	1
161	6	4	8	6	3	5	1	5	6	10	7	8	4	5	6	6	9	6	1	1
162	6	4	8	6	3	5	1	5	6	10	7	8	4	5	6	6	9	6	1	1
238	6	4	8	6	3	5	1	5	5	10	7	8	4	5	6	6	9	6	1	1
239	6	4	8	6	3	5	1	5	5	10	7	8	4	5	6	6	9	6	1	1
240	6	4	8	6	3	5	1	5	5	10	7	8	4	5	6	6	9	6	1	1
241	6	4	8	6	3	5	1	5	5	10	7	8	4	5	6	6	9	6	1	1
242	6	4	8	6	3	5	1	5	6	10	7	8	4	5	6	6	9	6	1	1
243	6	4	8	6	3	5	1	5	6	10	7	8	4	5	6	6	9	6	1	1
320	6	4	8	6	3	5	1	5	5	10	7	8	4	5	6	6	9	6	1	1
321	6	4	8	6	3	5	1	5	5	10	7	8	4	5	6	6	9	6	1	1
322	6	4	8	6	3	5	1	5	5	10	7	8	4	5	6	6	9	6	1	1
323	6	4	8	6	3	5	1	5	6	10	7	8	4	5	6	6	9	6	1	1
324	6	4	8	6	3	5	1	5	6	10	7	8	4	5	6	6	9	6	1	1
325	6	4	8	6	3	5	1	5	6	10	7	8	4	5	6	6	9	6	1	1
401	6	4	8	6	3	5	1	5	5	10	7	8	4	5	6	6	9	6	1	1
402	6	4	8	6	3	5	1	5	5	10	7	8	4	5	6	6	9	6	1	1
403	6	4	8	6	3	5	1	5	6	10	7	8	4	5	6	6	9	6	1	1
404	6	4	8	6	3	5	1	5	6	10	7	8	4	5	6	6	9	6	1	1
405	6	4	8	6	3	5	1	5	6	10	7	8	5	5	6	6	9	6	1	1
406	6	4	8	6	3	5	1	5	6	10	7	8	5	5	6	6	9	6	1	1
483	6	4	8	6	3	5	1	5	5	10	7	8	4	5	6	6	9	6	1	1
484	6	4	8	6	3	5	1	5	6	10	7	8	4	5	6	6	9	6	1	1
485	6	4	8	6	3	5	1	5	6	10	7	8	4	5	6	6	9	6	1	1
486	6	4	8	6	3	5	1	5	6	10	7	8	5	5	6	6	9	6	1	1
487	6	4	8	6	3	5	1	5	6	10	7	8	5	5	6	6	9	6	1	1
564	6	4	8	6	3	5	1	5	5	10	7	8	4	5	6	6	9	6	1	1
565	6	4	8	6	3	5	1	5	6	10	7	8	4	5	6	6	9	6	1	1
566	6	4	8	6	3	5	1	5	6	10	7	8	4	5	6	6	9	6	1	1
567	6	4	8	6	3	5	1	5	6	10	7	8	5	5	6	6	9	6	1	1
568	6	4	8	6	3	5	1	5	6	10	7	8	5	5	6	6	9	6	1	1
645	6	4	8	6	3	5	1	5	6	10	7	8	4	5	6	6	9	6	1	1
646	6	4	8	6	3	5	1	5	6	10	7	8	5	5	6	6	9	6	1	1
647	6	4	8	6	3	5	1	5	6	10	7	8	5	5	6	6	9	6	1	1
648	6	4	8	6	3	5	1	5	6	10	7	8	5	5	6	6	9	6	1	1
649	6	4	8	6	3	5	1	5	6	10	7	8	5	5	6	6	9	6	1	1
727	6	4	8	6	3	5	1	5	6	10	7	8	5	5	6	6	9	6	1	1
728	6	4	8	6	3	5	1	5	6	10	7	8	5	5	6	6	9	6	1	1
729	6	4	8	6	3	5	1	5	6	10	7	8	5	5	6	6	9	6	1	1
730	6	4	8	6	3	5	1	5	6	10	7	8	5	5	6	6	9	6	1	1
809	6	4	8	6	3	5	1	5	6	10	7	8	5	5	6	6	9	6	1	1
810	6	4	8	6	3	5	1	5	6	10	7	8	5	5	6	6	9	6	1	1
811	6	4	8	6	3	5	1	5	6	10	7	8	5	5	6	6	9	6	1	1
889	6	4	8	6	3	5	1	5	6	10	7	8	5	5	6	6	9	6	1	1
890	6	4	8	6	3	5	1	5	6	10	7	8	5	5	6	6	9	6	1	1
891	6	4	8	6	3	5	1	5	6	10	7	8	5	5	6	6	9	6	1	1
892	6	4	8	8	4	5	1	5	6	10	7	8	5	5	6	6	9	6	1	1
972	6	4	8	6	3	5	1	5	6	10	7	8	5	5	6	6	9	6	1	1
973	6	4	8	8	3	5	1	5	6	10	7	8	5	5	6	6	9	6	1	1
19763	6	4	8	8	4	5	1	5	6	10	7	8	5	5	6	6	9	6	1	1
19764	6	4	8	6	4	5	1	5	6	10	7	8	5	5	6	6	9	6	1	1
19843	6	4	8	8	4	5	1	5	6	10	7	8	5	5	6	6	9	6	1	1
19844	6	4	8	8	4	5	1	5	6	10	7	8	5	5	6	6	9	6	1	1
19925	6	4	8	8	4	5	1	5	6	10	7	8	5	5	6	6	9	6	1	1
19926	6	4	8	8	4	5	1	5	6	10	7	8	5	5	6	6	9	6	1	1
20332	6	4	8	8	4	5	1	5	6	7	7	8	5	5	6	6	9	6	1	1
22519	6	7	8	8	4	5	1	5	6	9	7	8	5	5	6	6	9	6	1	1
22600	6	7	8	8	4	5	1	5	6	9	7	8	5	5	6	6	9	6	1	1
22762	6	7	8	8	4	5	1	5	6	9	7	8	5	5	6	6	1	6	1	1
22843	6	7	8	8	4	5	1	5	6	9	7	8	5	5	6	6	1	6	1	1
23005	6	7	8	8	4	5	1	5	6	9	7	8	5	5	6	10	1	6	1	1
23086	6	7	8	8	4	8	1	10	6	9	7	8	5	5	6	10	1	6	1	1
23166	6	7	8	8	4	8	1	10	6	9	7	8	5	5	6	10	1	6	1	1
23167	6	7	8	8	4	8	1	10	6	9	10	8	5	5	6	10	1	6	1	1
23247	6	7	8	8	4	8	1	10	6	9	10	8	5	5	6	10	1	6	1	1
23248	6	7	8	8	4	8	1	10	6	9	10	8	5	5	6	10	1	6	1	1
23328	6	7	8	8	4	8	1	10	6	9	10	8	5	5	6	10	1	6	1	1
23329	6	7	8	8	4	8	1	10	6	9	10	8	5	5	6	10	1	6	1	1
23407	1	7	8	8	5	8	1	10	6	9	7	8	5	5	6	10	1	6	1	1
23408	6	7	8	8	5	8	1	10	6	9	10	8	5	5	6	10	1	6	1	1
23409	6	7	8	8	5	8	1	10	6	9	10	8	5	5	6	10	1	6	1	1
23410	6	7	8	8	5	8	1	10	6	9	10	8	5	5	6	10	1	6	1	1
23488	1	7	8	8	5	8	1	10	6	9	10	8	5	5	6	10	1	6	1	1
23489	6	7	8	8	5	8	1	10	6	9	10	8	5	5	6	10	1	6	1	1
23490	6	7	8	8	5	8	1	10	6	9	10	8	5	5	6	10	1	6	1	1
23491	6	7	8	8	5	8	1	10	6	9	10	8	5	5	6	10	1	6	1	1
23569	1	7	8	8	5	8	1	10	6	9	10	8	5	5	1	10	1	6	1	1
23570	1	7	8	8	5	8	1	10	6	9	10	8	5	5	6	10	1	6	1	1
23571	6	7	8	8	5	8	1	10	6	9	10	8	5	5	6	10	1	6	1	1
23572	6	7	8	8	5	8	1	10	6	9	10	8	5	5	6	10	1	6	1	1
23651	1	7	8	8	5	8	1	10	6	9	10	8	5	5	6	10	1	6	1	1
23652	6	7	8	8	5	8	1	10	6	9	10	8	5	5	6	10	1	6	1	1
23653	6	7	8	8	5	8	1	10	6	9	10	8	5	5	6	10	1	6	1	1
23732	1	7	8	8	5	8	1	10	6	9	10	8	5	5	6	10	1	6	1	1
23733	6	7	8	8	5	8	1	10	6	9	10	8	5	5	6	10	1	6	1	1
23734	6	7	8	8	5	8	1	10	6	9	10	8	5	5	6	10	1	6	1	1
23814	6	7	8	8	5	8	1	10	6	9	10	8	5	5	6	10	1	6	1	1
23815	6	7	8	8	5	8	1	10	6	9	10	8	5	5	6	10	1	6	1	1
23896	6	7	8	8	5	8	1	10	6	9	10	8	5	5	6	10	1	6	1	1
23976	1	7	8	8	5	8	1	10	6	9	10	8	5	5	6	10	1	6	1	1
23977	6	7	8	8	5	8	1	10	6	9	10	8	5	5	6	10	1	6	1	1
24058	6	7	8	8	5	8	1	10	6	9	10	8	5	5	6	10	1	6	1	1
24220	1	7	8	8	5	8	1	10	6	9	10	8	5	5	6	10	1	6	1	1
25108	1	7	8	10	5	8	2	10	6	6	10	8	5	5	1	10	1	6	1	1
25109	1	7	8	10	5	8	2	10	6	6	10	8	5	5	1	10	1	6	1	1
25187	1	7	8	10	5	8	2	10	6	6	10	8	5	5	1	10	1	6	1	1
25188	1	7	8	10	5	8	2	10	6	6	10	8	5	5	1	10	1	6	1	1
25189	1	7	8	10	5	8	2	10	6	6	10	8	5	5	1	10	1	6	1	1
25190	1	7	8	10	5	8	2	10	6	6	10	8	5	5	1	10	1	6	1	1
25191	1	7	8	10	5	8	2	10	6	6	10	8	5	5	1	10	1	6	1	1
25192	1	7	8	10	5	8	2	10	6	6	10	8	5	5	1	10	1	6	1	1
25269	1	7	8	10	5	8	2	10	6	6	10	8	5	5	1	10	1	6	1	1
