Feature	R	S	R.Frequency	S.Frequency	SI.Mean	SI.P.Mean	SI.Min	SI.P.Min
BIO14	TRUE	FALSE	1	0	47.1386608690201	0.999029708818864	17.3914379532405	0.990297088188643
BIO15	TRUE	FALSE	1	0	47.1957727927621	0.993296399302219	13.356131083607	0.943309242016659
CDD	TRUE	FALSE	1	0	47.5112089999555	0.989397558929144	17.6115422060486	0.911760433673621
TNX	TRUE	FALSE	1	0	47.7070515370351	0.992147145662208	27.3485309159078	0.92551131569421
TX90P	TRUE	FALSE	1	0	47.692766608657	0.999093954569041	25.3254979365272	0.992076121150391
TN10P	FALSE	TRUE	0	0.94	48.8024679819694	0.992588679118601	30.366873406078	0.930824000519404
BIO09	FALSE	TRUE	0	0.9	46.5581521521372	0.987775015415557	13.8068807944253	0.901252265446522
BIO03	FALSE	TRUE	0	0.8	47.3739305609877	0.988830889444107	16.0857146529023	0.891503180651674
CSDI	FALSE	TRUE	0	0.78	48.2291978697628	0.999132604782397	22.9694830233246	0.993463832061935
SDII	FALSE	TRUE	0	0.78	47.4350784529362	0.98934793456818	22.4814857177399	0.918870908370768
R.Mean	FALSE	FALSE	0	0	47.449092161486	0.994592953456295	20.2066280190662	0.952590840144705
S.Mean	FALSE	FALSE	0	0	47.6797654035587	0.991535024665768	21.142087518894	0.927182837410061
