BIO01_Mean	BIO02_Mean	BIO03_Mean	BIO04_Mean	BIO05_Mean	BIO06_Mean	BIO07_Mean	BIO08_Mean	BIO09_Mean	BIO10_Mean	BIO11_Mean	BIO12_Mean	BIO13_Mean	BIO14_Mean	BIO15_Mean	BIO16_Mean	BIO17_Mean	BIO18_Mean	BIO19_Mean	CDD_IDW1N10	CSDI_IDW1N10	CWD_IDW1N10	DTR_IDW1N10	FD_IDW1N10	GSL_IDW1N10	ID_IDW1N10	PRCPTOT_IDW1N10	R10MM_IDW1N10	R1MM_IDW1N10	R20MM_IDW1N10	R95P_IDW1N10	R99P_IDW1N10	RX1DAY_IDW1N10	RX5DAY_IDW1N10	SDII_IDW1N10	SU_IDW1N10	TN10P_IDW1N10	TN90P_IDW1N10	TNN_IDW1N10	TNX_IDW1N10	TR_IDW1N10	TX10P_IDW1N10	TX90P_IDW1N10	TXN_IDW1N10	TXX_IDW1N10	WSDI_IDW1N10
BIO01_Mean	1.000000	0.081979	0.790843	-0.748425	0.765785	0.928897	-0.673866	0.176596	0.884084	0.862362	0.957303	0.071883	-0.042783	0.088734	-0.066872	-0.045597	0.106157	-0.346628	0.364887	0.434988	0.202564	0.007903	-0.143125	-0.914305	0.925323	-0.946111	0.073185	0.243068	-0.200494	0.175846	0.056163	-0.001888	0.066639	0.128400	0.342515	0.730605	-0.174741	0.282927	0.905066	0.680720	0.632497	-0.247212	0.162670	0.928904	0.542272	0.294380
BIO02_Mean	0.081979	1.000000	0.311512	0.398867	0.531398	-0.235510	0.547549	0.248215	-0.029354	0.398758	-0.133640	-0.595006	-0.200916	-0.723317	0.741926	-0.282900	-0.724826	-0.285608	-0.500927	0.614986	-0.345648	-0.385754	0.680551	0.122320	0.006189	0.057480	-0.482170	-0.267004	-0.628965	0.039638	-0.317438	-0.254196	0.080761	0.027253	-0.012457	0.366093	-0.198917	-0.347430	-0.083910	0.254122	0.219215	-0.026621	-0.528888	-0.013228	0.370512	-0.485336
BIO03_Mean	0.790843	0.311512	1.000000	-0.710501	0.535180	0.757167	-0.595510	-0.000300	0.729472	0.579943	0.800548	0.138572	0.114542	0.054976	0.155345	0.112064	0.075082	-0.250052	0.393825	0.440952	-0.222483	0.193054	-0.006783	-0.751551	0.801581	-0.767801	0.172054	0.380888	-0.139827	0.306178	0.190245	0.146357	0.199282	0.282339	0.418373	0.461905	0.008000	0.079647	0.838274	0.353789	0.391226	-0.020001	0.029625	0.862157	0.274265	0.080173
BIO04_Mean	-0.748425	0.398867	-0.710501	1.000000	-0.168838	-0.927680	0.982392	0.109143	-0.742037	-0.313641	-0.905732	-0.507657	-0.213039	-0.537932	0.356194	-0.262039	-0.552303	0.043019	-0.669449	-0.013927	-0.123647	-0.419626	0.452647	0.790341	-0.743310	0.802049	-0.481301	-0.509262	-0.299654	-0.230963	-0.377718	-0.289282	-0.104246	-0.214755	-0.391672	-0.226617	-0.081905	-0.339981	-0.850554	-0.172463	-0.231632	0.028758	-0.397302	-0.836679	-0.026247	-0.454139
BIO05_Mean	0.765785	0.531398	0.535180	-0.168838	1.000000	0.500985	-0.058681	0.259281	0.655366	0.975097	0.563256	-0.389620	-0.313743	-0.399841	0.207566	-0.353461	-0.384315	-0.562872	-0.053719	0.665677	0.180853	-0.422831	0.241069	-0.602561	0.664601	-0.627968	-0.394759	-0.171104	-0.606242	-0.010021	-0.332430	-0.339248	-0.062029	-0.071996	0.080847	0.898510	-0.324448	0.117515	0.537270	0.844252	0.744371	-0.335283	-0.083390	0.578124	0.821450	0.065499
BIO06_Mean	0.928897	-0.235510	0.757167	-0.927680	0.500985	1.000000	-0.893363	0.003000	0.884112	0.631227	0.993374	0.319127	0.064075	0.362350	-0.300413	0.095910	0.380260	-0.234949	0.581946	0.212625	0.234370	0.210224	-0.372096	-0.929683	0.897786	-0.935925	0.284067	0.377706	0.061594	0.179398	0.205087	0.122848	0.050036	0.142203	0.356831	0.528537	-0.054428	0.376698	0.939006	0.488734	0.491671	-0.179472	0.346747	0.935932	0.329841	0.450816
BIO07_Mean	-0.673866	0.547549	-0.595510	0.982392	-0.058681	-0.893363	1.000000	0.131156	-0.679537	-0.221841	-0.853390	-0.570390	-0.236800	-0.625553	0.454283	-0.294143	-0.638150	-0.021231	-0.699147	0.100356	-0.176442	-0.462016	0.554362	0.759517	-0.690515	0.753526	-0.532617	-0.524507	-0.385801	-0.212133	-0.409156	-0.317835	-0.089920	-0.201406	-0.369619	-0.143154	-0.105668	-0.373497	-0.804170	-0.125414	-0.180658	0.032941	-0.443257	-0.779414	0.046026	-0.485996
BIO08_Mean	0.176596	0.248215	-0.000300	0.109143	0.259281	0.003000	0.131156	1.000000	-0.199127	0.306037	0.047595	-0.237552	-0.057763	-0.186118	0.306949	-0.117382	-0.199886	0.166463	-0.412505	0.087353	-0.037062	-0.182621	0.281965	-0.018148	0.085267	-0.113044	-0.096187	-0.075445	-0.159691	0.050922	-0.017206	0.022729	0.139015	0.083971	0.085708	0.151103	-0.159988	-0.150410	-0.030976	0.201703	-0.032599	-0.089767	-0.325083	0.030192	0.173349	-0.346556
BIO09_Mean	0.884084	-0.029354	0.729472	-0.742037	0.655366	0.884112	-0.679537	-0.199127	1.000000	0.719188	0.890745	0.127333	-0.078734	0.134443	-0.218105	-0.054121	0.160404	-0.462037	0.507417	0.392274	0.264890	0.020864	-0.228762	-0.860199	0.838477	-0.851971	0.049463	0.195938	-0.160097	0.083335	-0.007044	-0.076733	-0.061580	0.013644	0.219474	0.683213	-0.088882	0.321840	0.864322	0.594095	0.643058	-0.208460	0.285579	0.858708	0.512096	0.430698
BIO10_Mean	0.862362	0.398758	0.579943	-0.313641	0.975097	0.631227	-0.221841	0.306037	0.719188	1.000000	0.685816	-0.287725	-0.242739	-0.282684	0.152217	-0.280486	-0.267751	-0.492234	0.027351	0.623711	0.222250	-0.332933	0.121125	-0.711506	0.758328	-0.738879	-0.282362	-0.059667	-0.529701	0.058677	-0.230679	-0.247374	-0.003639	-0.002261	0.174896	0.888648	-0.311184	0.170714	0.649435	0.861983	0.756136	-0.336708	-0.038967	0.687387	0.776423	0.104755
