HID	I001	I002	I003	I004	I005	I006	I007	I008	I009	I010	I991	I992	I993	I994	I995	I996	I997	I998	I999	I1000
28594	7	9	3	10	5	4	5	2	8	5	2	7	1	5	10	2	10	7	5	7
28837	4	2	10	9	5	9	4	9	4	7	9	9	5	7	5	1	2	7	7	2
29080	9	2	8	2	8	2	9	10	6	5	6	6	7	10	2	8	7	2	6	5
29161	6	6	5	7	2	2	5	7	10	5	5	6	8	6	6	4	2	8	10	6
29323	9	5	2	2	1	10	1	4	1	7	9	10	6	5	9	1	8	3	6	2
30052	5	7	5	8	2	6	8	1	8	5	7	2	3	1	2	8	6	4	9	2
30133	3	6	8	8	3	5	5	4	7	1	1	6	10	3	1	6	3	10	8	6
30213	8	3	1	10	2	1	9	1	3	7	6	9	9	5	5	2	8	1	5	3
30214	5	8	1	1	3	6	10	7	4	9	7	6	9	2	1	7	9	9	4	1
30293	5	4	3	10	3	5	7	10	4	10	4	6	2	2	6	2	10	6	3	4
30294	10	9	9	2	5	6	5	9	8	5	2	10	2	1	6	1	3	4	7	1
30295	5	4	1	10	4	10	10	9	2	2	8	5	8	3	6	5	10	4	7	3
30374	3	6	3	6	6	3	4	8	7	5	4	1	2	5	6	1	7	8	4	7
30375	4	6	10	10	10	3	10	2	5	1	3	5	3	1	4	1	1	9	1	3
30376	10	7	9	2	9	1	2	10	4	9	3	3	2	6	4	4	6	6	1	5
30456	2	8	6	1	8	5	4	10	7	10	1	9	2	4	10	9	3	9	1	4
30457	3	4	9	2	6	10	2	5	9	6	9	3	9	2	4	10	6	10	6	5
30536	7	4	6	8	5	4	4	10	2	5	9	3	3	8	7	3	10	2	3	10
30537	1	6	4	6	10	5	9	1	3	9	1	6	5	8	7	10	1	5	1	2
30538	7	5	6	2	5	6	9	8	5	5	1	5	10	4	1	5	1	2	2	6
30617	7	8	4	1	1	4	9	6	10	3	6	7	4	7	7	4	9	1	10	4
30618	2	9	5	9	1	6	10	4	6	2	10	3	3	3	8	4	7	3	5	5
30619	8	2	5	6	5	6	6	8	8	6	4	8	5	9	9	4	7	1	3	10
30698	8	10	5	5	2	5	6	9	8	3	6	3	4	3	4	6	7	5	1	6
30699	10	4	1	1	9	3	8	1	4	7	1	7	10	1	1	4	3	10	7	7
30700	3	2	2	4	2	9	10	9	5	10	10	8	4	9	7	9	2	1	1	5
30778	8	4	5	1	3	4	2	3	7	6	9	5	2	5	8	4	10	1	10	9
30779	8	2	5	4	5	5	10	7	6	7	1	9	4	5	8	9	6	6	2	1
30780	6	8	2	6	3	10	2	1	5	6	9	9	9	2	10	5	6	8	7	1
30781	7	8	8	8	9	2	9	4	2	4	2	8	1	3	3	2	8	8	8	9
30860	8	8	4	6	5	5	5	9	10	2	2	7	6	9	1	9	7	7	6	4
30861	10	3	10	7	7	9	6	1	8	8	8	4	1	5	1	6	9	7	7	7
30862	6	2	10	8	8	3	8	4	10	8	4	3	6	2	6	7	9	2	3	5
30941	10	10	7	8	1	5	10	5	6	3	6	6	3	6	1	1	3	10	7	1
30942	9	4	3	5	2	1	10	2	7	3	9	3	2	9	5	8	3	4	6	4
30943	1	5	8	1	9	6	9	9	9	8	3	5	4	4	3	8	10	4	9	1
31021	4	8	6	7	9	7	4	1	2	8	4	2	3	3	2	2	3	6	9	5
