ID	I0001	I0002	I0003	I0004	I0005	I0006	I0007	I0008	I0009	I0010	I0991	I0992	I0993	I0994	I0995	I0996	I0997	I0998	I0999	I1000
28594	6	5	4	2	8	6	3	4	6	9	3	10	2	5	10	5	4	7	6	6
28837	6	5	5	2	8	6	3	4	6	9	3	10	2	5	10	5	4	7	6	6
29080	6	5	5	2	8	6	3	4	6	9	3	10	2	5	10	5	4	7	6	6
29161	6	5	5	2	8	6	3	4	6	9	7	10	2	5	10	5	4	7	6	6
29323	6	5	5	2	8	6	3	4	6	9	7	10	2	5	10	5	4	7	6	6
30052	6	5	5	2	8	6	3	4	6	6	7	10	2	5	10	5	4	7	9	6
30133	6	5	5	2	8	6	3	4	6	6	7	10	2	5	10	5	4	7	9	6
30213	6	5	5	2	8	6	3	4	6	6	7	10	2	5	10	5	4	7	9	6
30214	6	5	5	2	8	6	3	4	6	6	7	10	2	5	10	5	4	7	9	6
30293	6	5	5	2	8	6	3	4	6	6	7	10	2	5	10	5	4	7	9	6
30294	6	5	5	2	8	6	3	4	6	6	7	10	2	5	10	5	4	7	9	6
30295	6	5	5	2	8	6	3	4	6	6	7	10	2	5	10	5	4	7	9	6
30374	6	5	5	2	8	6	3	4	6	6	7	10	2	5	10	5	4	7	9	6
30375	6	5	5	2	8	6	3	4	6	6	7	10	2	5	10	5	4	7	9	6
30376	6	5	5	2	8	6	3	4	6	6	7	10	2	5	10	5	4	7	9	6
30456	6	5	5	2	8	6	3	4	6	6	7	10	2	5	10	5	4	7	9	6
30457	6	5	5	2	8	6	3	4	6	6	7	10	2	5	10	5	4	7	9	6
30536	6	5	5	2	8	6	3	4	6	6	7	10	2	5	10	5	4	7	9	6
30537	6	5	5	2	8	6	3	4	6	6	7	10	2	5	10	5	4	7	9	6
30538	6	5	5	2	8	6	3	4	6	6	7	10	2	5	10	5	4	7	9	6
30617	6	5	5	2	8	6	3	4	6	6	7	10	2	5	10	5	4	7	9	6
30618	6	5	5	2	8	6	3	4	6	6	7	10	2	5	10	5	4	7	9	6
30619	6	5	5	2	8	6	3	4	6	6	7	10	2	5	10	5	4	7	9	6
30698	6	5	5	2	8	6	3	4	6	6	7	10	2	5	10	5	4	7	9	6
30699	6	5	5	2	8	6	3	4	6	6	7	10	2	5	10	5	4	7	9	6
30700	6	5	5	2	8	6	3	4	6	6	7	10	2	5	10	5	4	7	9	6
30778	6	5	5	2	8	6	3	4	6	6	7	10	2	5	10	5	4	7	9	6
30779	6	5	5	2	8	6	3	4	6	6	7	10	2	5	10	5	4	7	9	6
30780	6	5	5	2	8	6	3	4	6	6	7	10	2	5	10	5	4	7	9	6
30781	6	5	5	2	8	6	3	4	6	6	7	10	2	5	10	5	4	7	9	6
30860	6	5	5	2	8	6	3	4	6	6	7	10	2	5	10	5	4	7	9	6
30861	6	5	5	2	8	6	3	4	6	6	7	10	2	5	10	5	4	7	9	6
30862	6	5	5	2	8	6	3	4	6	6	7	10	2	5	10	5	4	7	9	6
30941	6	5	5	2	8	6	3	4	6	6	7	10	2	5	10	5	4	7	9	6
30942	6	5	5	2	8	6	3	4	6	6	7	10	2	5	10	5	4	7	9	6
30943	6	5	5	2	8	6	3	4	6	6	7	10	2	5	10	5	4	7	9	6
31021	6	5	5	2	8	10	3	4	6	6	7	10	2	5	10	5	4	7	9	6
31022	6	5	5	2	8	6	3	4	6	6	7	10	2	5	10	5	4	7	9	6
31023	6	5	5	2	8	6	3	4	6	6	7	10	2	5	10	5	4	7	9	6
31024	6	5	5	2	8	6	3	4	6	6	7	10	2	5	10	5	4	7	9	6
31103	6	5	5	2	8	10	3	4	6	6	7	10	2	5	10	5	4	7	9	6
31104	6	5	5	2	8	6	3	4	6	6	7	10	2	5	10	5	4	7	9	6
31105	6	5	5	2	8	6	3	4	6	6	7	10	2	5	10	5	4	7	9	6
31184	6	6	5	2	8	10	3	4	6	6	7	10	2	5	10	5	4	7	9	6
31185	6	5	5	2	8	6	3	4	6	6	7	10	2	5	10	5	4	7	9	6
31186	6	5	5	2	8	6	3	4	6	6	7	10	2	5	10	5	4	7	9	6
31264	6	6	5	2	8	10	3	4	6	6	7	10	2	5	10	5	4	7	9	6
31265	6	5	5	2	8	10	3	4	6	6	7	10	2	5	10	5	4	7	9	6
31266	6	5	5	2	8	6	3	4	6	6	7	10	2	5	10	5	4	7	9	6
31267	6	5	5	2	8	6	3	4	6	6	7	10	2	5	10	5	4	7	9	6
31345	6	6	5	2	8	10	3	4	6	6	7	10	2	5	10	5	4	7	9	6
31346	6	6	5	2	8	10	3	4	6	6	7	10	2	5	10	5	4	7	9	6
31347	6	5	5	2	8	6	3	4	6	6	7	10	2	5	10	5	4	7	9	6
31348	6	5	5	2	8	6	3	4	6	6	7	10	2	5	10	5	4	7	9	6
31427	6	6	5	2	8	10	3	4	6	6	7	10	2	5	10	5	4	7	9	6
31428	6	6	5	2	8	10	3	4	6	6	7	10	2	5	10	5	4	7	9	6
31429	6	5	5	2	8	6	3	4	6	6	7	10	2	5	10	5	4	7	9	6
31507	6	6	5	2	8	10	3	4	6	6	7	10	2	5	10	5	4	7	9	6
31508	6	6	5	2	8	10	3	4	6	6	7	10	2	5	10	5	4	7	9	6
31509	6	5	5	2	8	10	3	4	6	6	7	10	2	5	10	5	4	7	9	6
31510	6	5	5	2	8	6	3	4	6	6	7	10	2	5	10	5	4	7	9	6
31588	6	6	5	2	8	10	3	4	6	6	7	10	2	5	10	5	4	7	9	6
31589	6	6	5	2	8	10	3	4	6	6	7	10	2	5	10	5	4	7	9	6
31590	6	6	5	2	8	10	3	4	6	6	7	10	2	5	10	5	4	7	9	6
31591	6	5	5	2	8	6	3	4	6	6	7	10	3	5	10	5	4	7	9	6
31669	6	6	5	2	8	10	3	4	6	6	7	10	3	5	10	5	4	7	9	6
31670	6	6	5	2	8	10	3	4	6	6	7	10	3	5	10	5	4	7	9	6
31671	6	6	5	2	8	10	3	4	6	6	7	10	3	5	10	5	4	7	9	6
31672	6	6	5	2	8	10	3	4	6	6	7	10	3	5	10	5	4	7	9	6
31750	6	6	5	2	8	10	3	4	6	6	7	10	3	5	10	5	4	7	9	6
31751	6	6	5	2	8	10	3	4	6	6	7	10	3	5	10	5	4	7	9	6
31752	6	6	5	2	8	10	3	4	6	6	7	10	3	5	10	5	4	7	9	6
31753	6	6	5	2	8	10	3	4	6	6	7	10	3	5	10	5	4	7	9	6
31831	6	6	5	2	8	10	3	4	6	6	7	10	3	5	10	5	4	7	9	6
31832	6	6	5	2	8	10	3	4	6	6	7	10	3	5	10	5	4	7	9	6
31833	6	6	5	2	8	10	3	4	6	6	7	10	3	5	10	5	4	7	9	6
31834	6	6	5	2	8	10	3	4	6	6	7	10	3	5	10	5	4	7	9	6
31912	1	6	5	2	8	10	3	4	6	6	7	10	3	5	10	5	4	7	9	6
31913	6	6	5	2	8	10	3	4	6	6	7	10	3	5	10	5	4	7	9	6
31914	6	6	5	2	8	10	3	4	6	6	7	10	3	5	10	5	4	7	9	6
31915	6	6	5	2	8	10	3	4	6	6	7	10	3	5	10	5	4	7	9	6
31992	1	6	5	2	8	10	4	4	6	6	7	10	3	5	10	5	4	7	9	6
31993	6	6	5	2	8	10	3	4	6	6	7	10	3	5	10	5	4	7	9	6
31994	6	6	5	2	8	10	3	4	6	6	7	10	3	5	10	5	4	7	9	6
31995	6	6	5	2	8	10	3	4	6	6	7	7	3	5	10	5	4	7	9	6
31996	6	6	5	2	8	10	3	4	6	6	7	7	3	5	10	5	4	7	9	6
32074	1	6	5	2	8	10	4	4	6	6	7	7	3	5	10	5	4	7	9	6
32075	6	6	5	2	8	10	3	4	6	6	7	7	3	5	10	5	4	7	9	6
32076	6	6	5	2	8	10	3	4	6	6	7	7	3	5	10	5	4	7	9	6
32077	6	6	5	2	8	10	3	4	6	6	7	7	3	5	10	5	4	7	9	6
32155	1	6	5	3	8	10	4	4	6	6	6	7	3	5	10	5	4	7	9	6
32156	1	6	5	3	8	10	4	4	6	6	7	7	3	5	10	5	4	7	9	6
32157	6	6	5	2	8	10	4	4	6	6	7	7	3	5	10	5	4	7	9	6
32158	6	6	5	2	8	10	3	4	6	6	7	7	3	5	10	5	4	7	9	6
32236	1	6	5	3	8	10	4	4	6	6	6	7	3	5	10	5	4	7	9	6
32237	1	6	5	3	8	10	4	4	6	6	7	7	3	5	10	5	4	7	9	6
32238	6	6	5	3	8	10	4	4	6	6	7	7	3	5	10	5	4	7	9	6
32239	6	6	5	3	8	10	4	4	6	6	7	7	3	5	10	5	4	7	9	6
