Feature	R	S	SI.Mean	SI.P.Mean	SI.Min	SI.P.Min
BIO03	TRUE	FALSE	46.7051338935482	0.992025204409913	10.1211689677469	0.931623046242265
BIO09	TRUE	TRUE	48.6832151575182	0.996966043555898	15.8040871097287	0.972223938712102
BIO12	TRUE	TRUE	48.3559561368187	0.998949909324063	18.7341897291309	0.989618059762052
BIO13	TRUE	TRUE	48.2783986553205	0.998411216446387	23.978196242659	0.98440406903861
BIO14	TRUE	TRUE	63.7858767734679	0.998914352427552	32.6177908702654	0.989143524275524
CDD	TRUE	TRUE	47.756355232493	0.989799047519689	21.0488196846818	0.921140442980327
CSDI	TRUE	TRUE	48.3136288212186	0.998921021367092	27.4370078380537	0.992518752730894
CWD	TRUE	TRUE	47.923785165417	0.995932341610202	15.7145137203851	0.961597971814337
DTR	TRUE	FALSE	48.4263445628924	0.997230426113849	23.7476878985525	0.974984632267948
R20MM	TRUE	TRUE	47.6469830436839	0.995377629201144	22.2983639394469	0.958373558508308
TN10P	TRUE	TRUE	48.1827346950888	0.999585030018549	30.590895222213	0.996333046993884
TNX	TRUE	TRUE	48.1742611078123	0.997054610106571	31.0359401896762	0.976587082147124
TX10P	TRUE	TRUE	47.9045834906636	0.993991616245187	21.3725190906026	0.951024854634999
TXN	TRUE	TRUE	46.600738691717	0.982780724749235	10.324198147133	0.852868176348815
TXX	TRUE	FALSE	48.1445339045489	0.997981342657592	25.6351278321614	0.983727084677663
WSDI	TRUE	TRUE	48.8234293518198	0.996432183803766	27.3342616788964	0.971003538743186
BIO19	FALSE	TRUE	49.777089733393	0.999773795522034	22.9580117887499	0.997737955220344
BIO08	FALSE	TRUE	47.5197607921497	0.996140824350264	27.1425963616734	0.964829417219258
TX90P	FALSE	TRUE	48.4163594625455	0.998523667453829	28.148255043324	0.986683117724184
R.Mean	FALSE	FALSE	48.9816224177518	0.995647043722293	22.3621730100833	0.962948236242377
S.Mean	FALSE	FALSE	49.1339472694455	0.996097125856341	23.5337279160387	0.966630469178372
