HID	PA
28594	0
28837	0
29080	0
29161	0
29323	0
30052	0
30133	1
30213	1
30214	1
30293	1
30294	1
30295	1
30374	1
30375	1
30376	1
30456	1
30457	1
30536	1
30537	1
30538	1
30617	1
30618	1
30619	1
30698	1
30699	1
30700	1
30778	1
30779	1
30780	1
30781	1
30860	1
30861	1
30862	1
30941	1
30942	1
30943	1
31021	1
31022	1
31023	1
31024	1
31103	1
31104	1
31105	1
31184	1
31185	1
31186	1
31264	1
31265	1
31266	1
31267	1
31345	1
31346	1
31347	1
31348	1
31427	1
31428	1
31429	1
31507	1
31508	1
31509	1
31510	1
31588	1
31589	1
31590	1
31591	1
31669	1
31670	1
31671	1
31672	1
31750	1
31751	1
31752	1
31753	1
31831	1
31832	1
31833	1
31834	1
31912	1
31913	1
31914	1
31915	1
31992	1
31993	1
31994	1
31995	1
31996	1
32074	1
32075	1
32076	1
32077	1
32155	1
32156	1
32157	1
32158	1
32236	1
32237	1
32238	1
32239	1
32317	1
32318	1
32319	1
32320	1
32399	1
32400	1
32401	1
32479	1
32480	1
32481	1
32482	1
32561	1
32562	1
32563	1
32643	1
32644	1
32723	1
32724	1
32725	1
32804	0
32805	1
32806	1
32886	1
32887	1
32966	0
32967	1
32968	1
33048	1
33049	1
33129	1
33130	1
33210	1
33211	1
33291	1
33292	1
33373	1
33453	1
33454	1
33534	1
33535	1
33616	1
33696	1
33697	1
33777	1
33778	1
33859	1
33939	1
33940	1
34021	1
34102	1
34182	1
34183	1
34264	1
34345	0
34425	0
34426	1
34506	0
34507	0
34588	0
34669	0
34750	0
34912	0
34993	0
35155	0
39385	0
39386	0
39387	0
39388	0
39389	1
39390	1
39391	1
39392	1
39393	1
39394	1
39395	1
39396	1
39397	1
39398	1
39399	1
39400	1
39401	1
39402	1
39403	1
39404	1
39405	1
39406	1
39407	0
39408	0
39409	0
39410	0
39411	0
39412	0
39413	0
39466	0
39467	0
39468	0
39469	1
39470	1
39471	1
39472	1
39473	1
39474	1
39475	1
39476	1
39477	1
39478	1
39479	1
39480	1
39481	1
39482	1
39483	1
39484	1
39485	1
39486	1
39487	1
39488	1
39489	0
39490	0
39491	0
39492	0
39493	0
39547	0
39548	0
39549	0
39550	0
39551	1
39552	1
39553	1
39554	1
39555	1
39556	1
39557	1
39558	1
39559	1
39560	1
39561	1
39562	1
39563	1
39564	1
39565	1
39566	1
39567	1
39568	1
39569	1
39570	0
39571	1
39572	0
39573	0
39574	0
39575	0
39629	0
39630	0
39631	0
39632	1
39633	1
39634	1
39635	1
39636	1
39637	1
39638	1
39639	1
39640	1
39641	1
39642	1
39643	1
39644	1
39645	1
39646	1
39647	1
39648	1
39649	1
39650	1
39651	1
39652	1
39653	0
39654	0
39655	0
39656	0
39657	0
39658	0
39709	0
39710	0
39711	0
39712	0
39713	1
39714	1
39715	1
39716	1
39717	1
39718	1
39719	1
39720	1
39721	1
39722	1
39723	1
39724	1
39725	1
39726	1
39727	1
39728	1
39729	1
39730	1
39731	1
39732	1
39733	1
39734	0
39735	0
39736	0
39737	0
39738	0
39739	0
39740	0
39790	0
39791	0
39792	0
39793	0
39794	0
39795	1
39796	1
39797	1
39798	1
39799	1
39800	1
39801	1
39802	1
39803	1
39804	1
39805	1
39806	1
39807	1
39808	1
39809	1
39810	1
39811	1
39812	1
39813	1
39814	1
39815	1
39816	1
39817	0
39818	0
39819	0
39820	0
39821	0
39822	0
39871	0
39872	0
39873	0
39874	0
39875	0
39876	1
39877	1
39878	1
39879	1
39880	1
39881	1
39882	1
39883	1
39884	1
39885	1
39886	1
39887	1
39888	1
39889	1
39890	1
39891	1
39892	1
39893	1
39894	1
39895	1
39896	1
39897	1
39898	0
39899	0
39900	0
39901	0
39902	0
39903	0
39952	0
39953	0
39954	0
39955	0
39956	0
39957	1
39958	1
39959	1
39960	1
39961	1
39962	1
39963	1
39964	1
39965	1
39966	1
39967	1
39968	1
39969	1
39970	1
39971	1
39972	1
39973	1
39974	1
39975	1
39976	1
39977	1
39978	1
39979	1
39980	0
39981	0
39982	0
39983	0
40033	0
40034	0
40035	0
40036	0
40037	0
40038	0
40039	1
40040	1
40041	1
40042	1
40043	1
40044	1
40045	1
40046	1
40047	1
40048	1
40049	1
40050	1
40051	1
40052	1
40053	1
40054	1
40055	1
40056	1
40057	1
40058	1
40059	1
40060	1
40061	1
40062	0
40063	0
40064	0
40065	0
40114	0
40115	0
40116	0
40117	0
40118	0
40119	0
40120	1
40121	1
40122	1
40123	1
40124	1
40125	1
40126	1
40127	1
40128	1
40129	1
40130	1
40131	1
40132	1
40133	1
40134	1
40135	1
40136	1
40137	1
40138	1
40139	1
40140	1
40141	1
40142	1
40143	0
40144	0
40145	0
40146	0
40147	0
40195	0
40196	0
40197	0
40198	0
40199	0
40200	0
40201	1
40202	1
40203	1
40204	1
40205	1
40206	1
40207	1
40208	1
40209	1
40210	1
40211	1
40212	1
40213	1
40214	1
40215	1
40216	1
40217	1
40218	1
40219	1
40220	1
40221	1
40222	1
40223	1
40224	0
40225	0
40226	0
40227	0
40276	0
40277	0
40278	0
40279	0
40280	0
40281	0
40282	1
40283	1
40284	1
40285	1
40286	1
40287	1
40288	1
40289	1
40290	1
40291	1
40292	1
40293	1
40294	1
40295	1
40296	1
40297	1
40298	1
40299	1
40300	1
40301	1
40302	1
40303	1
40304	1
40305	1
40306	0
40307	0
40308	0
40309	0
40357	0
40358	0
40359	0
40360	0
40361	0
40362	0
40363	0
40364	1
40365	1
40366	1
40367	1
40368	1
40369	1
40370	1
40371	1
40372	1
40373	1
40374	1
40375	1
40376	1
40377	1
40378	1
40379	1
40380	1
40381	1
40382	1
40383	1
40384	1
40385	1
40386	1
40387	0
40388	0
40389	0
40390	0
40391	0
40438	0
40439	0
40440	0
40441	0
40442	0
40443	0
40444	0
40445	1
40446	1
40447	1
40448	1
40449	1
40450	1
40451	1
40452	1
40453	1
40454	1
40455	1
40456	1
40457	1
40458	1
40459	1
40460	1
40461	1
40462	1
40463	1
40464	1
40465	1
40466	1
40467	1
40468	0
40469	0
40470	0
40471	0
40519	0
40520	0
40521	0
40522	0
40523	0
40524	0
40525	0
40526	1
40527	1
40528	1
40529	1
40530	1
40531	1
40532	1
40533	1
40534	1
40535	1
40536	1
40537	1
40538	1
40539	1
40540	1
40541	1
40542	1
40543	1
40544	1
40545	1
40546	1
40547	1
40548	1
40549	0
40550	1
40551	0
40552	0
40553	0
40600	0
40601	0
40602	0
40603	0
40604	0
40605	0
40606	0
40607	0
40608	1
40609	1
40610	1
40611	1
40612	1
40613	1
40614	1
40615	1
40616	1
40617	1
40618	1
40619	1
40620	1
40621	1
40622	1
40623	1
40624	1
40625	1
40626	1
40627	1
40628	1
40629	1
40630	1
40631	1
40632	0
40633	0
40634	0
40680	0
40681	0
40682	0
40683	0
40684	0
40685	0
40686	0
40687	0
40688	0
40689	1
40690	1
40691	1
40692	1
40693	1
40694	1
40695	1
40696	1
40697	1
40698	1
40699	1
40700	1
40701	1
40702	1
40703	1
40704	1
40705	1
40706	1
40707	1
40708	1
40709	1
40710	1
40711	1
40712	1
40713	0
40714	0
40715	0
40761	0
40762	0
40763	0
40764	0
40765	0
40766	0
40767	0
40768	0
40769	0
40770	1
40771	1
40772	1
40773	1
40774	1
40775	1
40776	1
40777	1
40778	1
40779	1
40780	1
40781	1
40782	1
40783	1
40784	1
40785	1
40786	1
40787	1
40788	1
40789	1
40790	1
40791	1
40792	1
40793	1
40794	1
40795	0
40796	0
40797	0
40798	0
40842	0
40843	0
40844	0
40845	0
40846	0
40847	0
40848	0
40849	0
40850	0
40851	0
40852	1
40853	1
40854	1
40855	1
40856	1
40857	1
40858	1
40859	1
40860	1
40861	1
40862	1
40863	1
40864	1
40865	1
40866	1
40867	1
40868	1
40869	1
40870	1
40871	1
40872	1
40873	1
40874	1
40875	1
40876	0
40877	0
40878	0
40879	0
40923	0
40924	0
40925	0
40926	0
40927	0
40928	0
40929	0
40930	0
40931	0
40932	1
40933	1
40934	1
40935	1
40936	1
40937	1
40938	1
40939	1
40940	1
40941	1
40942	1
40943	1
40944	1
40945	1
40946	1
40947	1
40948	1
40949	1
40950	1
40951	1
40952	1
40953	1
40954	1
40955	1
40956	1
40957	0
40958	0
40959	0
40960	0
41004	0
41005	0
41006	0
41007	0
41008	0
41009	0
41010	0
41011	0
41012	0
41013	0
41014	1
41015	1
41016	1
41017	1
41018	1
41019	1
41020	1
41021	1
41022	1
41023	1
41024	1
41025	1
41026	1
41027	1
41028	1
41029	1
41030	1
41031	1
41032	1
41033	1
41034	1
41035	1
41036	1
41037	1
41038	1
41039	0
41040	0
41041	0
41042	0
41085	0
41086	0
41087	0
41088	0
41089	0
41090	0
41091	0
41092	0
41093	0
41094	0
41095	0
41096	1
41097	1
41098	1
41099	1
41100	1
41101	1
41102	1
41103	1
41104	1
41105	1
41106	1
41107	1
41108	1
41109	1
41110	1
41111	1
41112	1
41113	1
41114	1
41115	1
41116	1
41117	1
41118	1
41119	1
41120	0
41121	0
41122	0
41123	0
41124	0
41166	0
41167	0
41168	0
41169	0
41170	0
41171	0
41172	0
41173	0
41174	0
41175	0
41176	1
41177	1
41178	1
41179	1
41180	1
41181	1
41182	1
41183	1
41184	1
41185	1
41186	1
41187	1
41188	1
41189	1
41190	1
41191	1
41192	1
41193	1
41194	1
41195	1
41196	1
41197	1
41198	1
41199	1
41200	1
41201	0
41202	0
41203	0
41204	0
41205	0
41247	0
41248	0
41249	0
41250	0
41251	0
41252	0
41253	0
41254	0
41255	0
41256	0
41257	0
41258	1
41259	1
41260	1
41261	1
41262	1
41263	1
41264	1
41265	1
41266	1
41267	1
41268	1
41269	1
41270	1
41271	1
41272	1
41273	1
41274	1
41275	1
41276	1
41277	1
41278	1
41279	1
41280	1
41281	1
41282	1
41283	0
41284	0
41285	0
41286	0
41287	0
41329	0
41330	0
41331	0
41332	0
41333	0
41334	0
41335	0
41336	0
41337	0
41338	0
41339	0
41340	1
41341	1
41342	1
41343	1
41344	1
41345	1
41346	1
41347	1
41348	1
41349	1
41350	1
41351	1
41352	1
41353	1
41354	1
41355	1
41356	1
41357	1
41358	1
41359	1
41360	1
41361	1
41362	1
41363	1
41364	0
41365	0
41366	0
41367	0
41368	0
41409	0
41410	0
41411	0
41412	0
41413	0
41414	0
41415	0
41416	0
41417	0
41418	0
41419	0
41420	1
41421	1
41422	1
41423	1
41424	1
41425	1
41426	1
41427	1
41428	1
41429	1
41430	1
41431	1
41432	1
41433	1
41434	1
41435	1
41436	1
41437	1
41438	1
41439	1
41440	1
41441	1
41442	1
41443	1
41444	1
41445	1
41446	0
41447	0
41448	0
41449	0
41491	0
41492	0
41493	0
41494	0
41495	0
41496	0
41497	0
41498	0
41499	0
41500	0
41501	0
41502	1
41503	1
41504	1
41505	1
41506	1
41507	1
41508	1
41509	1
41510	1
41511	1
41512	1
41513	1
41514	1
41515	1
41516	1
41517	1
41518	1
41519	1
41520	1
41521	1
41522	1
41523	1
41524	1
41525	1
41526	1
41527	1
41528	0
41529	0
41530	0
41531	0
41572	0
41573	0
41574	0
41575	0
41576	0
41577	0
41578	0
41579	0
41580	0
41581	0
41582	0
41583	1
41584	1
41585	1
41586	1
41587	1
41588	1
41589	1
41590	1
41591	1
41592	1
41593	1
