BIO01_Mean	BIO02_Mean	BIO03_Mean	BIO04_Mean	BIO05_Mean	BIO06_Mean	BIO07_Mean	BIO08_Mean	BIO09_Mean	BIO10_Mean	BIO11_Mean	BIO12_Mean	BIO13_Mean	BIO14_Mean	BIO15_Mean	BIO16_Mean	BIO17_Mean	BIO18_Mean	BIO19_Mean	CDD_IDW1N10	CSDI_IDW1N10	CWD_IDW1N10	DTR_IDW1N10	FD_IDW1N10	GSL_IDW1N10	ID_IDW1N10	PRCPTOT_IDW1N10	R10MM_IDW1N10	R1MM_IDW1N10	R20MM_IDW1N10	R95P_IDW1N10	R99P_IDW1N10	RX1DAY_IDW1N10	RX5DAY_IDW1N10	SDII_IDW1N10	SU_IDW1N10	TN10P_IDW1N10	TN90P_IDW1N10	TNN_IDW1N10	TNX_IDW1N10	TR_IDW1N10	TX10P_IDW1N10	TX90P_IDW1N10	TXN_IDW1N10	TXX_IDW1N10	WSDI_IDW1N10
BIO01_Mean	1.000000	0.415954	0.722957	-0.798293	0.790097	0.949307	-0.690881	0.670392	0.837244	0.861863	0.969826	0.151462	0.261523	-0.267187	0.576659	0.243522	-0.212528	0.000626	0.075850	0.506621	0.098723	0.277593	0.210622	-0.923452	0.933199	-0.862202	0.177103	0.264002	-0.020377	0.270168	0.213069	0.237294	0.279499	0.276587	0.337284	0.912979	0.476727	-0.210061	0.936941	0.580068	0.797213	0.630918	-0.547450	0.954760	0.395730	0.044879
BIO02_Mean	0.415954	1.000000	0.131977	-0.075820	0.687741	0.196206	0.164581	0.198795	0.394851	0.567217	0.296958	-0.491330	-0.329364	-0.523616	0.475864	-0.353045	-0.543971	-0.514216	-0.300975	0.718351	0.118423	-0.382247	0.742183	-0.343730	0.377131	-0.359142	-0.477743	-0.388228	-0.595636	-0.348680	-0.462934	-0.441510	-0.342457	-0.350917	-0.268702	0.301950	0.142172	-0.228620	0.273748	0.421499	0.157340	0.357578	-0.279056	0.327165	0.552996	0.311473
BIO03_Mean	0.722957	0.131977	1.000000	-0.940329	0.232101	0.858717	-0.907804	0.494329	0.566020	0.317207	0.846281	0.508277	0.447932	0.123908	0.293485	0.447165	0.203449	0.335213	0.353835	0.074759	-0.242295	0.673937	-0.191067	-0.699739	0.711724	-0.621356	0.576625	0.639839	0.472296	0.493350	0.521241	0.500593	0.381588	0.434199	0.475887	0.747030	0.413234	-0.037806	0.839108	-0.022343	0.582020	0.483570	-0.355506	0.831049	-0.243497	-0.329948
BIO04_Mean	-0.798293	-0.075820	-0.940329	1.000000	-0.285977	-0.931838	0.965110	-0.530619	-0.638016	-0.385977	-0.920073	-0.521202	-0.528892	-0.021291	-0.397268	-0.525828	-0.098932	-0.328855	-0.317362	-0.121621	0.148312	-0.629274	0.179492	0.784846	-0.793833	0.714777	-0.560486	-0.615347	-0.425961	-0.540313	-0.553129	-0.545299	-0.488930	-0.526245	-0.562140	-0.796860	-0.508696	0.089030	-0.910362	-0.075328	-0.660522	-0.541112	0.394303	-0.909247	0.144969	0.210488
BIO05_Mean	0.790097	0.687741	0.232101	-0.285977	1.000000	0.576281	-0.114415	0.485254	0.727553	0.977327	0.630264	-0.293123	-0.112727	-0.483798	0.538651	-0.138080	-0.476870	-0.393341	-0.179457	0.694248	0.265379	-0.197805	0.557722	-0.691713	0.700239	-0.676113	-0.292606	-0.204106	-0.466022	-0.133577	-0.236878	-0.195603	-0.069475	-0.110467	-0.041670	0.658353	0.275916	-0.269896	0.588940	0.822013	0.584444	0.454857	-0.435142	0.622537	0.784326	0.301153
BIO06_Mean	0.949307	0.196206	0.858717	-0.931838	0.576281	1.000000	-0.877820	0.616919	0.799931	0.676243	0.992136	0.359783	0.406381	-0.099019	0.467499	0.395940	-0.028497	0.174015	0.233267	0.306991	-0.026468	0.481199	-0.025290	-0.912954	0.917902	-0.847119	0.391758	0.464674	0.220592	0.425512	0.405757	0.414935	0.402407	0.416934	0.465310	0.896154	0.493417	-0.128734	0.975072	0.383219	0.780590	0.591584	-0.472578	0.974850	0.149792	-0.098867
BIO07_Mean	-0.690881	0.164581	-0.907804	0.965110	-0.114415	-0.877820	1.000000	-0.465506	-0.545959	-0.249214	-0.836621	-0.609143	-0.560057	-0.163188	-0.252578	-0.562224	-0.244853	-0.442066	-0.388733	0.033727	0.187712	-0.700868	0.357623	0.704354	-0.705371	0.633469	-0.647709	-0.684473	-0.541282	-0.595533	-0.632063	-0.619029	-0.529876	-0.571560	-0.590044	-0.703484	-0.438072	-0.001700	-0.840098	0.015949	-0.606326	-0.452524	0.319419	-0.820137	0.277609	0.296686
BIO08_Mean	0.670392	0.198795	0.494329	-0.530619	0.485254	0.616919	-0.465506	1.000000	0.240321	0.563109	0.642572	0.148153	0.242722	-0.093843	0.524672	0.222465	-0.065646	0.159533	-0.031797	0.285559	0.138252	0.242493	0.139836	-0.505169	0.507241	-0.367688	0.196788	0.218993	0.111828	0.227919	0.230934	0.251353	0.259959	0.266549	0.251831	0.701649	0.391154	-0.307177	0.557553	0.324332	0.629690	0.516121	-0.547357	0.598236	0.169706	-0.010186
BIO09_Mean	0.837244	0.394851	0.566020	-0.638016	0.727553	0.799931	-0.545959	0.240321	1.000000	0.762697	0.804601	0.066535	0.140478	-0.283836	0.412337	0.129297	-0.229967	-0.133209	0.109288	0.436843	0.078570	0.166509	0.195304	-0.843240	0.849661	-0.872128	0.063606	0.162303	-0.131605	0.164836	0.086739	0.105648	0.159044	0.148209	0.232628	0.698230	0.360576	-0.113590	0.817750	0.570377	0.601200	0.468478	-0.351118	0.809922	0.446169	0.051250
BIO10_Mean	0.861863	0.567217	0.317207	-0.385977	0.977327	0.676243	-0.249214	0.563109	0.762697	1.000000	0.716220	-0.196359	-0.032880	-0.425051	0.539887	-0.057455	-0.407005	-0.285719	-0.135022	0.659509	0.265781	-0.096253	0.462756	-0.760298	0.766845	-0.728714	-0.191900	-0.105889	-0.377394	-0.038519	-0.132488	-0.089489	0.022083	-0.015721	0.047241	0.733324	0.309723	-0.246185	0.674014	0.828950	0.671512	0.499493	-0.488769	0.700891	0.732076	0.240689
BIO11_Mean	0.969826	0.296958	0.846281	-0.920073	0.630264	0.992136	-0.836621	0.642572	0.804601	0.716220	1.000000	0.310514	0.384731	-0.163198	0.527664	0.372119	-0.096915	0.128785	0.183112	0.373301	0.001432	0.434629	0.059063	-0.917768	0.926815	-0.850352	0.342025	0.420094	0.161551	0.391583	0.361311	0.373476	0.377484	0.390134	0.444371	0.913901	0.516119	-0.169975	0.975073	0.410048	0.784565	0.622348	-0.507234	0.985342	0.200641	-0.057795
BIO12_Mean	0.151462	-0.491330	0.508277	-0.521202	-0.293123	0.359783	-0.609143	0.148153	0.066535	-0.196359	0.310514	1.000000	0.900074	0.479505	-0.102342	0.928355	0.563189	0.814283	0.636551	-0.525008	-0.205192	0.869126	-0.544813	-0.158552	0.156131	-0.125119	0.914336	0.882678	0.850039	0.823058	0.902077	0.880142	0.740007	0.775687	0.761756	0.267920	0.327335	-0.031251	0.288996	-0.372423	0.212819	0.024947	-0.053695	0.282567	-0.514910	-0.368410
BIO13_Mean	0.261523	-0.329364	0.447932	-0.528892	-0.112727	0.406381	-0.560057	0.242722	0.140478	-0.032880	0.384731	0.900074	1.000000	0.190845	0.169491	0.990882	0.265931	0.689504	0.510784	-0.376091	-0.026322	0.716065	-0.412357	-0.229616	0.232390	-0.189681	0.766412	0.726325	0.663770	0.794460	0.825734	0.824744	0.793916	0.816416	0.778982	0.358135	0.403087	-0.158394	0.352951	-0.195245	0.342200	0.131762	-0.176913	0.360151	-0.320431	-0.207394
