HID	I001	I002	I003	I004	I005	I006	I007	I008	I009	I010	I991	I992	I993	I994	I995	I996	I997	I998	I999	I1000
48489	2	6	6	1	7	9	9	6	10	1	1	2	8	6	10	8	5	9	3	9
48570	7	5	3	5	3	5	1	10	9	1	7	5	7	2	7	2	9	5	7	3
48571	6	7	3	2	1	2	4	6	5	10	10	7	4	2	7	8	7	4	6	4
48651	2	7	2	1	9	4	6	2	5	6	1	3	2	5	7	1	3	6	6	9
48652	4	10	3	6	7	8	6	5	10	1	4	1	6	7	2	3	5	1	10	1
48653	2	3	1	10	5	8	3	2	1	9	10	3	1	5	5	10	7	5	3	6
48731	10	4	3	1	3	9	1	9	3	8	4	9	3	9	9	5	5	10	10	2
48732	9	9	7	6	1	4	8	8	5	8	4	4	8	2	2	10	2	2	10	2
48733	5	2	9	6	2	9	8	2	10	7	9	1	1	10	5	1	1	9	5	5
48734	10	8	6	4	4	4	10	3	5	2	5	5	10	6	7	6	5	5	2	7
48812	1	3	9	1	9	7	4	4	8	5	8	6	10	10	1	3	3	7	2	1
48813	3	3	9	4	2	10	6	5	2	4	7	5	4	10	5	5	9	3	2	2
48814	4	1	4	7	10	8	2	10	3	7	5	8	1	1	5	2	7	1	4	5
48815	6	7	4	5	9	5	8	8	3	9	9	3	3	9	7	7	3	3	10	7
48816	3	10	10	2	6	9	2	6	4	4	5	5	2	2	2	9	7	5	8	8
48893	6	4	6	9	3	2	1	7	2	2	3	2	1	7	7	3	8	4	1	10
48894	3	2	3	8	2	6	10	7	4	10	7	4	1	9	10	10	3	7	2	10
48895	4	9	1	2	6	8	3	6	7	3	8	5	9	9	2	10	2	8	1	2
48896	1	3	2	10	5	8	1	10	7	7	4	1	1	4	2	1	1	5	9	9
48897	5	7	2	7	6	5	9	9	5	3	9	8	7	2	5	1	3	8	8	7
48898	6	3	4	9	4	5	8	3	2	1	8	8	1	6	7	8	10	8	4	6
48973	9	5	10	4	2	6	3	3	1	5	10	1	9	2	9	6	2	6	3	10
48974	8	8	6	4	8	10	3	1	2	3	4	4	5	3	2	1	9	8	9	1
48975	4	9	7	8	4	3	1	7	7	5	7	4	8	3	9	2	10	2	10	8
48976	5	8	5	3	2	9	6	6	1	3	1	9	6	8	2	3	7	7	10	7
48977	8	8	9	9	2	7	6	2	8	10	9	1	9	10	5	3	4	4	3	2
48978	7	10	4	4	1	8	5	2	10	9	9	3	6	6	3	5	8	10	2	9
