ID	I0001	I0002	I0003	I0004	I0005	I0006	I0007	I0008	I0009	I0010	I0991	I0992	I0993	I0994	I0995	I0996	I0997	I0998	I0999	I1000
48489	6	9	8	5	1	1	2	1	10	2	3	1	1	6	10	2	2	1	9	8
48570	6	9	8	5	1	1	2	1	10	3	3	1	1	6	10	2	2	1	9	8
48571	6	9	8	5	1	1	2	1	10	2	3	1	1	6	10	2	2	1	9	8
48651	6	9	8	5	2	1	2	1	10	3	3	1	1	6	10	3	2	1	9	8
48652	6	9	8	5	1	1	2	1	10	2	3	1	1	6	10	2	2	1	9	8
48653	6	4	8	5	1	1	2	1	10	2	3	1	10	6	10	2	2	1	9	8
48731	6	9	8	5	2	2	2	1	10	3	3	1	1	6	10	3	2	1	9	8
48732	6	9	8	5	1	1	2	1	10	3	3	1	1	6	10	2	2	1	9	8
48733	6	9	8	5	1	1	2	1	10	2	3	1	1	6	10	2	2	1	9	8
48734	6	4	8	5	1	1	2	1	10	2	3	1	10	6	10	2	2	1	9	8
48812	6	9	8	9	2	2	2	1	10	3	3	1	1	6	10	3	2	1	9	8
48813	6	9	8	5	2	2	2	1	10	3	3	1	1	6	10	2	2	1	9	8
48814	6	9	8	5	1	1	2	1	10	2	3	1	1	6	10	2	2	1	9	8
48815	6	4	8	5	1	1	2	1	10	2	3	1	10	6	10	2	2	1	9	8
48816	6	4	8	5	1	1	2	1	10	2	10	8	10	6	10	2	2	8	3	8
48893	6	9	8	9	2	2	2	1	10	3	3	1	1	6	10	3	2	1	9	8
48894	6	9	8	5	2	2	2	1	10	3	3	1	1	6	10	3	2	1	9	8
48895	6	9	8	5	1	1	2	1	10	2	3	1	1	6	10	2	2	1	9	8
48896	6	9	8	5	1	1	2	1	10	2	3	1	1	6	10	2	2	1	9	8
48897	6	4	8	5	1	1	2	1	10	2	3	1	10	6	10	2	2	1	3	8
48898	6	4	8	5	1	1	2	1	10	2	10	8	10	6	10	2	2	8	3	8
48973	6	9	8	9	2	2	2	1	10	3	3	1	1	6	10	3	2	1	9	8
48974	6	9	8	9	2	2	2	1	10	3	3	1	1	6	10	3	2	1	9	8
48975	6	9	8	5	2	2	2	1	10	3	3	1	1	6	10	2	2	1	9	8
48976	6	9	8	5	1	1	2	1	10	2	3	1	1	6	10	2	2	1	9	8
48977	6	4	8	5	1	1	2	1	10	2	3	1	1	6	10	2	2	1	3	8
48978	6	4	8	5	1	1	2	1	10	2	10	8	10	6	10	2	2	8	3	8
48979	6	4	8	5	1	1	2	1	10	2	10	8	10	6	10	2	2	8	3	9
49054	6	9	8	9	2	2	2	1	10	3	3	1	1	6	10	3	2	1	9	8
49055	6	9	8	9	2	2	2	1	10	3	3	1	1	6	10	3	2	1	9	8
49056	6	9	8	5	2	2	2	1	10	3	3	1	1	6	10	2	2	1	9	8
49057	6	9	8	5	2	1	2	1	10	2	3	1	1	6	10	2	2	1	9	8
49058	6	9	8	5	1	1	2	1	10	2	3	1	1	6	10	2	2	1	3	8
49059	6	4	8	5	1	1	2	1	10	2	3	1	10	6	10	2	2	1	3	8
49060	6	4	8	5	1	1	2	1	10	2	10	8	10	6	10	2	2	8	3	9
49061	6	4	8	5	1	1	2	1	10	2	10	8	10	6	10	2	2	8	3	9
