Feature	R	S	R.Frequency	S.Frequency	SI.Mean	SI.P.Mean	SI.Min	SI.P.Min
BIO04	TRUE	FALSE	1	0	46.5973908130916	0.991730832560394	14.8775571689737	0.929122348442912
BIO13	TRUE	FALSE	1	0	47.1106572204143	0.993245495192159	14.3568142694916	0.945080962918013
BIO19	TRUE	FALSE	1	0	48.3301285763508	0.992862952561326	22.6946530323658	0.928629525613258
GSL	TRUE	FALSE	1	0	-0.692587606551581	0.12862078289871	-19.015288508371	0
RX5DAY	TRUE	FALSE	1	0	47.294304023675	0.984630116773429	16.2636584192131	0.873636338414739
TN90P	FALSE	TRUE	0	1	48.935559830365	0.993908809723447	30.0745047791066	0.94216091703532
BIO05	FALSE	TRUE	0	0.89	48.5406695976936	0.986917051733782	14.9218687782118	0.884152144081542
CDD	FALSE	TRUE	0	0.78	47.5227986466365	0.992415044360207	22.604027868766	0.938216035872998
BIO18	FALSE	TRUE	0	0.76	47.853535552469	0.992972603040199	25.7609517052024	0.942352752212128
CSDI	FALSE	TRUE	0	0.63	48.3753433960729	0.987640159697414	12.4449428552607	0.886737669182941
R.Mean	FALSE	FALSE	0	0	37.727978605396	0.818218035997204	9.83547887633464	0.735293835077784
S.Mean	FALSE	FALSE	0	0	48.2455814046474	0.99077073371101	21.1612591973095	0.918723903676986
