HID	PA
48489	0
48570	0
48571	0
48651	0
48652	0
48653	0
48731	0
48732	0
48733	0
48734	0
48812	0
48813	0
48814	0
48815	0
48816	0
48893	0
48894	0
48895	0
48896	0
48897	0
48898	0
48973	0
48974	0
48975	0
48976	0
48977	0
48978	0
48979	0
49054	0
49055	0
49056	0
49057	0
49058	0
49059	0
49060	0
49061	0
49135	0
49136	0
49137	0
49138	0
49139	0
49140	0
49141	0
49142	0
49143	0
49215	0
49216	0
49217	0
49218	0
49219	0
49220	0
49221	0
49222	0
49223	0
49224	0
49297	0
49298	0
49299	0
49300	0
49301	0
49302	0
49303	0
49304	0
49305	0
49306	0
49378	0
49379	0
49380	0
49381	0
49382	0
49383	0
49384	0
49385	0
49386	0
49387	0
49459	0
49460	0
49461	0
49462	0
49463	1
49464	0
49465	0
49466	0
49467	0
49468	0
49540	0
49541	0
49542	0
49543	0
49544	1
49545	1
49546	0
49547	0
49548	0
49549	0
49550	0
49622	0
49623	0
49624	0
49625	1
49626	1
49627	0
49628	0
49629	0
49630	0
49631	0
49702	0
49703	0
49704	0
49705	1
49706	1
49707	1
49708	1
49709	0
49710	0
49711	0
49712	0
49784	0
49785	0
49786	0
49787	1
49788	1
49789	1
49790	1
49791	0
49792	0
49793	0
49794	0
49865	0
49866	0
49867	0
49868	1
49869	1
49870	1
49871	1
49872	0
49873	0
49874	0
49875	0
49876	0
49946	0
49947	0
49948	0
49949	1
49950	1
49951	1
49952	1
49953	0
49954	0
49955	0
49956	0
49957	0
50027	0
50028	0
50029	0
50030	0
50031	1
50032	1
50033	1
50034	1
50035	0
50036	0
50037	0
50038	0
50109	0
50110	0
50111	0
50112	1
50113	1
50114	1
50115	1
50116	0
50117	0
50118	0
50119	0
50120	0
50189	0
50190	0
50191	0
50192	0
50193	1
50194	1
50195	1
50196	1
50197	0
50198	0
50199	0
50200	0
50201	0
50271	0
50272	0
50273	0
50274	0
50275	0
50276	1
50277	1
50278	1
50279	0
50280	0
50281	0
50282	0
50352	0
50353	0
50354	0
50355	0
50356	0
50357	1
50358	1
50359	1
50360	0
50361	0
50362	0
50363	0
50364	0
50433	0
50434	0
50435	0
50436	0
50437	0
50438	1
50439	1
50440	1
50441	1
50442	0
50443	0
50444	0
50445	0
50515	0
50516	0
50517	0
50518	0
50519	0
