BIO01_Mean	BIO02_Mean	BIO03_Mean	BIO04_Mean	BIO05_Mean	BIO06_Mean	BIO07_Mean	BIO08_Mean	BIO09_Mean	BIO10_Mean	BIO11_Mean	BIO12_Mean	BIO13_Mean	BIO14_Mean	BIO15_Mean	BIO16_Mean	BIO17_Mean	BIO18_Mean	BIO19_Mean	CDD_IDW1N10	CSDI_IDW1N10	CWD_IDW1N10	DTR_IDW1N10	FD_IDW1N10	GSL_IDW1N10	ID_IDW1N10	PRCPTOT_IDW1N10	R10MM_IDW1N10	R1MM_IDW1N10	R20MM_IDW1N10	R95P_IDW1N10	R99P_IDW1N10	RX1DAY_IDW1N10	RX5DAY_IDW1N10	SDII_IDW1N10	SU_IDW1N10	TN10P_IDW1N10	TN90P_IDW1N10	TNN_IDW1N10	TNX_IDW1N10	TR_IDW1N10	TX10P_IDW1N10	TX90P_IDW1N10	TXN_IDW1N10	TXX_IDW1N10	WSDI_IDW1N10
BIO01_Mean	1.000000	-0.228911	0.506751	-0.661469	0.802922	0.863791	-0.439565	0.773314	0.926424	0.903314	0.958100	0.448990	0.573071	0.036859	0.213692	0.540671	0.064264	-0.096498	0.465106	0.114719	0.415975	0.467253	-0.145873	-0.512824	0.464443	-0.312039	0.355050	0.272247	0.460619	-0.015575	0.275519	0.255164	-0.035302	0.022593	-0.021286	0.875545	0.320887	0.053695	0.783560	0.484708	0.787370	0.374307	-0.223396	0.909162	0.474201	0.084967
BIO02_Mean	-0.228911	1.000000	-0.531631	0.678130	0.323268	-0.637224	0.910328	0.056384	-0.429998	0.081016	-0.413816	-0.574307	-0.419030	-0.489048	0.336366	-0.421066	-0.512483	-0.406072	-0.462666	0.453799	-0.156002	-0.494164	0.774690	0.120748	-0.097132	0.005589	-0.494535	-0.428709	-0.506406	-0.448612	-0.617861	-0.645655	-0.414848	-0.363769	-0.101609	-0.121857	-0.174814	0.034880	-0.561004	0.043513	-0.225320	-0.014112	0.342489	-0.334822	0.393331	0.352756
BIO03_Mean	0.506751	-0.531631	1.000000	-0.852735	0.056993	0.772858	-0.816649	0.129938	0.686538	0.181901	0.679939	0.675789	0.400602	0.633624	-0.462297	0.384357	0.680514	0.164188	0.669938	-0.294193	0.026883	0.724237	-0.434494	-0.274605	0.242992	-0.136241	0.692038	0.661134	0.685815	0.405759	0.563394	0.490748	0.042880	0.064175	0.179987	0.462799	0.100166	0.199554	0.665998	-0.112699	0.259958	0.051604	-0.125747	0.581022	-0.283106	-0.201036
BIO04_Mean	-0.661469	0.678130	-0.852735	1.000000	-0.161392	-0.899044	0.889116	-0.188949	-0.825946	-0.291528	-0.844239	-0.780954	-0.695008	-0.403559	0.167640	-0.682505	-0.448823	-0.206655	-0.619173	0.134220	-0.318799	-0.731420	0.485016	0.354528	-0.306708	0.145884	-0.684604	-0.637775	-0.700862	-0.405543	-0.595046	-0.525377	-0.103157	-0.150405	-0.215469	-0.590712	-0.338607	-0.062670	-0.795294	-0.006481	-0.454427	-0.270603	0.320694	-0.788425	0.130706	0.185705
BIO05_Mean	0.802922	0.323268	0.056993	-0.161392	1.000000	0.444561	0.149354	0.749346	0.621073	0.946725	0.639144	0.054436	0.290074	-0.283204	0.391724	0.259121	-0.275589	-0.400884	0.191516	0.310402	0.260549	0.123408	0.306303	-0.366074	0.322623	-0.261908	-0.000441	-0.051012	0.122334	-0.346718	-0.138216	-0.163740	-0.306166	-0.241356	-0.176878	0.721141	0.231460	0.012254	0.375448	0.518339	0.639553	0.372232	-0.090961	0.600559	0.714246	0.216652
BIO06_Mean	0.863791	-0.637224	0.772858	-0.899044	0.444561	1.000000	-0.819305	0.481930	0.952436	0.613031	0.953164	0.665042	0.627948	0.336781	-0.103541	0.603173	0.376287	0.070331	0.662463	-0.168532	0.308812	0.655917	-0.468410	-0.436151	0.380588	-0.226072	0.570110	0.483703	0.652782	0.220273	0.517322	0.492995	0.090052	0.109294	0.023573	0.737410	0.318969	0.051340	0.879248	0.274882	0.669573	0.275924	-0.331846	0.853766	0.114471	-0.150083
BIO07_Mean	-0.439565	0.910328	-0.816649	0.889116	0.149354	-0.819305	1.000000	-0.052337	-0.653818	-0.070714	-0.643054	-0.699271	-0.507496	-0.553036	0.365033	-0.499960	-0.591771	-0.334237	-0.608682	0.384721	-0.174111	-0.645050	0.713121	0.247131	-0.213609	0.081908	-0.629606	-0.566594	-0.642277	-0.465082	-0.659523	-0.649007	-0.295378	-0.275135	-0.139239	-0.352405	-0.203943	-0.048829	-0.730250	0.028350	-0.329746	-0.066320	0.308090	-0.558030	0.330820	0.304347
BIO08_Mean	0.773314	0.056384	0.129938	-0.188949	0.749346	0.481930	-0.052337	1.000000	0.514713	0.848363	0.607622	0.105203	0.257996	-0.105288	0.341644	0.234537	-0.096710	-0.026560	0.117859	0.126941	0.327988	0.150745	0.001007	-0.401912	0.382073	-0.285925	0.079695	-0.002426	0.177101	-0.131528	0.116622	0.156249	0.113025	0.160561	-0.026420	0.659578	0.118403	0.064714	0.472755	0.564019	0.651932	0.203373	-0.010001	0.599244	0.551390	0.237379
BIO09_Mean	0.926424	-0.429998	0.686538	-0.825946	0.621073	0.952436	-0.653818	0.514713	1.000000	0.735644	0.972886	0.585467	0.611863	0.196122	-0.004278	0.585494	0.234687	-0.059291	0.607750	-0.037438	0.319946	0.572744	-0.306720	-0.485411	0.429871	-0.269844	0.470276	0.391167	0.565826	0.084357	0.375032	0.343023	-0.039143	-0.007419	-0.044897	0.818287	0.340875	0.051730	0.849794	0.363005	0.719984	0.331617	-0.310793	0.891739	0.288695	-0.086191
BIO10_Mean	0.903314	0.081016	0.181901	-0.291528	0.946725	0.613031	-0.070714	0.848363	0.735644	1.000000	0.757691	0.136841	0.331817	-0.162169	0.323008	0.294891	-0.152354	-0.291569	0.284856	0.185699	0.279708	0.184946	0.086353	-0.418442	0.382141	-0.291761	0.070271	-0.015763	0.216367	-0.292962	-0.002506	0.006249	-0.165492	-0.136995	-0.218809	0.779335	0.216364	0.044819	0.544816	0.603293	0.761839	0.294198	-0.126136	0.698814	0.666658	0.128846
