HID	I001	I002	I003	I004	I005	I006	I007	I008	I009	I010	I991	I992	I993	I994	I995	I996	I997	I998	I999	I1000
75	6	2	8	10	2	7	7	2	3	10	6	2	8	3	5	3	3	10	9	3
76	10	9	5	10	3	3	6	6	6	10	1	10	9	3	9	8	7	2	1	10
77	9	7	7	9	1	3	1	8	1	7	8	4	2	2	10	2	3	3	3	1
78	6	3	9	1	5	1	7	5	3	5	7	3	9	3	3	5	3	5	9	4
79	8	1	3	2	7	4	7	5	4	4	6	7	1	3	2	8	4	4	3	8
80	7	10	5	5	1	6	9	1	7	9	5	2	5	7	7	4	9	6	10	10
81	3	10	3	10	4	7	2	7	10	5	6	9	1	2	10	2	10	6	9	8
82	7	1	9	8	3	3	3	3	2	5	1	7	7	6	5	1	1	7	4	10
156	6	2	9	1	8	7	9	8	10	1	4	3	1	1	2	8	3	3	7	4
157	2	1	2	5	4	4	5	7	7	9	4	5	6	6	10	8	7	2	8	8
158	3	8	7	6	8	3	4	1	6	7	4	7	7	2	2	10	1	10	5	5
159	2	8	10	4	1	4	4	8	3	4	2	9	4	7	9	4	7	2	7	8
160	1	2	3	6	9	5	6	2	5	7	9	7	1	1	4	4	3	5	4	10
161	1	3	4	4	4	3	4	8	4	8	2	2	10	7	4	3	6	2	4	8
162	4	8	6	8	3	1	8	1	10	3	2	7	4	7	5	3	8	4	10	2
238	2	9	5	5	4	9	4	2	2	4	1	9	2	6	2	2	6	2	1	6
239	3	2	10	9	2	6	10	2	8	5	8	4	5	10	1	7	2	1	4	5
240	9	5	4	10	10	9	2	1	3	5	10	3	6	1	10	8	5	1	1	2
241	8	4	1	2	3	9	10	4	8	8	5	3	4	9	9	1	7	3	6	1
242	10	9	5	10	10	10	10	10	9	5	3	6	1	7	5	6	5	7	1	5
243	1	5	3	10	2	9	5	7	2	8	9	6	5	7	9	3	10	1	8	6
320	3	1	4	7	5	3	5	2	8	3	9	8	10	5	8	2	7	9	1	7
321	5	9	5	10	8	5	1	4	9	8	6	8	2	8	5	1	1	2	1	4
322	10	6	10	5	10	3	1	10	4	6	6	2	4	6	7	8	9	9	7	7
323	1	4	2	8	8	1	2	8	3	8	1	5	5	1	4	7	7	6	1	9
324	10	10	2	7	6	3	10	6	3	4	7	6	4	4	3	6	4	7	1	6
325	1	1	6	1	10	10	4	2	4	4	5	5	4	3	3	7	7	5	7	3
401	8	2	3	2	4	3	6	8	3	8	3	4	8	3	3	3	8	10	4	4
402	4	10	5	7	2	10	9	2	3	7	10	4	9	8	4	6	2	4	10	3
403	2	7	4	4	7	2	3	9	2	8	1	4	10	7	8	6	4	5	10	6
404	8	1	10	5	8	1	8	5	8	10	4	10	1	5	9	1	8	8	2	1
405	9	5	4	5	3	8	2	6	10	10	8	8	1	10	2	2	4	6	10	6
406	6	3	6	9	2	10	4	8	7	8	4	10	10	2	5	7	10	5	1	2
483	6	5	6	2	2	1	1	3	2	4	10	7	1	8	8	8	5	8	3	8
484	3	2	1	10	1	10	1	8	7	10	9	3	1	3	5	7	9	2	6	2
485	2	4	1	7	10	9	4	5	5	5	6	7	3	5	8	8	6	7	3	8
486	5	8	7	9	1	9	9	4	6	1	2	4	7	9	6	1	3	2	1	7
487	9	3	7	1	1	4	9	4	10	1	6	3	2	1	5	6	3	7	6	9
564	7	3	2	7	3	9	5	1	8	1	9	6	5	9	4	1	3	6	9	2
565	9	4	7	1	2	5	6	2	7	9	9	7	6	1	10	5	3	7	9	1
566	8	4	4	6	10	9	7	3	3	10	4	2	10	5	9	7	10	10	9	3
567	6	9	7	7	2	4	1	10	5	6	2	1	8	3	6	1	2	2	2	3
568	5	6	9	4	2	5	7	5	2	5	4	4	8	2	10	4	2	4	5	8
645	10	9	7	3	6	6	9	6	4	5	5	7	9	7	10	4	10	3	1	10
646	6	9	6	4	3	1	8	5	8	7	5	7	1	1	6	4	9	2	6	1
647	7	1	6	4	7	9	4	6	8	9	1	4	8	7	10	8	10	10	2	4
648	10	6	5	8	9	3	8	5	3	3	9	1	7	9	6	5	9	10	9	9
649	3	6	10	5	2	3	9	4	6	6	10	5	9	8	8	6	8	10	1	5
727	2	2	3	3	4	2	3	1	9	8	10	8	8	10	10	5	1	8	5	3
728	5	6	1	2	10	8	9	6	3	3	1	3	10	6	2	9	2	6	7	2
729	2	3	9	6	9	6	7	5	9	1	3	9	6	10	2	1	7	8	10	5
730	9	7	10	6	8	6	7	7	5	8	3	3	1	6	1	9	4	5	7	7
809	8	10	5	7	1	3	7	8	2	6	3	7	2	8	3	10	3	1	3	4
810	10	4	8	1	1	8	5	7	8	4	1	6	10	5	8	9	3	3	5	3
811	3	4	3	9	4	7	9	8	6	6	4	5	9	8	9	2	10	3	4	9
889	9	9	6	6	1	5	8	3	3	2	8	4	4	7	6	4	10	2	7	5
890	10	2	8	10	1	6	5	10	5	5	6	5	3	1	9	9	7	3	10	3
891	4	3	8	7	3	3	10	7	4	7	5	3	1	8	7	9	7	2	6	8
892	8	2	3	4	10	9	4	3	7	6	7	3	5	10	3	7	2	6	3	2
972	10	8	3	2	6	10	5	2	4	6	6	6	6	4	3	7	2	8	3	9
973	1	6	1	3	1	8	2	8	1	5	3	4	6	3	6	1	4	1	8	6
19763	3	7	3	2	10	8	8	10	4	6	5	6	9	5	10	6	9	7	10	8
19764	7	9	9	2	4	3	4	8	9	3	4	3	2	2	3	10	6	10	7	8
19843	3	8	7	2	5	4	6	9	6	8	2	5	4	10	10	6	8	9	1	9
19844	2	6	8	8	6	3	4	1	8	3	9	9	6	7	2	1	5	1	1	5
19925	7	4	2	6	2	3	7	6	7	1	1	7	10	4	1	4	5	10	3	1
19926	1	1	2	4	10	6	4	3	8	2	3	5	7	6	10	6	10	3	3	10
20161	3	7	6	3	8	5	6	7	7	7	4	6	5	8	4	6	2	2	5	2
20242	8	1	10	2	1	1	3	8	8	10	6	9	9	5	1	9	1	1	5	5
20243	1	2	3	8	2	4	8	6	1	6	5	7	10	9	8	7	5	1	1	1
20323	2	1	5	8	8	9	5	4	5	1	1	1	2	1	6	4	7	3	5	2
20332	2	4	9	6	1	9	10	2	6	7	9	5	4	7	6	4	6	7	10	3
20404	2	4	9	10	4	10	5	6	8	2	1	6	6	4	6	4	7	1	7	10
20405	5	6	10	10	6	10	6	6	3	7	3	7	10	9	3	6	8	8	7	3
20406	10	4	6	8	10	3	7	1	3	4	5	6	7	1	5	10	2	4	2	2
20485	1	4	10	10	10	8	4	8	7	8	10	6	3	8	10	10	6	7	3	9
20486	3	9	9	8	8	6	8	4	4	3	9	2	10	7	2	1	10	1	4	2
20487	8	1	3	1	9	10	8	10	9	9	8	2	8	1	8	6	5	8	8	6
20566	9	3	10	3	5	10	7	4	9	6	8	8	1	2	7	9	6	1	6	2
20567	5	5	6	3	4	3	6	7	1	4	9	1	9	9	7	8	9	2	5	8
20568	5	3	3	1	5	9	1	10	7	1	1	1	3	6	9	8	6	4	2	3
20647	10	10	8	8	1	10	7	6	8	3	1	4	4	5	7	3	2	2	5	1
20648	2	1	7	2	2	7	7	9	8	3	3	8	7	3	6	3	6	4	6	3
20649	8	8	3	3	1	4	8	6	6	3	2	1	10	9	9	4	2	3	5	7
20729	8	8	7	10	10	5	7	6	10	4	6	6	9	6	6	9	10	2	6	6
20730	10	9	9	9	8	3	6	5	8	4	1	5	4	10	7	7	4	4	7	8
20810	10	1	10	6	3	6	2	10	8	9	1	8	2	8	7	2	9	7	10	5
20811	10	10	1	4	2	8	6	6	2	4	9	5	6	8	4	8	1	6	2	4
