ID	I0001	I0002	I0003	I0004	I0005	I0006	I0007	I0008	I0009	I0010	I0991	I0992	I0993	I0994	I0995	I0996	I0997	I0998	I0999	I1000
75	8	3	2	2	7	9	3	6	6	3	7	8	3	9	5	8	8	4	3	4
76	8	3	2	2	7	9	3	6	5	3	7	8	4	9	5	8	8	4	3	4
77	8	3	2	2	7	9	3	6	5	3	7	8	4	9	5	8	8	4	3	4
78	8	3	2	2	7	9	3	6	5	3	7	8	4	9	5	8	8	4	3	4
79	8	3	2	2	7	9	3	6	5	3	7	8	4	9	5	8	10	4	3	4
80	8	3	2	2	7	9	3	6	5	3	7	8	4	9	5	8	10	4	4	4
81	8	3	2	2	10	9	3	6	5	3	7	8	4	9	5	8	10	4	4	4
82	8	3	2	2	10	9	3	6	5	3	7	8	4	9	5	8	10	4	4	4
156	8	3	2	2	7	9	3	6	6	3	7	8	4	9	5	8	8	4	3	4
157	8	3	2	2	7	9	3	6	6	3	7	8	4	9	5	8	8	4	3	4
158	8	3	2	2	7	9	3	6	6	3	7	8	4	9	5	8	8	4	3	4
159	8	3	2	2	7	9	3	6	5	3	7	8	4	9	5	8	10	4	3	4
160	8	3	2	2	7	9	3	6	5	3	7	8	4	9	5	8	10	4	4	4
161	8	3	2	2	10	9	3	6	5	3	7	8	4	9	5	8	10	4	4	4
162	8	3	2	2	10	9	3	6	5	3	7	8	4	9	5	8	10	4	4	4
238	8	3	2	2	7	9	3	6	6	3	7	8	4	9	5	8	8	4	3	4
239	8	3	2	2	7	9	3	6	6	3	7	8	4	9	5	8	8	4	3	4
240	8	3	2	2	7	9	3	6	6	3	7	8	4	9	5	8	8	4	3	4
241	8	3	2	2	7	9	3	6	6	3	7	8	4	9	5	8	10	4	4	4
242	8	3	2	2	10	9	3	6	6	3	7	8	4	9	5	8	10	4	4	4
243	8	3	2	2	10	9	3	6	6	3	7	8	4	9	5	8	10	4	4	4
320	8	3	2	2	7	9	3	6	6	3	7	8	4	9	5	8	8	4	3	4
321	8	3	2	2	7	9	3	6	6	3	7	8	4	9	5	8	8	4	3	4
322	8	3	2	2	7	9	3	6	6	4	7	8	4	9	5	8	10	4	4	4
323	8	3	2	2	10	9	3	6	6	4	7	8	4	9	5	8	10	4	4	4
324	8	3	2	2	10	9	3	6	6	4	7	8	4	9	8	8	10	4	4	4
325	8	3	2	2	10	9	4	6	6	4	7	8	4	9	8	8	10	4	4	4
401	8	3	2	2	7	9	3	6	6	4	7	8	4	9	5	8	8	4	3	4
402	8	3	2	2	7	9	3	6	6	4	7	8	4	9	5	8	10	4	4	4
403	8	3	2	2	7	9	3	6	6	4	7	8	4	9	5	8	10	4	4	4
404	8	3	2	2	10	9	3	6	6	4	7	8	4	9	8	8	10	4	4	4
405	8	3	2	2	10	9	4	6	6	4	7	8	4	9	8	8	10	4	4	4
406	8	3	2	2	10	9	4	6	6	4	7	8	4	9	8	8	10	4	4	4
483	8	3	2	2	7	9	3	6	6	4	7	8	4	9	5	8	10	4	4	4
484	8	3	2	2	7	9	3	6	6	4	7	8	4	9	5	8	10	4	4	4
485	8	3	2	2	10	9	4	6	6	4	7	8	4	9	8	8	10	4	4	4
486	8	3	2	2	10	9	4	6	6	4	7	8	4	9	8	8	10	4	4	4
487	8	3	2	2	10	9	4	6	6	4	7	8	4	9	8	8	10	4	4	4
564	8	3	2	2	7	9	3	6	6	4	7	8	4	9	5	8	8	4	4	4
565	8	3	2	2	7	9	3	6	6	4	7	8	4	9	5	8	10	4	4	4
566	8	3	2	2	10	9	4	6	6	4	7	8	4	9	8	8	10	4	4	4
567	8	3	2	2	10	9	4	6	6	4	7	8	4	9	8	8	10	4	4	4
568	8	3	2	2	10	9	4	6	6	4	7	8	4	9	8	8	10	4	4	4
645	8	3	2	2	7	9	3	6	6	4	7	8	4	9	5	8	10	4	4	4
646	8	3	2	2	10	9	4	6	6	4	7	8	4	9	8	8	10	4	4	4
647	8	3	2	2	10	9	4	6	6	4	7	8	4	9	8	8	10	4	4	4
648	8	3	2	2	10	9	4	6	6	4	7	8	4	9	8	8	10	4	4	4
649	8	3	2	2	10	9	4	6	6	4	7	8	4	9	8	8	10	4	4	4
727	8	3	2	2	7	9	4	6	6	4	7	8	4	9	8	8	10	4	4	4
728	8	3	2	2	10	9	4	6	6	4	7	8	4	9	8	8	10	4	4	4
729	8	3	2	2	10	9	4	6	6	4	7	8	4	9	8	8	10	4	4	4
730	8	3	2	2	10	9	4	6	6	4	7	8	4	9	8	8	10	4	4	4
809	8	3	2	2	10	9	4	6	6	4	7	8	4	9	8	8	10	4	4	4
810	8	3	2	2	10	9	4	6	6	4	7	8	4	9	8	8	10	4	4	4
811	8	3	2	2	10	9	4	6	6	4	7	8	4	9	8	8	10	4	4	4
889	8	3	2	2	10	9	4	6	6	4	7	8	4	9	8	8	10	4	4	4
890	8	3	2	2	10	9	4	6	6	4	7	8	4	9	8	8	10	4	4	4
891	8	3	2	2	10	9	4	6	6	4	7	8	4	9	8	8	10	4	4	4
892	8	3	2	2	10	9	4	6	6	4	7	8	4	9	8	8	10	4	4	4
972	8	3	2	2	10	9	4	6	6	4	7	8	4	9	8	8	10	5	4	4
973	8	3	2	2	10	9	4	6	6	4	7	8	4	9	8	8	10	5	4	4
19763	8	3	2	2	10	9	4	6	6	4	7	8	4	9	8	8	10	4	4	4
19764	8	3	2	2	10	9	4	6	6	4	7	8	4	9	8	8	10	4	4	4
19843	8	3	2	2	10	9	4	6	6	4	7	8	4	9	8	8	10	5	4	4
19844	8	3	2	2	10	9	4	6	6	4	7	8	4	9	8	8	10	4	4	4
19925	8	3	2	2	10	9	4	6	6	4	7	8	4	9	8	8	10	4	4	4
19926	8	3	2	2	10	9	4	6	6	4	7	8	4	9	8	8	10	4	4	4
20161	8	3	2	2	10	9	4	6	7	5	7	8	4	9	8	8	10	5	4	5
20242	8	4	2	2	10	9	4	6	7	5	7	8	4	9	8	1	10	5	4	5
20243	8	3	2	2	10	9	4	6	7	5	7	8	4	9	8	8	10	5	4	5
20323	8	3	2	2	10	9	4	6	7	5	7	8	4	9	8	8	10	5	4	5
20332	8	3	2	2	10	9	4	6	6	4	7	8	4	9	8	8	10	4	4	4
20404	8	4	2	3	10	9	4	6	7	5	7	8	4	9	8	1	10	5	4	5
20405	8	3	2	3	10	9	4	6	7	5	7	8	4	9	8	8	10	5	4	5
20406	8	3	2	2	10	9	4	6	7	5	7	8	4	9	8	8	10	5	4	4
20485	8	4	2	3	10	9	4	6	7	5	7	8	4	9	8	1	10	5	4	5
20486	8	4	2	3	10	9	4	6	7	5	7	8	4	9	8	1	10	5	4	5
20487	8	3	2	3	10	9	4	6	7	5	7	8	4	9	8	8	10	5	4	4
20566	8	4	2	3	10	9	4	6	7	5	7	8	4	9	8	1	10	5	4	5
20567	8	4	2	3	10	9	4	6	7	5	7	8	4	9	8	8	10	5	4	5
20568	8	3	2	3	10	9	4	6	7	5	7	8	4	9	8	8	10	5	4	4
20647	8	4	2	3	10	9	4	6	7	5	7	8	4	9	8	1	10	5	4	5
20648	8	4	2	3	10	9	4	6	7	5	7	8	4	9	8	1	10	5	4	5
20649	8	4	2	3	10	9	4	6	7	5	7	8	4	9	8	8	10	5	4	5
20729	8	4	2	3	10	9	4	6	7	5	7	8	4	9	8	1	10	5	4	5
20730	8	4	2	3	10	9	4	6	7	5	7	8	4	9	8	1	10	5	4	5
20810	8	4	2	3	10	9	4	6	7	5	7	8	4	9	8	1	10	5	4	5
20811	8	4	2	3	10	9	4	6	7	5	7	8	4	9	8	1	10	5	4	5
20891	8	4	2	3	10	9	4	6	7	5	7	8	4	9	8	1	10	5	4	5
20892	8	4	2	3	10	9	4	6	7	5	7	8	4	9	8	1	10	5	4	5
20893	8	4	2	3	10	9	4	6	7	5	7	8	4	9	8	1	10	5	4	4
20973	8	4	2	3	10	9	4	6	7	5	7	8	4	9	8	1	10	5	4	5
20974	8	4	2	3	10	9	4	6	7	5	7	8	4	9	8	1	10	5	4	5
20975	8	4	2	3	10	9	4	6	7	5	7	8	4	9	8	8	10	5	4	4
21054	8	4	2	3	10	9	4	6	7	5	7	8	4	9	8	1	10	5	4	5
21055	8	4	2	3	10	9	4	6	7	5	7	8	4	9	8	1	10	5	4	4
21135	8	4	2	3	10	9	4	6	7	5	7	8	4	9	8	1	10	5	4	5
21136	8	4	2	3	10	9	4	6	7	5	7	8	4	9	8	1	10	5	4	5
21137	8	4	2	3	10	9	4	6	7	5	7	8	4	9	8	1	10	5	4	4
21214	8	4	2	3	10	9	4	6	7	5	7	8	5	9	8	1	10	5	4	5
21215	8	4	2	3	10	9	4	6	7	5	7	8	4	9	8	1	10	5	4	5
21217	8	4	2	3	10	9	4	6	7	5	7	8	4	9	8	1	10	5	4	5
21218	8	4	2	3	10	9	4	6	7	5	7	8	4	9	8	1	10	5	4	4
