Feature	R	S	R.Frequency	S.Frequency	SI.Mean	SI.P.Mean	SI.Min	SI.P.Min
BIO02	TRUE	FALSE	1	0	47.0055469425742	0.989645958306603	18.3525507030638	0.909913588581325
BIO04	TRUE	TRUE	1	0.75	47.0500573068298	0.984398352969954	10.7310620008123	0.868809475591171
BIO08	TRUE	TRUE	1	1	48.7026475832514	0.984468761524446	29.9332448052199	0.846099610243456
BIO09	TRUE	TRUE	1	0.82	46.6317320553767	0.990370895750494	18.2310380015756	0.923508741719714
BIO15	TRUE	TRUE	1	0.97	47.5399967421996	0.997191981101203	22.1020506432552	0.974227277031407
CDD	TRUE	TRUE	1	0.96	46.6696419515684	0.991504754306607	13.6696738726213	0.922653645646521
CSDI	TRUE	TRUE	1	1	48.1334640356745	0.998825950860508	23.7887584104015	0.992103255719108
DTR	TRUE	TRUE	1	0.84	48.1043655181401	0.988884886043306	15.7050292584925	0.890112410568559
ID	TRUE	TRUE	1	1	50.8424508065617	0.994281393960532	17.5535099428954	0.94281393960532
R20MM	TRUE	TRUE	1	0.89	47.7980409451172	0.99742540769875	14.6990828171747	0.97620844725857
RX1DAY	TRUE	FALSE	1	0	47.9684277890246	0.999427069746946	13.7748418685031	0.996536281940744
TN10P	TRUE	TRUE	1	0.97	48.6596795633099	0.996900366937432	31.2161305320884	0.977776648123916
TR	TRUE	TRUE	1	0.9	47.2481567437381	0.996222097919101	18.0533451673843	0.962220979191008
BIO18	TRUE	FALSE	0.55	0	47.1185938414985	0.999858697495723	24.0754587276545	0.99858697495723
BIO03	FALSE	TRUE	0	0.58	46.7351340519978	0.994929009988613	14.5461486976696	0.958547653765576
TN90P	FALSE	TRUE	0	0.5	48.6978882808886	0.998912792779268	33.3423168182962	0.99179084267114
WSDI	FALSE	TRUE	0	0.48	48.9459204218059	0.998952576319698	28.4661898722085	0.990463263196983
R.Mean	FALSE	FALSE	0	0	47.8194858446332	0.9935290410444	19.4204126250816	0.941540805441289
S.Mean	FALSE	FALSE	0	0	47.9827982861757	0.993804944868565	20.859827202864	0.944095442166603
