HID	PA
75	1
76	1
77	1
78	1
79	1
80	1
81	1
82	1
156	1
157	1
158	1
159	1
160	1
161	1
162	1
238	1
239	1
240	1
241	1
242	1
243	1
320	1
321	1
322	1
323	1
324	1
325	1
401	1
402	1
403	1
404	1
405	1
406	1
483	1
484	1
485	1
486	1
487	1
564	1
565	1
566	1
567	1
568	1
645	1
646	1
647	1
648	1
649	1
727	1
728	1
729	1
730	1
809	1
810	1
811	1
889	1
890	1
891	1
892	1
972	1
973	1
19763	1
19764	1
19843	1
19844	1
19925	1
19926	1
20161	1
20242	1
20243	1
20323	1
20332	1
20404	1
20405	1
20406	1
20485	1
20486	1
20487	1
20566	1
20567	1
20568	1
20647	1
20648	1
20649	1
20729	1
20730	1
20810	1
20811	1
20891	1
20892	1
20893	1
20973	1
20974	1
20975	1
21054	1
21055	1
21135	1
21136	1
21137	1
21214	1
21215	1
21217	1
21218	1
21219	1
21295	1
21296	1
21299	1
21376	1
21377	1
21380	1
21381	1
21457	1
21458	1
21459	1
21462	1
21537	1
21538	1
21539	1
21542	1
21543	1
21619	1
21620	1
21621	1
21624	1
21625	1
21700	1
21701	1
21702	1
21705	1
21706	1
21781	1
21782	1
21785	1
21786	1
21787	1
21863	1
21864	1
21866	1
21867	1
21868	1
21944	1
21945	1
21948	1
21949	1
21950	1
22024	1
22025	1
22026	1
22028	1
22029	1
22030	1
22031	1
22105	1
22106	1
22107	1
22109	1
22110	1
22111	1
22112	1
22187	1
22190	1
22191	1
22192	1
22193	1
22194	1
22271	1
22272	1
22273	1
22274	1
22353	1
22354	1
22355	1
22435	1
22436	1
22437	1
22515	1
22516	1
22517	1
22519	1
22596	1
22597	1
22598	1
22599	1
22600	1
22677	1
22757	1
22762	1
22843	1
23005	1
23086	1
23166	1
23167	1
23247	1
23248	1
23328	1
23329	1
23407	1
23408	1
23409	1
23410	1
23488	1
23489	1
23490	1
23491	1
23569	1
23570	1
23571	1
23572	1
23651	1
23652	1
23653	1
23732	1
23733	1
23734	1
23814	1
23815	1
23896	1
23976	1
23977	1
24058	1
24220	1
25108	1
25109	1
25187	1
25188	1
25189	1
25190	1
25191	1
25192	1
25269	1
25270	1
25271	1
25272	1
25273	1
25350	1
25351	1
25352	1
25353	1
25354	1
25431	1
25432	1
25433	1
25434	1
25435	1
25512	1
25513	1
25514	1
25515	1
25516	1
25594	1
25595	1
25596	1
25597	1
25674	1
25675	1
25676	1
25677	1
25678	1
25756	1
25757	1
25758	1
25759	1
25837	1
25838	1
25839	1
25840	1
25918	1
25919	1
25920	1
25921	1
25999	1
26000	1
26001	1
26002	1
26081	1
26082	1
26083	1
26161	1
26162	1
26163	1
26164	1
26242	1
26243	1
26244	1
26245	1
26324	1
26325	1
26326	1
26404	1
26405	1
26406	1
26407	1
26485	1
26486	1
26487	1
26488	1
26567	1
26568	1
26569	1
26647	1
26648	1
26649	1
26650	1
26729	1
26730	1
26731	1
26810	1
26811	1
26812	1
26891	1
26892	1
26893	1
26972	1
26973	1
26974	1
27054	1
27055	1
27134	1
27135	1
27136	1
27216	1
27217	1
28594	1
28837	1
29080	1
29161	1
29323	1
30052	0
30133	0
30213	0
30214	0
30293	0
30294	0
30295	0
30374	0
30375	0
30376	0
30456	0
30457	0
30536	0
30537	0
30538	0
30617	0
30618	0
30619	0
30698	0
30699	0
30700	0
30778	0
30779	0
30780	0
30781	0
30860	0
30861	0
30862	0
30941	0
30942	0
30943	0
31021	0
31022	0
31023	0
31024	0
31103	0
31104	0
31105	0
31184	0
31185	0
31186	0
31264	0
31265	0
31266	0
31267	0
31345	0
31346	0
31347	0
31348	0
31427	0
31428	0
31429	0
31508	0
31509	0
31510	0
31590	0
31591	0
31672	0
31753	0
39400	0
39401	0
39402	0
39403	0
39404	0
39405	0
39406	0
39407	0
39408	1
39409	1
39410	1
39411	1
39412	1
39413	1
39418	1
39419	1
39420	1
39421	1
39422	1
39423	1
39424	1
39425	1
39426	1
39430	1
39431	1
39432	1
39433	1
39434	1
39435	1
39436	1
39437	1
39438	1
39440	1
39446	1
39447	1
39480	0
39481	0
39482	0
39483	0
39484	0
39485	0
39486	0
39487	0
39488	1
39489	1
39490	1
39491	1
39492	1
39493	1
39498	1
39499	1
39500	1
39501	1
39502	1
39503	1
39504	1
39505	1
39506	1
39507	1
39510	1
39511	1
39512	1
39513	1
39514	1
39515	1
39516	1
39517	1
39518	1
39519	1
39520	1
39526	1
39527	1
39528	1
39562	0
39563	0
39564	0
39565	0
39566	0
39567	0
39568	0
39569	1
39570	1
39571	1
39572	1
39573	1
39574	1
39575	1
39580	1
39581	1
39582	1
39583	1
39584	1
39585	1
39586	1
39587	1
39588	1
39589	1
39590	1
39591	1
39592	1
39593	1
39594	1
39595	1
39596	1
39597	1
39598	1
39599	1
39600	1
39601	1
39602	1
39603	1
39607	1
39608	1
39643	0
39644	0
39645	0
39646	0
39647	0
39648	0
39649	0
39650	0
39651	1
39652	1
39653	1
39654	1
39655	1
39656	1
39657	1
39658	1
39661	1
39662	1
39663	1
39664	1
39665	1
39666	1
39667	1
39668	1
39669	1
39670	1
39671	1
39672	1
39673	1
39674	1
39675	1
39676	1
39677	1
39678	1
39679	1
39680	1
39681	1
39682	1
39683	1
39684	1
39685	1
39688	1
39689	1
39690	1
39724	0
39725	0
39726	0
39727	0
39728	0
39729	0
39730	0
39731	1
39732	1
39733	1
39734	1
39735	1
39736	1
39737	1
39738	1
39739	1
39740	1
39742	1
39743	1
39744	1
39745	1
39746	1
39747	1
39748	1
39749	1
39750	1
39751	1
39752	1
39753	1
39754	1
39755	1
39756	1
39757	1
39758	1
39759	1
39760	1
39761	1
39762	1
39763	1
39764	1
39765	1
39766	1
39768	1
39769	1
39805	0
39806	0
39807	0
39808	0
39809	0
39810	0
39811	0
39812	0
39813	1
39814	1
39815	1
39816	1
39817	1
39818	1
39819	1
39820	1
39821	1
39822	1
39824	1
39825	1
39826	1
39827	1
39828	1
39829	1
39830	1
39831	1
39832	1
39833	1
39834	1
39835	1
39836	1
39837	1
39838	1
39839	1
39840	1
39841	1
39842	1
39843	1
39844	1
39845	1
39846	1
39847	1
39848	1
39849	1
39850	1
39851	1
39887	0
39888	0
39889	0
39890	0
39891	0
39892	0
39893	0
39894	0
39895	1
39896	1
39897	1
39898	1
39899	1
39900	1
39901	1
39902	1
39903	1
39906	1
39907	1
39908	1
39909	1
39910	1
39911	1
39912	1
39913	1
39914	1
39915	1
39916	1
39917	1
39918	1
39919	1
39920	1
39921	1
39922	1
39923	1
39924	1
39925	1
39926	1
39927	1
39928	1
39929	1
39930	1
39931	1
39933	0
39967	0
39968	0
39969	0
39970	0
39971	0
39972	0
39973	0
39974	0
39975	1
39976	1
39977	1
39978	1
39979	1
39980	1
39981	1
39982	1
39983	1
39987	1
39988	1
39989	1
39990	1
39991	1
39992	1
39993	1
39994	1
39995	1
39996	1
39997	1
39998	1
39999	1
40000	1
40001	1
40002	1
40003	1
40004	1
40005	1
40006	1
40007	1
40008	1
40009	1
40010	1
40011	1
40012	1
40014	1
40015	1
40049	0
40050	0
40051	0
40052	0
40053	0
40054	0
40055	0
40056	0
40057	0
40058	1
40059	1
40060	1
40061	1
40062	1
40063	1
40064	1
40065	1
40068	1
40069	1
40070	1
40071	1
40072	1
40073	1
40074	1
40075	1
40076	1
40077	1
40078	1
40079	1
40080	1
40081	1
40082	1
40083	1
40084	1
40085	1
40086	1
40087	1
40088	1
40089	1
40090	1
40091	1
40092	1
40093	1
40095	1
40096	1
40130	0
40131	0
40132	0
40133	0
40134	0
40135	0
40136	0
40137	0
40138	0
40139	0
40140	1
40141	1
40142	1
40143	1
40144	1
40145	1
40146	1
40147	1
40150	1
40151	1
40152	1
40153	1
40154	1
40155	1
40156	1
40157	1
40158	1
40159	1
40160	1
40161	1
40162	1
40163	1
40164	1
40165	1
40166	1
40167	1
40168	1
40169	1
40170	1
40171	1
40172	1
40173	1
40174	1
40211	0
