BIO01_Mean	BIO02_Mean	BIO03_Mean	BIO04_Mean	BIO05_Mean	BIO06_Mean	BIO07_Mean	BIO08_Mean	BIO09_Mean	BIO10_Mean	BIO11_Mean	BIO12_Mean	BIO13_Mean	BIO14_Mean	BIO15_Mean	BIO16_Mean	BIO17_Mean	BIO18_Mean	BIO19_Mean	CDD_IDW1N10	CSDI_IDW1N10	CWD_IDW1N10	DTR_IDW1N10	FD_IDW1N10	GSL_IDW1N10	ID_IDW1N10	PRCPTOT_IDW1N10	R10MM_IDW1N10	R1MM_IDW1N10	R20MM_IDW1N10	R95P_IDW1N10	R99P_IDW1N10	RX1DAY_IDW1N10	RX5DAY_IDW1N10	SDII_IDW1N10	SU_IDW1N10	TN10P_IDW1N10	TN90P_IDW1N10	TNN_IDW1N10	TNX_IDW1N10	TR_IDW1N10	TX10P_IDW1N10	TX90P_IDW1N10	TXN_IDW1N10	TXX_IDW1N10	WSDI_IDW1N10
BIO01_Mean	1.000000	0.793669	0.855476	-0.481888	0.902143	0.915323	-0.140066	0.268014	0.893964	0.930278	0.957729	-0.630262	-0.593424	-0.615262	0.682955	-0.590020	-0.617443	-0.777739	-0.303343	0.862887	-0.104559	-0.654227	0.605668	-0.876369	0.901370	-0.788142	-0.714443	-0.473663	-0.846446	-0.244619	-0.700812	-0.710703	-0.530901	-0.539951	-0.173962	0.897758	0.081983	-0.121611	0.880074	0.833813	0.877844	0.312572	-0.405474	0.911695	0.774875	0.229390
BIO02_Mean	0.793669	1.000000	0.722888	-0.098002	0.907004	0.552688	0.329129	0.187802	0.741501	0.857599	0.664686	-0.781389	-0.711313	-0.772435	0.716202	-0.718977	-0.783068	-0.823042	-0.513454	0.846163	-0.004515	-0.761286	0.806918	-0.549768	0.614748	-0.475357	-0.817896	-0.647442	-0.880030	-0.409576	-0.807674	-0.812922	-0.648485	-0.667625	-0.374154	0.880595	-0.023178	-0.111410	0.557626	0.761941	0.751413	0.215740	-0.389466	0.616127	0.844964	0.366740
BIO03_Mean	0.855476	0.722888	1.000000	-0.729010	0.656113	0.892737	-0.392147	0.068798	0.815657	0.661421	0.920144	-0.418506	-0.387619	-0.439275	0.617995	-0.382525	-0.437217	-0.633618	-0.100851	0.752272	-0.365747	-0.426592	0.508709	-0.821169	0.859075	-0.760870	-0.502796	-0.244478	-0.668100	-0.054301	-0.486506	-0.500325	-0.367168	-0.351535	-0.027318	0.704668	0.194896	-0.204675	0.888614	0.565096	0.637812	0.374488	-0.353263	0.907761	0.536275	0.148341
BIO04_Mean	-0.481888	-0.098002	-0.729010	1.000000	-0.081157	-0.776775	0.900463	0.067296	-0.481149	-0.129590	-0.712299	-0.174216	-0.148102	-0.130969	-0.210038	-0.165153	-0.142899	0.086736	-0.347574	-0.286215	0.517993	-0.125868	-0.006255	0.636607	-0.626737	0.644475	-0.079085	-0.286762	0.103662	-0.333891	-0.093002	-0.080184	-0.111109	-0.148707	-0.353340	-0.168833	-0.374381	0.218047	-0.749558	-0.044403	-0.193159	-0.392262	0.109697	-0.725568	0.046476	0.059651
BIO05_Mean	0.902143	0.907004	0.656113	-0.081157	1.000000	0.663935	0.293094	0.297659	0.807823	0.989998	0.749899	-0.805513	-0.746322	-0.788142	0.696972	-0.750881	-0.793747	-0.869393	-0.504647	0.848055	0.076907	-0.810897	0.722389	-0.679801	0.722680	-0.580345	-0.861302	-0.680999	-0.926410	-0.431401	-0.849737	-0.855307	-0.657357	-0.683848	-0.368981	0.944044	-0.055977	-0.064711	0.644434	0.913473	0.892766	0.190038	-0.380675	0.692680	0.912327	0.333119
BIO06_Mean	0.915323	0.552688	0.892737	-0.776775	0.663935	1.000000	-0.520355	0.151016	0.844299	0.713062	0.988071	-0.338105	-0.327452	-0.351428	0.543273	-0.316663	-0.345269	-0.578458	-0.019934	0.688969	-0.285133	-0.379674	0.367861	-0.923963	0.927428	-0.869558	-0.442403	-0.179185	-0.619126	-0.000289	-0.425660	-0.438452	-0.284997	-0.275758	0.065769	0.684920	0.218745	-0.165746	0.963861	0.621815	0.704888	0.368046	-0.310036	0.968949	0.514737	0.107458
BIO07_Mean	-0.140066	0.329129	-0.392147	0.900463	0.293094	-0.520355	1.000000	0.146836	-0.156969	0.218860	-0.406936	-0.487584	-0.433610	-0.450713	0.101319	-0.452611	-0.464989	-0.253231	-0.550802	0.087571	0.452380	-0.440585	0.354616	0.405019	-0.360484	0.449036	-0.417944	-0.548580	-0.266347	-0.492276	-0.426144	-0.416150	-0.386297	-0.428361	-0.505452	0.202363	-0.343599	0.138016	-0.496419	0.248135	0.118276	-0.253547	-0.038321	-0.447829	0.383731	0.243021
BIO08_Mean	0.268014	0.187802	0.068798	0.067296	0.297659	0.151016	0.146836	1.000000	-0.077422	0.326280	0.187397	-0.322012	-0.335599	-0.175214	0.131739	-0.343012	-0.190369	-0.021344	-0.477159	0.344733	0.106707	-0.328618	0.350571	-0.108269	0.108197	-0.021470	-0.283646	-0.343537	-0.222442	-0.357618	-0.298523	-0.289603	-0.398243	-0.399651	-0.355488	0.367159	-0.031369	-0.095350	0.067125	0.257305	0.312540	0.041265	-0.210732	0.125726	0.278578	0.119649
BIO09_Mean	0.893964	0.741501	0.815657	-0.481149	0.807823	0.844299	-0.156969	-0.077422	1.000000	0.816224	0.876055	-0.535904	-0.490321	-0.594361	0.649679	-0.485944	-0.586174	-0.812871	-0.140639	0.727223	-0.118753	-0.558706	0.498932	-0.816009	0.842428	-0.765408	-0.641131	-0.380131	-0.789125	-0.135425	-0.620263	-0.632042	-0.408263	-0.419475	-0.085973	0.771835	0.092831	-0.105238	0.841926	0.745782	0.761514	0.287405	-0.329445	0.849836	0.705888	0.163348
BIO10_Mean	0.930278	0.857599	0.661421	-0.129590	0.989998	0.713062	0.218860	0.326280	0.816224	1.000000	0.787943	-0.785783	-0.733559	-0.754554	0.686276	-0.736461	-0.761002	-0.848756	-0.485093	0.854159	0.091551	-0.794913	0.682096	-0.723811	0.757327	-0.619141	-0.844053	-0.657615	-0.916889	-0.416608	-0.834085	-0.839535	-0.647816	-0.674332	-0.346737	0.944511	-0.053238	-0.055135	0.683919	0.924725	0.915509	0.198439	-0.400874	0.727948	0.895147	0.295373
