HID	I001	I002	I003	I004	I005	I006	I007	I008	I009	I010	I991	I992	I993	I994	I995	I996	I997	I998	I999	I1000
31994	1	2	2	6	10	6	9	6	4	8	2	3	8	7	4	6	10	8	9	6
32075	7	4	9	10	1	2	8	7	4	1	8	8	5	5	2	4	3	1	5	3
32076	3	9	2	10	9	5	6	9	6	8	8	10	9	1	6	10	2	2	8	10
32077	4	6	9	7	2	6	6	10	6	6	9	8	3	9	1	7	2	1	6	10
32156	8	9	8	2	8	4	4	6	3	7	8	3	9	4	5	9	3	3	10	9
32157	7	1	6	2	2	1	8	4	5	6	10	5	5	6	1	1	2	3	9	4
32158	4	4	4	5	9	2	10	5	8	9	3	1	7	3	9	5	10	3	9	7
32236	6	5	5	4	3	5	8	4	5	5	4	4	6	4	9	3	1	10	2	10
32237	7	4	7	2	2	8	4	6	8	5	9	5	8	8	4	9	8	5	10	2
32238	7	3	9	7	4	4	4	10	10	7	9	7	1	7	1	8	10	4	4	8
32239	9	5	9	10	1	7	6	5	8	1	8	8	2	6	1	3	2	5	2	10
32317	3	6	6	6	10	4	5	1	10	5	4	3	5	9	5	2	9	5	4	4
32318	2	1	4	4	5	1	3	5	10	3	2	6	10	7	2	3	5	9	3	2
32319	4	9	8	2	3	9	3	7	8	9	1	2	9	7	6	1	6	10	8	1
32320	4	8	9	8	1	7	1	1	6	4	6	1	3	9	8	9	9	6	1	1
32399	2	5	2	8	4	8	5	7	7	5	4	10	4	3	3	2	10	10	3	1
32400	4	6	5	2	9	8	3	3	5	1	4	9	8	3	7	7	9	10	10	4
32401	3	6	5	1	8	10	3	7	4	2	8	8	10	7	10	6	6	5	3	8
32479	7	6	5	3	2	6	5	1	5	4	10	4	4	1	5	10	4	3	8	2
32480	5	5	3	2	6	7	3	2	8	3	5	1	6	3	1	3	7	3	6	2
32481	1	5	5	3	5	2	10	4	5	8	9	3	2	9	4	4	6	5	9	4
32482	4	8	9	9	6	5	4	2	5	9	3	3	1	3	9	3	8	10	3	2
32561	3	2	1	4	6	2	6	10	10	9	6	9	9	1	2	2	8	3	7	2
32562	8	9	8	9	7	3	3	10	3	10	2	5	3	1	4	4	4	8	4	1
32563	5	1	1	7	7	3	9	5	2	4	1	10	2	6	3	6	5	9	6	1
32643	8	1	9	9	7	1	8	5	2	1	7	7	8	9	8	6	8	5	3	9
32644	10	9	8	7	2	5	4	8	7	8	9	10	1	2	7	4	10	7	1	7
32723	1	4	1	8	3	5	4	5	7	6	3	7	4	9	8	4	2	8	3	4
32724	2	9	3	8	8	7	6	9	2	7	5	4	4	5	3	8	3	1	7	2
32725	3	2	8	6	3	7	7	2	2	5	8	1	7	5	3	10	3	3	10	9
32804	1	9	10	4	6	3	2	2	2	1	10	8	2	2	8	8	4	10	1	10
32805	9	6	3	3	9	1	6	8	8	8	9	2	10	9	9	2	2	3	8	6
32806	8	4	9	4	10	10	6	6	2	4	10	8	9	3	1	10	3	5	6	9
32886	7	9	7	4	3	4	5	1	2	5	3	10	7	9	8	8	8	2	2	8
32887	10	5	8	3	2	9	10	7	8	1	5	7	3	1	6	10	2	8	10	2
32966	2	8	2	7	1	7	3	8	9	10	8	9	1	6	10	10	7	3	5	7
32967	3	1	5	3	1	10	5	3	7	5	2	7	5	7	1	9	1	6	3	8
32968	3	2	2	9	5	1	1	6	9	7	4	5	4	1	4	5	9	2	5	7
33048	7	4	4	2	7	7	7	3	1	5	1	4	9	1	10	4	3	8	5	9
33049	6	7	5	9	3	7	3	2	10	6	2	5	7	5	5	1	3	4	1	5
33129	7	3	1	4	5	2	9	6	3	10	8	4	6	4	9	1	2	7	2	6
33130	1	5	10	3	6	2	10	7	8	1	5	1	7	2	5	7	8	1	4	9
33210	1	6	9	3	5	3	10	3	2	1	1	6	1	4	8	5	1	8	2	4
33211	2	9	10	3	10	6	7	10	3	9	7	3	5	3	8	3	6	9	1	8
33291	10	4	3	4	3	10	7	4	5	3	6	1	9	8	10	9	6	9	5	8
33292	4	3	2	9	2	9	3	1	2	7	6	2	5	5	6	6	8	10	4	2
33373	10	7	8	6	2	8	2	6	6	5	6	2	1	8	1	6	5	8	2	5
33453	6	3	10	9	5	5	8	10	9	3	8	1	6	7	3	2	6	2	10	4
33454	8	3	4	1	9	6	9	10	8	10	6	4	6	4	4	6	1	10	4	8
33534	1	6	10	5	1	3	8	10	9	6	1	6	6	3	10	1	1	6	8	6
33535	3	7	8	5	4	3	4	9	6	6	9	9	2	6	2	4	5	4	6	7
33616	7	5	8	4	7	9	2	10	3	1	2	9	9	9	4	1	9	8	8	7
33696	5	2	7	4	7	4	7	4	7	4	5	1	7	6	2	8	9	3	1	4
33697	7	5	2	5	10	7	10	10	8	7	4	8	6	9	10	8	8	8	4	6
33777	5	1	5	6	5	1	6	2	9	4	10	9	2	10	9	5	2	6	5	2
33778	1	3	5	3	3	4	10	8	5	2	6	1	5	8	10	1	7	7	2	4
33859	8	1	10	4	7	8	7	9	2	4	8	6	10	9	4	1	3	10	6	1
33939	2	4	2	9	2	10	10	3	9	9	2	5	7	4	1	3	5	8	3	9
33940	2	8	2	8	8	1	7	7	6	9	8	1	8	2	1	3	2	3	8	10
34021	4	6	6	3	10	2	5	9	4	4	6	9	5	10	9	3	8	7	1	10
34102	10	1	4	4	5	8	4	1	7	1	5	10	3	7	3	7	1	1	1	9
34182	10	3	9	3	10	8	7	1	7	6	7	3	2	5	10	8	9	7	2	2
34183	4	7	6	7	3	3	8	1	3	2	10	5	3	10	3	10	7	3	7	9
34264	10	10	6	3	2	8	4	8	2	2	7	3	1	2	3	8	8	8	10	10
34345	7	10	9	10	3	8	2	4	4	9	8	8	7	6	8	8	4	5	9	4
34425	1	5	3	1	10	9	7	8	4	7	3	10	5	5	1	7	6	8	6	6
34426	4	10	6	5	6	10	8	1	4	1	9	5	9	5	3	8	6	8	8	1
34506	7	1	4	8	2	5	2	2	3	5	6	4	3	8	6	8	4	5	7	10
34507	4	4	5	5	4	6	6	1	6	2	8	3	1	4	10	5	9	4	2	6
34588	4	2	2	2	1	4	6	4	7	6	1	6	8	3	8	7	10	2	8	1
34669	4	3	4	7	10	7	2	5	10	7	7	5	9	7	8	4	8	4	8	2
34750	3	10	9	7	4	4	2	9	7	7	6	6	2	7	2	1	3	1	7	2
34912	9	1	9	7	1	4	7	8	4	7	1	8	6	7	4	7	5	7	9	8
34993	6	9	7	8	1	7	7	9	7	10	8	5	6	7	1	7	1	5	6	2
35155	7	6	7	8	1	7	9	7	6	7	9	8	6	1	5	6	6	4	1	3
39385	9	4	6	7	6	5	1	2	2	2	3	5	9	2	3	10	9	5	1	7
39386	7	5	3	6	3	8	10	7	3	5	4	8	2	3	3	2	4	9	6	9
39387	4	8	7	5	7	2	1	1	10	3	2	7	1	7	9	6	10	9	2	6
39388	7	8	4	5	3	1	5	6	6	2	6	4	9	3	10	8	5	8	8	8
39389	5	1	5	1	8	8	7	10	9	8	1	5	2	4	2	4	8	4	6	7
39390	4	4	4	9	6	4	2	3	6	10	3	1	4	6	6	8	8	3	3	3
39391	6	2	9	7	4	10	7	3	7	4	2	7	6	1	3	4	5	1	9	4
39392	6	8	6	5	5	2	9	10	10	7	4	4	10	7	1	2	1	4	10	10
39393	4	2	10	1	5	5	10	8	1	7	5	9	3	2	4	9	6	7	10	1
39394	6	3	1	7	1	10	6	5	2	5	6	4	2	2	5	5	7	7	4	4
39395	6	4	9	6	5	10	4	8	6	10	1	7	10	9	7	5	5	2	1	6
39396	7	6	6	6	10	4	6	6	1	10	10	9	5	6	5	8	4	1	3	9
39397	9	6	10	10	1	10	3	6	6	3	1	10	2	10	8	9	1	3	4	5
39398	1	3	3	7	1	3	3	3	7	9	2	9	5	3	2	10	4	7	5	6
39466	7	6	5	5	4	7	9	5	3	3	3	6	6	4	6	5	1	3	10	5
39467	8	2	3	1	6	9	2	5	3	4	8	7	8	2	1	2	10	4	3	3
39468	4	1	5	8	3	7	10	9	2	10	8	8	9	6	2	2	4	2	7	2
39469	4	10	10	10	10	7	3	2	8	5	3	1	3	2	10	6	5	6	1	2
39470	10	1	8	8	7	8	2	1	9	5	10	8	9	4	10	10	1	10	9	9
39471	4	1	7	7	4	10	2	5	6	10	9	10	1	2	3	3	7	9	4	3
39472	9	5	1	5	6	5	6	2	4	2	1	3	4	6	8	2	5	2	7	7
39473	1	7	10	6	2	5	2	1	7	8	5	9	1	9	10	1	6	7	5	7
39474	8	9	3	9	2	9	7	7	4	5	9	6	10	10	1	5	9	7	2	5
39475	4	5	2	6	2	9	5	1	10	10	7	1	10	8	10	8	9	9	7	5
39476	1	6	4	6	10	8	1	7	9	7	4	9	2	7	8	8	1	2	5	4
39477	3	4	9	3	5	9	8	6	1	2	2	5	1	8	5	2	7	10	6	6
39478	10	10	8	1	8	7	10	3	3	4	1	10	7	3	3	6	1	9	7	6
39479	1	7	5	5	8	3	8	6	6	8	7	1	10	2	9	10	8	1	2	5
39547	5	8	9	9	8	5	3	5	9	10	2	1	5	9	1	1	7	6	8	5
39548	1	8	4	3	3	10	8	8	2	6	8	5	9	5	3	5	7	7	4	8
39549	10	2	5	3	9	8	3	4	4	2	5	10	3	3	8	7	1	2	7	5
39550	4	1	7	2	8	9	5	10	4	3	3	7	10	6	8	1	4	6	8	3
39551	10	6	5	2	1	1	1	10	6	10	9	6	1	5	2	2	2	6	8	5
39552	8	10	5	9	1	6	9	3	1	2	6	3	4	1	3	4	4	6	6	7
39553	10	1	9	1	2	10	9	1	7	2	2	9	6	3	8	6	1	9	3	1
39554	3	3	8	4	6	2	2	6	5	7	6	10	5	9	1	10	4	3	10	3
39555	4	4	10	5	9	10	5	10	1	10	6	8	5	4	6	6	2	3	5	5
39556	2	7	3	10	7	5	8	8	2	10	2	8	10	2	4	9	8	6	8	9
39557	2	9	9	7	10	6	7	10	1	4	9	3	2	1	3	5	10	3	5	10
39558	10	6	7	9	8	9	8	3	2	1	8	5	10	3	9	1	10	9	6	8
39559	7	9	4	3	3	5	6	6	6	8	1	6	3	8	8	7	8	9	8	10
39560	8	6	3	6	2	1	6	5	8	3	2	2	9	5	9	8	6	6	7	8
39629	3	8	5	4	3	9	4	6	5	5	9	1	6	2	10	4	9	2	7	8
39630	5	7	9	2	8	1	10	5	3	6	3	5	1	2	2	7	9	1	5	3
39631	6	1	2	8	10	9	8	6	6	3	1	5	6	3	10	3	3	4	1	5
39632	5	6	1	6	10	5	8	2	7	7	6	6	4	6	8	1	3	9	1	4
39633	8	8	9	8	10	1	1	4	5	5	10	1	10	7	10	8	5	4	6	2
39634	4	4	4	4	9	5	2	7	4	4	5	3	2	2	1	4	1	10	3	6
39635	7	6	2	6	6	10	1	2	8	6	6	7	10	6	5	1	10	4	9	1
39636	2	6	1	8	8	4	3	7	6	10	8	4	4	6	3	6	9	2	10	1
39637	8	8	7	4	10	5	10	10	9	6	7	8	2	9	3	2	10	10	7	8
39638	8	9	2	2	8	1	9	4	1	9	9	7	5	6	9	3	5	4	7	5
39639	2	9	5	2	8	2	6	3	6	2	9	4	1	3	10	8	8	9	8	7
39640	6	5	8	2	9	3	10	3	7	2	1	5	8	1	8	10	5	7	8	4
39641	4	9	10	10	4	1	7	6	8	4	8	1	5	10	3	9	2	8	2	2
39642	1	6	9	7	6	6	1	8	8	7	9	7	5	9	4	10	4	9	7	3
39709	9	8	6	10	4	2	2	8	8	10	1	2	5	2	8	8	8	4	6	4
39710	8	6	6	6	2	3	10	1	1	1	3	4	9	6	4	1	10	2	10	4
39711	5	7	8	4	9	2	9	6	5	8	5	1	7	6	6	10	4	7	9	7
39712	6	1	8	10	3	7	1	3	4	2	10	6	1	2	5	2	3	10	2	10
39713	6	1	5	10	10	8	8	7	9	1	9	7	4	7	8	3	3	5	3	9
39714	8	1	8	1	1	9	4	1	1	6	9	7	3	5	4	4	10	9	7	2
39715	2	10	3	9	10	9	1	2	8	2	5	7	4	9	9	1	10	6	4	2
39716	8	1	4	8	2	4	8	4	6	2	8	9	9	10	8	2	2	3	4	3
39717	5	9	1	1	8	6	9	7	10	7	8	8	5	7	7	9	4	8	10	8
39718	10	1	2	6	7	4	8	6	4	4	5	4	9	6	8	5	6	8	1	10
39719	9	1	6	6	8	5	7	2	4	8	2	6	7	6	1	10	9	7	3	7
39720	4	9	5	8	4	3	6	9	10	10	9	2	7	2	8	1	3	4	2	1
39721	10	6	2	9	7	10	4	4	1	6	6	6	1	5	5	7	4	4	1	2
39722	10	7	8	6	10	8	10	4	1	9	7	5	9	4	6	10	3	3	10	3
39790	6	10	8	10	10	10	6	2	8	4	10	8	1	10	7	5	7	8	2	5
39791	4	4	2	5	2	2	1	2	9	5	9	7	8	10	6	3	5	8	1	6
39792	7	6	4	10	8	4	3	3	9	9	6	7	8	7	9	6	6	9	1	10
39793	4	5	7	3	7	6	7	5	10	8	3	9	6	3	7	5	5	10	2	3
39794	3	7	9	2	4	9	9	8	8	4	9	1	4	1	5	9	10	2	4	6
39795	9	6	4	4	10	10	7	5	10	3	1	5	4	5	9	6	1	8	7	5
39796	9	10	5	10	2	10	3	3	3	1	1	9	2	4	6	9	2	9	2	3
39797	9	4	5	6	1	3	8	7	3	2	5	3	8	8	5	7	10	6	10	6
39798	3	9	10	1	7	7	9	8	8	3	10	3	4	7	10	6	4	5	6	3
39799	2	9	3	4	6	5	7	3	9	4	2	10	3	7	6	4	9	3	3	10
39800	6	3	3	7	6	9	1	10	3	9	2	7	1	10	5	6	8	8	1	9
39801	1	1	5	5	10	8	4	2	1	6	4	4	7	2	7	2	4	4	7	9
39802	4	7	1	10	1	6	5	3	5	9	9	6	3	5	2	2	3	9	6	7
39803	10	2	3	5	6	9	7	10	8	7	10	3	9	2	2	2	1	2	3	8
39804	1	7	4	4	8	3	5	6	4	3	6	7	1	2	2	5	9	10	8	10
39871	10	7	9	3	10	8	3	10	8	9	8	6	8	4	1	7	4	2	6	8
39872	10	9	2	7	2	4	8	4	9	8	3	5	8	1	5	6	9	1	6	6
39873	8	8	10	9	9	5	7	8	4	2	1	5	7	5	3	6	8	3	2	1
39874	10	8	4	8	2	10	10	6	3	6	7	7	10	8	5	5	1	5	2	3
39875	9	4	6	9	7	6	10	5	4	3	6	2	4	7	10	8	1	2	9	4
39876	1	3	5	6	7	4	6	10	2	1	9	7	2	1	6	5	3	3	3	6
39877	1	4	9	1	3	8	1	6	9	3	4	8	3	7	3	7	3	10	3	3
39878	10	2	8	6	6	7	3	7	4	8	1	8	3	10	10	7	6	4	6	7
39879	2	4	5	8	6	2	1	7	5	3	9	5	8	7	9	4	8	3	7	6
39880	6	4	4	3	5	6	6	1	7	7	7	8	8	8	7	3	8	3	4	7
39881	6	4	7	3	1	10	3	7	10	4	4	9	3	7	8	1	8	10	5	3
39882	6	1	5	9	6	10	4	10	10	7	5	10	8	2	1	3	5	3	1	7
39883	6	1	8	2	8	9	3	3	5	4	5	10	6	2	7	6	7	4	9	9
39884	4	5	5	1	4	5	4	5	7	3	6	8	6	6	2	4	6	10	1	8
39885	4	2	3	9	2	8	1	3	1	8	10	3	9	3	3	7	2	10	6	1
39886	5	2	8	10	7	2	4	8	6	1	7	3	9	7	9	9	1	1	3	4
39952	6	1	8	7	7	1	7	1	7	7	1	8	9	10	5	10	2	1	4	3
39953	10	6	10	5	10	10	8	10	10	4	4	6	1	9	9	5	9	4	9	1
39954	7	8	9	5	3	5	1	7	7	6	2	7	1	4	1	4	3	6	6	2
39955	8	10	2	1	5	9	9	10	7	4	7	3	10	4	2	1	9	1	3	3
39956	3	6	8	5	6	4	1	10	2	1	10	10	1	9	2	2	7	7	7	8
39957	3	6	10	9	10	10	7	1	5	5	2	9	9	7	6	3	8	3	3	6
39958	10	4	4	1	9	5	9	6	1	5	3	9	3	10	9	7	7	8	1	2
39959	5	8	7	1	7	6	2	2	4	1	7	1	1	4	10	6	10	3	6	1
39960	1	7	1	10	5	1	10	4	7	6	7	1	7	7	4	10	8	7	3	2
39961	7	5	2	5	9	10	6	3	6	2	6	3	2	3	2	10	5	8	2	10
39962	8	4	4	9	2	4	10	1	8	9	1	10	3	8	6	7	1	6	1	5
39963	9	5	3	1	2	10	6	10	9	2	6	3	9	7	6	9	10	5	9	10
39964	5	8	10	1	8	3	4	9	5	8	6	1	4	8	7	6	1	9	3	5
39965	10	10	2	8	7	1	9	10	5	1	4	10	8	7	3	8	3	8	2	7
39966	3	5	8	7	8	3	9	4	4	8	5	1	1	2	4	4	6	6	1	1
40033	9	8	9	1	4	7	4	1	2	1	3	1	6	2	5	6	7	1	8	4
40034	9	2	1	8	6	10	2	6	8	6	6	3	8	3	8	5	4	6	10	10
40035	5	4	6	2	5	8	9	10	2	10	7	8	9	9	7	6	2	2	2	10
40036	2	10	7	5	10	4	4	5	4	1	9	1	1	9	6	8	6	8	1	3
40037	8	3	7	2	2	9	8	9	1	10	8	8	8	7	3	3	3	8	8	8
40038	10	9	7	9	3	10	5	8	10	1	9	6	10	6	6	3	2	1	2	10
40039	7	2	4	8	1	3	1	9	9	6	9	3	6	2	8	1	7	9	8	1
40040	10	6	2	8	6	9	2	7	7	2	1	1	8	4	10	2	7	7	10	6
40041	3	7	7	4	5	9	6	3	5	6	7	10	6	1	2	9	6	1	3	4
40042	10	8	2	3	1	10	8	1	4	8	7	4	4	10	9	7	3	8	8	8
40043	4	6	8	1	6	4	9	5	4	9	3	8	9	2	4	4	5	10	9	9
40044	8	2	6	4	4	9	8	3	8	4	7	2	5	6	8	2	3	7	7	6
40045	9	5	10	1	7	5	4	5	9	10	4	4	2	8	9	8	10	7	10	8
40046	5	4	6	1	7	3	8	4	3	3	5	5	7	7	7	5	9	4	3	1
40047	2	7	8	8	8	10	4	3	10	6	6	6	9	9	3	2	7	10	4	2
40048	4	9	7	1	5	1	9	6	10	2	9	9	1	10	2	7	10	7	7	9
40114	1	4	3	4	10	9	7	2	10	4	9	7	7	4	6	4	2	1	2	3
40115	6	5	1	9	4	5	3	7	10	10	8	6	2	10	3	1	10	8	6	4
40116	7	5	2	10	7	2	5	2	9	8	9	10	8	4	8	8	4	4	10	10
40117	8	6	3	8	1	3	2	7	1	4	6	7	9	5	4	8	6	3	2	2
40118	8	2	7	7	10	9	1	3	5	2	9	5	3	1	2	6	2	3	10	9
40119	8	5	5	1	5	4	6	10	4	7	3	10	5	9	1	10	8	10	4	6
40120	4	10	9	3	10	6	2	5	4	3	4	6	9	3	9	5	2	1	7	6
40121	10	6	3	8	8	3	1	8	7	10	10	5	9	9	10	5	6	3	2	8
40122	4	4	7	7	3	4	2	7	1	4	8	5	3	7	3	10	4	9	3	10
40123	5	7	10	7	8	5	6	5	9	7	4	3	6	1	10	6	6	7	7	3
40124	7	2	9	6	3	10	8	9	4	8	7	4	9	5	7	8	2	9	10	10
40125	2	2	4	1	4	8	10	5	8	6	1	5	1	2	10	6	9	4	2	1
40126	9	5	10	2	6	10	6	7	4	10	3	3	8	2	4	8	4	4	2	7
40127	4	9	6	10	9	4	4	2	10	4	4	7	3	9	6	10	4	2	10	7
40128	6	8	8	3	7	1	1	8	5	3	1	7	7	4	4	7	1	1	8	3
40129	7	3	8	1	1	8	6	10	6	1	10	2	1	1	5	7	9	2	3	3
40130	9	7	8	6	2	5	7	10	9	8	4	2	1	4	1	5	4	3	5	4
40195	5	8	5	10	10	4	4	5	5	2	10	5	3	2	8	4	9	2	1	1
40196	1	9	10	3	8	1	3	6	3	10	8	4	3	5	8	5	6	7	6	3
40197	8	4	5	10	8	5	3	1	2	10	4	6	9	5	1	8	9	2	3	4
40198	5	9	7	6	7	7	4	1	2	7	5	4	8	9	9	5	10	6	8	3
40199	3	10	3	3	1	6	5	5	3	2	5	6	4	9	1	5	4	8	1	3
40200	2	10	6	5	4	3	4	9	2	5	3	2	4	4	2	8	6	8	4	6
40201	7	7	4	5	5	8	7	6	8	10	2	9	5	9	4	4	1	1	9	7
40202	4	7	6	8	2	7	9	8	7	4	3	7	6	2	2	8	10	2	4	1
40203	1	9	10	10	8	4	10	10	6	8	9	4	6	2	4	9	2	10	1	2
40204	2	3	9	4	5	7	7	1	8	9	7	6	8	4	9	4	8	5	10	1
40205	6	8	5	8	2	9	1	2	8	9	9	6	10	8	8	8	6	10	8	9
40206	7	9	2	4	10	10	1	8	9	8	2	8	10	10	2	4	3	1	5	9
40207	1	4	1	7	3	4	5	3	10	6	3	2	4	10	8	7	9	6	2	9
40208	10	1	7	4	1	5	4	6	5	8	3	3	7	1	1	5	4	6	5	10
40209	5	8	10	6	8	7	3	7	1	5	6	3	4	2	1	3	9	6	7	6
40210	4	6	2	4	9	9	5	8	9	8	9	4	4	4	7	4	1	3	7	8
40276	10	5	8	10	5	9	4	7	5	10	9	8	9	2	9	5	1	9	5	10
40277	4	3	3	1	1	8	9	7	8	1	9	2	1	9	5	3	9	9	6	5
40278	9	3	1	7	4	9	8	1	7	1	1	3	9	6	5	10	1	10	8	1
40279	7	2	6	9	9	9	5	2	9	7	8	8	2	2	6	2	10	9	1	9
40280	2	2	5	1	8	2	7	9	2	6	1	8	5	8	1	8	6	2	2	6
40281	9	7	2	10	1	10	9	4	1	5	2	8	10	4	5	7	7	10	10	1
40282	2	4	9	10	7	10	7	3	10	3	10	3	2	7	8	10	7	3	1	10
40283	3	9	7	9	9	1	9	3	10	4	4	6	8	10	6	1	9	6	6	2
40284	2	4	2	10	2	5	7	7	5	8	7	5	7	8	3	8	5	1	7	8
40285	2	10	2	5	4	5	9	10	9	7	5	7	8	1	8	9	10	5	2	2
40286	1	9	7	2	10	3	6	8	3	3	4	2	4	10	2	7	6	4	8	8
40287	4	6	6	6	2	4	5	5	10	9	5	8	9	1	7	4	7	1	4	5
40288	10	7	8	10	1	2	10	8	8	7	7	8	6	8	4	10	1	5	9	10
