ID	I0001	I0002	I0003	I0004	I0005	I0006	I0007	I0008	I0009	I0010	I0991	I0992	I0993	I0994	I0995	I0996	I0997	I0998	I0999	I1000
31994	1	4	6	10	2	1	1	6	8	6	4	9	1	10	7	5	5	2	6	9
32075	1	4	6	10	2	1	2	6	8	6	4	9	1	10	7	5	5	2	6	9
32076	1	4	6	10	2	1	1	6	8	6	4	9	1	10	7	5	5	2	6	9
32077	1	4	6	10	2	1	1	6	8	6	4	9	1	10	8	5	5	2	6	9
32156	1	4	6	10	2	1	2	6	8	6	4	9	1	10	7	5	5	2	6	9
32157	1	4	6	10	2	1	2	6	8	6	4	9	1	10	7	5	5	2	6	9
32158	1	4	6	10	2	1	2	6	8	6	4	9	1	10	7	5	5	2	6	9
32236	1	4	6	10	2	1	2	6	8	6	4	9	1	10	7	5	5	2	6	9
32237	1	4	6	10	2	1	2	6	8	6	4	9	1	10	7	5	5	2	6	9
32238	1	4	6	10	2	1	2	6	8	6	4	9	1	10	7	5	5	2	6	9
32239	1	4	6	10	2	1	2	6	8	6	4	9	1	10	8	5	5	2	6	9
32317	1	4	6	10	2	1	2	6	8	6	4	9	1	10	7	5	5	2	6	9
32318	1	4	6	10	2	1	2	6	8	6	4	9	1	10	7	5	5	2	6	9
32319	1	4	6	10	2	1	2	6	8	6	4	9	1	10	7	5	5	2	6	9
32320	1	4	6	10	2	1	2	6	8	6	4	9	1	10	7	5	5	2	6	9
32399	1	4	6	10	2	1	2	6	8	6	4	9	1	10	7	5	5	2	6	9
32400	1	4	6	10	2	1	2	6	8	6	4	9	1	10	7	5	5	2	6	9
32401	1	4	6	10	2	1	2	6	8	6	4	9	1	10	7	5	5	2	6	9
32479	1	4	6	10	2	1	2	6	8	6	4	9	1	10	7	5	5	2	6	9
32480	1	4	6	10	2	1	2	6	8	6	4	9	1	10	7	5	5	2	6	9
32481	1	4	6	10	2	1	2	6	8	6	4	9	1	10	7	5	5	2	6	9
32482	1	4	6	10	2	1	2	6	8	6	4	9	1	10	7	5	5	2	6	9
32561	1	4	6	10	2	1	2	6	8	6	4	9	1	10	7	5	5	2	6	9
32562	1	4	6	10	2	1	2	6	8	6	4	9	1	10	7	5	5	2	6	9
32563	1	4	6	10	2	1	2	6	8	6	4	9	1	10	7	5	5	2	6	9
32643	1	4	6	10	2	1	2	6	8	6	4	9	1	10	7	6	5	2	6	9
32644	1	4	6	10	2	1	2	6	8	6	4	9	1	10	7	5	5	2	6	9
32723	1	4	6	10	2	1	2	6	8	6	4	9	1	10	7	6	5	2	6	9
32724	1	4	6	10	2	1	2	6	8	6	4	9	1	10	7	6	5	2	6	9
32725	1	4	6	10	2	1	2	6	8	6	4	9	1	10	7	5	5	2	6	9
32804	1	4	6	10	2	1	2	6	8	6	4	9	1	10	7	6	5	3	6	9
32805	1	4	6	10	2	1	2	6	8	6	4	9	1	10	7	6	5	3	6	9
32806	1	4	6	10	2	1	2	6	8	6	4	9	1	10	7	6	5	2	6	9
32886	1	4	6	10	2	1	2	6	8	6	4	9	1	10	7	6	5	3	6	9
32887	1	4	6	10	2	1	2	6	8	6	4	9	1	10	7	6	5	3	6	9
32966	1	4	6	10	2	1	2	6	8	6	4	9	1	10	7	6	5	3	9	9
32967	1	4	6	10	2	1	2	6	8	6	4	9	1	10	7	6	5	3	6	9
32968	1	4	6	10	2	1	2	6	8	6	4	9	1	10	7	6	5	3	6	9
33048	1	4	6	10	2	1	2	6	8	6	4	9	1	10	7	6	5	3	9	9
33049	1	4	6	10	2	1	2	6	8	6	4	9	1	10	7	6	5	3	9	9
33129	1	4	6	10	2	1	3	6	8	6	4	9	1	10	7	6	5	3	9	9
33130	1	4	6	10	2	1	2	6	8	6	4	9	1	10	7	6	5	3	9	9
33210	1	4	6	10	2	1	3	6	8	6	4	9	1	10	7	6	5	3	9	9
33211	1	4	6	10	2	1	3	6	8	6	4	9	1	10	7	6	5	3	9	9
33291	1	4	6	10	2	1	3	6	8	6	4	9	1	10	7	6	5	3	9	9
