BIO01_Mean	BIO02_Mean	BIO03_Mean	BIO04_Mean	BIO05_Mean	BIO06_Mean	BIO07_Mean	BIO08_Mean	BIO09_Mean	BIO10_Mean	BIO11_Mean	BIO12_Mean	BIO13_Mean	BIO14_Mean	BIO15_Mean	BIO16_Mean	BIO17_Mean	BIO18_Mean	BIO19_Mean	CDD_IDW1N10	CSDI_IDW1N10	CWD_IDW1N10	DTR_IDW1N10	FD_IDW1N10	GSL_IDW1N10	ID_IDW1N10	PRCPTOT_IDW1N10	R10MM_IDW1N10	R1MM_IDW1N10	R20MM_IDW1N10	R95P_IDW1N10	R99P_IDW1N10	RX1DAY_IDW1N10	RX5DAY_IDW1N10	SDII_IDW1N10	SU_IDW1N10	TN10P_IDW1N10	TN90P_IDW1N10	TNN_IDW1N10	TNX_IDW1N10	TR_IDW1N10	TX10P_IDW1N10	TX90P_IDW1N10	TXN_IDW1N10	TXX_IDW1N10	WSDI_IDW1N10
BIO01_Mean	1.000000	-0.018225	-0.059015	0.009211	0.802485	0.683340	0.028143	0.800275	0.859559	0.888822	0.816930	-0.139607	-0.044453	-0.099114	0.451381	-0.092827	-0.095134	-0.342151	0.083653	0.375045	0.257349	-0.126291	0.219384	-0.379277	0.340807	-0.219983	-0.233646	-0.284716	-0.165756	-0.363253	-0.231748	-0.182155	-0.257069	-0.346400	-0.437060	0.830315	0.069703	0.002968	0.481243	0.718715	0.765815	0.290195	-0.282946	0.720163	0.595911	0.017720
BIO02_Mean	-0.018225	1.000000	-0.566894	0.663760	0.508408	-0.648107	0.888960	0.269060	-0.314289	0.289189	-0.389040	-0.648864	-0.511582	-0.447364	0.537258	-0.508677	-0.504527	-0.606580	-0.420413	0.602803	0.233871	-0.623909	0.757685	0.100057	-0.081179	0.020731	-0.614727	-0.538550	-0.674815	-0.514516	-0.659073	-0.665773	-0.527334	-0.504446	-0.334768	-0.105137	0.045447	-0.228331	-0.600563	0.289541	-0.207897	0.333770	-0.018025	-0.373868	0.579699	0.489090
BIO03_Mean	-0.059015	-0.566894	1.000000	-0.884616	-0.534739	0.586096	-0.857982	-0.433460	0.308503	-0.456751	0.452866	0.690200	0.508932	0.593841	-0.546197	0.500942	0.654096	0.583964	0.456924	-0.685721	-0.350029	0.719848	-0.670199	-0.153163	0.129431	-0.068621	0.705032	0.657850	0.751520	0.533924	0.663003	0.635467	0.468344	0.512734	0.441127	0.129559	-0.058068	0.258032	0.593726	-0.529250	0.044497	-0.195759	0.116702	0.395050	-0.689762	-0.525454
BIO04_Mean	0.009211	0.663760	-0.884616	1.000000	0.538036	-0.650734	0.912447	0.506163	-0.381174	0.458670	-0.564959	-0.761989	-0.707345	-0.391314	0.442612	-0.698021	-0.449600	-0.594677	-0.442057	0.706282	0.244926	-0.738143	0.731165	0.192119	-0.159132	0.072068	-0.741019	-0.682629	-0.799692	-0.602744	-0.731859	-0.703650	-0.600202	-0.640215	-0.546676	-0.196095	-0.125212	-0.155120	-0.682813	0.524721	-0.108794	0.167801	-0.040448	-0.558271	0.670941	0.546028
BIO05_Mean	0.802485	0.508408	-0.534739	0.538036	1.000000	0.145886	0.603701	0.870474	0.491754	0.961918	0.359261	-0.550948	-0.397994	-0.362962	0.661538	-0.432185	-0.397810	-0.695277	-0.170461	0.723881	0.353777	-0.532429	0.658930	-0.203192	0.182007	-0.137929	-0.621076	-0.620394	-0.602113	-0.651147	-0.631251	-0.586921	-0.573890	-0.655507	-0.636275	0.567024	0.066765	-0.147679	-0.026518	0.838440	0.518259	0.400768	-0.276175	0.281717	0.891242	0.327859
BIO06_Mean	0.683340	-0.648107	0.586096	-0.650734	0.145886	1.000000	-0.700611	0.239003	0.881432	0.312964	0.934827	0.441893	0.410740	0.304706	-0.111467	0.369027	0.352963	0.200792	0.444604	-0.282821	-0.047990	0.437367	-0.446844	-0.370426	0.319341	-0.185125	0.356253	0.263331	0.459904	0.158077	0.370333	0.398690	0.235188	0.177701	0.000090	0.677561	0.050795	0.163682	0.849358	0.172248	0.657084	0.012537	-0.166208	0.832085	-0.091801	-0.422036
BIO07_Mean	0.028143	0.888960	-0.857982	0.912447	0.603701	-0.700611	1.000000	0.435243	-0.355604	0.441596	-0.494193	-0.753469	-0.618045	-0.507333	0.566965	-0.609092	-0.571353	-0.663280	-0.481223	0.750013	0.293837	-0.736465	0.835341	0.151946	-0.126060	0.049697	-0.735037	-0.659667	-0.804885	-0.597030	-0.753722	-0.744600	-0.603446	-0.615988	-0.458993	-0.137029	0.007223	-0.238415	-0.703566	0.465930	-0.155700	0.278956	-0.065258	-0.467330	0.716793	0.576562
BIO08_Mean	0.800275	0.269060	-0.433460	0.506163	0.870474	0.239003	0.435243	1.000000	0.460418	0.921801	0.357907	-0.502440	-0.453316	-0.223948	0.562950	-0.485314	-0.243994	-0.487091	-0.215417	0.625218	0.325710	-0.443369	0.506153	-0.209870	0.196818	-0.136855	-0.543702	-0.548369	-0.525861	-0.568321	-0.538357	-0.484069	-0.513069	-0.588475	-0.633520	0.550056	-0.123885	-0.010766	0.069864	0.825577	0.549209	0.266325	-0.193290	0.273291	0.764553	0.297870
BIO09_Mean	0.859559	-0.314289	0.308503	-0.381174	0.491754	0.881432	-0.355604	0.460418	1.000000	0.597867	0.931963	0.189367	0.232019	0.100068	0.138164	0.188151	0.129521	-0.108191	0.331321	0.036010	0.079075	0.170199	-0.109948	-0.416067	0.365304	-0.223753	0.072443	0.001335	0.158246	-0.102037	0.072182	0.108176	-0.014371	-0.093285	-0.218780	0.792225	0.130226	0.033173	0.708579	0.444259	0.717690	0.127183	-0.240651	0.837567	0.267406	-0.250995
BIO10_Mean	0.888822	0.289189	-0.456751	0.458670	0.961918	0.312964	0.441596	0.921801	0.597867	1.000000	0.473086	-0.467463	-0.349470	-0.266843	0.588788	-0.389526	-0.290859	-0.594662	-0.109617	0.645167	0.314544	-0.454024	0.528229	-0.233474	0.214128	-0.153430	-0.545774	-0.569152	-0.505348	-0.607721	-0.539519	-0.482392	-0.500752	-0.605063	-0.643007	0.648691	0.021871	-0.075656	0.115837	0.877174	0.637314	0.326953	-0.277897	0.385879	0.838364	0.240230
