Feature	R	S	R.Frequency	S.Frequency	SI.Mean	SI.P.Mean	SI.Min	SI.P.Min
CSDI	TRUE	FALSE	1	0	47.3363288685461	0.995659596572707	19.9034109304694	0.962601317152686
SU	TRUE	TRUE	1	0.74	47.1420262988366	0.995962650537996	15.4401820776931	0.966851643505723
TX10P	TRUE	TRUE	0.9	0.95	48.1248803937155	0.980275164898465	25.4454561546692	0.816125551354374
TN90P	TRUE	TRUE	0.88	0.42	48.5748426887003	0.994469724540259	26.5290613747973	0.946047454568304
CDD	TRUE	TRUE	0.82	0.73	47.4295473589137	0.981544899856352	13.0218831861778	0.838953912731684
BIO15	TRUE	FALSE	0.66	0	48.3128243798388	0.993781298026203	23.2407763448335	0.95151869150551
BIO07	TRUE	FALSE	0.63	0	47.1927199757785	0.980102958568026	13.3931382414391	0.855474263198075
RX1DAY	TRUE	TRUE	0.63	0.48	46.3910267522217	0.996994562094311	23.4602252730935	0.972907329160923
CWD	TRUE	TRUE	0.58	0.54	46.5360069807245	0.994214546573407	17.4562408283256	0.952214673964573
WSDI	TRUE	FALSE	0.57	0	47.9143550264506	0.996439023181017	28.1142276601754	0.975382587689546
BIO19	FALSE	TRUE	0	0.71	48.2601816754201	0.997038910331753	21.0625877948085	0.971834439409601
R20MM	FALSE	TRUE	0	0.57	46.151075759836	0.994766983474281	18.394039219348	0.954479652172398
TXX	FALSE	TRUE	0	0.46	47.2573345447253	0.9975067147945	27.9316864021041	0.982325367116289
TNX	FALSE	TRUE	0	0.43	48.4564018752651	0.99617404486306	25.5471754628476	0.968053078904654
R.Mean	FALSE	FALSE	0	0	47.4954558723726	0.990944442484874	20.6004602071674	0.92380774248314
S.Mean	FALSE	FALSE	0	0	47.4323324328359	0.992894820196438	21.4288537773865	0.936979310288852
