HID	I001	I002	I003	I004	I005	I006	I007	I008	I009	I010	I991	I992	I993	I994	I995	I996	I997	I998	I999	I1000
48763	5	7	4	1	10	6	5	2	10	1	8	8	5	7	5	10	5	6	1	6
48844	5	7	4	1	10	6	5	2	10	1	8	8	5	7	5	10	5	6	1	6
48925	5	7	4	1	10	6	5	2	10	1	1	8	5	7	5	10	5	6	1	6
49005	5	7	4	1	10	6	5	2	10	1	1	8	5	7	5	10	5	6	1	6
49006	5	7	4	1	10	6	5	2	10	1	1	8	5	7	5	10	5	6	1	6
49087	5	7	4	1	10	6	5	2	10	1	1	8	5	7	5	10	5	6	1	6
49168	5	7	4	1	10	6	5	2	10	1	1	8	5	7	5	10	5	6	1	6
49249	5	7	4	1	10	6	5	2	10	1	1	8	5	7	5	10	5	6	1	6
49330	5	7	4	1	10	6	5	2	10	1	1	8	5	7	5	10	5	6	1	6
49492	5	7	4	1	10	6	8	2	10	1	1	8	5	7	5	10	5	6	1	6
59090	5	7	4	1	10	6	8	2	10	1	1	8	5	7	5	10	5	6	1	6
59091	5	7	4	1	10	6	5	2	10	1	1	8	5	7	5	10	5	6	1	6
59092	5	7	4	1	10	6	5	2	10	1	1	8	5	7	5	10	5	6	1	6
59093	5	7	4	1	10	6	5	2	10	1	8	8	5	7	5	10	5	6	1	6
59171	5	7	4	1	10	6	8	2	10	1	1	8	5	7	5	10	5	6	1	6
59172	5	7	4	1	10	6	5	2	10	1	1	8	5	7	5	10	5	6	1	6
59173	5	7	4	1	10	6	5	2	10	1	1	8	5	7	5	10	5	6	1	6
59251	5	7	4	2	10	6	8	2	10	1	1	1	5	7	5	10	5	6	1	6
59252	5	7	4	1	10	6	8	2	10	1	1	8	5	7	5	10	5	6	1	6
59253	5	7	4	1	10	6	5	2	10	1	1	8	5	7	5	10	5	6	1	6
59254	5	7	4	1	10	6	5	2	10	1	1	8	5	7	5	10	5	6	1	6
59262	5	4	4	1	10	6	5	1	10	5	8	8	5	7	5	10	5	6	1	6
59332	8	7	4	2	10	6	8	2	10	1	1	1	5	7	5	10	5	6	1	6
59333	5	7	4	2	10	6	8	2	10	1	1	1	5	7	5	10	5	6	1	6
59334	5	7	4	1	10	6	8	2	10	1	1	8	5	7	5	10	5	6	1	6
59335	5	7	4	1	10	6	5	2	10	1	1	8	5	7	5	10	5	6	1	6
59336	5	7	4	1	10	6	5	2	10	1	1	8	5	7	5	10	5	6	1	6
59344	5	4	4	1	10	6	5	1	10	5	8	8	5	5	5	10	5	6	1	6
