Feature	R	S	R.Frequency	S.Frequency	SI.Mean	SI.P.Mean	SI.Min	SI.P.Min
BIO03	TRUE	FALSE	1	0	47.0525980134884	0.985893024893109	7.78697054808413	0.864927760310611
BIO16	TRUE	TRUE	1	0.79	46.5937570267871	0.997374580899675	24.1349536154495	0.975150534027022
BIO19	TRUE	TRUE	1	0.66	48.4311692436744	0.996704886298722	20.7361047582739	0.968768278314735
ID	TRUE	TRUE	1	0.84	60.9668432469356	0.999409890912941	21.4611276596643	0.994098909129411
R99P	TRUE	TRUE	1	0.55	46.3627793578473	0.992052490555589	17.3276367638004	0.942083691746232
TR	TRUE	FALSE	1	0	47.1215137693638	0.997890737523749	15.9136745602104	0.978948228838371
TXX	TRUE	TRUE	1	0.85	47.2901805924911	0.99776289403883	27.2563455029028	0.984123082940256
WSDI	TRUE	TRUE	1	0.92	47.8460577395195	0.996682846017552	26.9085490069134	0.977128076446564
TNX	FALSE	TRUE	0	0.5	48.40999285727	0.996052698763668	25.3464642598919	0.96715174234379
BIO18	FALSE	TRUE	0	0.45	46.9923701062979	0.998705148478734	18.8555561849234	0.987051484787338
R.Mean	FALSE	FALSE	0	0	48.9581123737634	0.995471418892521	20.1906703019123	0.96065357021915
S.Mean	FALSE	FALSE	0	0	49.1116437713529	0.996843179495714	22.7533422189774	0.974444474966919
