Feature	R	S	R.Frequency	S.Frequency	SI.Mean	SI.P.Mean	SI.Min	SI.P.Min
BIO03	TRUE	TRUE	1	0.43	47.1548433773818	0.989783644532788	9.63039976354581	0.903646990175888
BIO14	TRUE	FALSE	1	0	51.6571932541971	0.992091144831155	20.8299709621719	0.92091144831155
BIO18	TRUE	TRUE	1	0.49	46.9646573366308	0.998678780826202	19.2103305181314	0.986787808262015
GSL	TRUE	FALSE	1	0	38.8894109703086	0.693757301456245	4.21912529919358	0.0664489651018645
ID	TRUE	TRUE	1	0.98	60.9551679861134	0.999451971228553	20.8078318160068	0.994519712285526
RX1DAY	TRUE	TRUE	1	1	46.5577327636833	0.997162444374792	23.6403037854343	0.974805828521522
WSDI	TRUE	TRUE	1	0.89	47.9700168159685	0.996537671336216	27.068449718979	0.975645792999513
TN10P	TRUE	FALSE	0.94	0	48.4275557737748	0.99743394701504	28.8474184415861	0.976684012351174
TXX	FALSE	TRUE	0	0.87	47.350379467146	0.997886814992979	27.1200184650402	0.984681162910634
BIO02	FALSE	TRUE	0	0.45	47.665177156244	0.997146715350011	22.1421398137417	0.975094637683936
TN90P	FALSE	TRUE	0	0.45	48.5266638924982	0.994948256939148	26.8972522243605	0.950846606684755
R.Mean	FALSE	FALSE	0	0	48.5720722847573	0.958112113200124	19.2817287881311	0.849931319751132
S.Mean	FALSE	FALSE	0	0	49.1430798494583	0.996449537447586	22.064590763155	0.968253567440474
