BIO01_Mean	BIO02_Mean	BIO03_Mean	BIO04_Mean	BIO05_Mean	BIO06_Mean	BIO07_Mean	BIO08_Mean	BIO09_Mean	BIO10_Mean	BIO11_Mean	BIO12_Mean	BIO13_Mean	BIO14_Mean	BIO15_Mean	BIO16_Mean	BIO17_Mean	BIO18_Mean	BIO19_Mean	CDD_IDW1N10	CSDI_IDW1N10	CWD_IDW1N10	DTR_IDW1N10	FD_IDW1N10	GSL_IDW1N10	ID_IDW1N10	PRCPTOT_IDW1N10	R10MM_IDW1N10	R1MM_IDW1N10	R20MM_IDW1N10	R95P_IDW1N10	R99P_IDW1N10	RX1DAY_IDW1N10	RX5DAY_IDW1N10	SDII_IDW1N10	SU_IDW1N10	TN10P_IDW1N10	TN90P_IDW1N10	TNN_IDW1N10	TNX_IDW1N10	TR_IDW1N10	TX10P_IDW1N10	TX90P_IDW1N10	TXN_IDW1N10	TXX_IDW1N10	WSDI_IDW1N10
BIO01_Mean	1.000000	-0.146482	0.605198	-0.762336	0.685637	0.938706	-0.674121	0.550642	0.778237	0.834213	0.964641	0.390625	0.395517	0.206829	0.136909	0.401032	0.223013	0.167750	0.238549	0.127924	0.515378	0.489809	-0.222859	-0.918146	0.912939	-0.769679	0.371607	0.407582	0.270992	0.388543	0.385155	0.410053	0.384829	0.410385	0.391783	0.910397	0.514344	-0.170767	0.907110	0.655557	0.823505	0.476754	-0.429111	0.935237	0.383274	0.295036
BIO02_Mean	-0.146482	1.000000	-0.253415	0.488903	0.454116	-0.395096	0.677892	-0.389828	0.144312	0.195508	-0.294588	-0.713355	-0.578454	-0.504390	0.476459	-0.606054	-0.528430	-0.667607	-0.410251	0.725185	0.478457	-0.542474	0.683358	0.159131	-0.167284	0.193112	-0.721242	-0.700906	-0.768017	-0.670440	-0.719188	-0.699668	-0.619206	-0.615879	-0.535120	-0.203929	0.008176	-0.107458	-0.322365	0.198520	-0.363255	0.231795	-0.161305	-0.280444	0.589590	0.395087
BIO03_Mean	0.605198	-0.253415	1.000000	-0.836637	0.056902	0.748875	-0.797888	0.308908	0.483864	0.191135	0.736790	0.653051	0.417457	0.702141	-0.313137	0.445239	0.709104	0.346590	0.697543	-0.244589	0.119141	0.677341	-0.596004	-0.567935	0.543220	-0.393434	0.667131	0.710881	0.642054	0.598236	0.599563	0.593724	0.365742	0.427131	0.359401	0.745389	0.234988	0.227157	0.794140	0.092186	0.790918	0.167613	-0.110350	0.745093	-0.232301	-0.100332
BIO04_Mean	-0.762336	0.488903	-0.836637	1.000000	-0.096643	-0.917398	0.963145	-0.456508	-0.542095	-0.283481	-0.904895	-0.738281	-0.635029	-0.493212	0.197657	-0.660657	-0.516557	-0.482851	-0.494334	0.332733	-0.168569	-0.818006	0.577108	0.746531	-0.733879	0.631840	-0.750287	-0.769026	-0.717344	-0.702922	-0.725846	-0.725610	-0.586088	-0.648635	-0.566580	-0.802642	-0.403840	0.035602	-0.900371	-0.142203	-0.808288	-0.234362	0.222392	-0.897589	0.166262	-0.073853
BIO05_Mean	0.685637	0.454116	0.056902	-0.096643	1.000000	0.429747	0.055510	0.190999	0.700844	0.944920	0.493310	-0.267679	-0.140182	-0.258438	0.435381	-0.161429	-0.262198	-0.425022	-0.165499	0.622602	0.708939	-0.142917	0.322491	-0.603207	0.593186	-0.502770	-0.306297	-0.266647	-0.411044	-0.240914	-0.277654	-0.243853	-0.149852	-0.162241	-0.099530	0.536704	0.349107	-0.184208	0.420035	0.828620	0.365533	0.447117	-0.359499	0.470896	0.841633	0.509285
BIO06_Mean	0.938706	-0.395096	0.748875	-0.917398	0.429747	1.000000	-0.877702	0.506647	0.727377	0.618611	0.989754	0.601396	0.524581	0.409153	-0.101849	0.542281	0.429442	0.333412	0.432582	-0.110702	0.319481	0.656594	-0.453720	-0.897361	0.888282	-0.777188	0.589040	0.618627	0.524932	0.570381	0.579946	0.591249	0.492959	0.534439	0.480567	0.905991	0.451952	-0.043719	0.967397	0.461718	0.877320	0.343853	-0.285270	0.970327	0.118755	0.162565
BIO07_Mean	-0.674121	0.677892	-0.797888	0.963145	0.055510	-0.877702	1.000000	-0.458871	-0.432368	-0.182563	-0.832639	-0.807068	-0.654464	-0.589588	0.343684	-0.685312	-0.614017	-0.594243	-0.566170	0.452834	0.022969	-0.801893	0.672861	0.672149	-0.667428	0.592568	-0.813901	-0.825574	-0.798603	-0.758569	-0.788644	-0.783203	-0.624630	-0.677072	-0.584220	-0.716986	-0.314482	-0.049418	-0.846805	-0.070797	-0.776125	-0.142933	0.124654	-0.823052	0.315349	0.090524
BIO08_Mean	0.550642	-0.389828	0.308908	-0.456508	0.190999	0.506647	-0.458871	1.000000	-0.049712	0.401856	0.533279	0.450495	0.502555	0.203279	0.216602	0.498498	0.223835	0.460830	0.065596	-0.338148	0.119673	0.530945	-0.319686	-0.371769	0.376652	-0.194952	0.527483	0.533296	0.466151	0.544841	0.573119	0.587429	0.669462	0.638435	0.617136	0.534232	0.317705	-0.330726	0.450779	0.248788	0.553943	0.241558	-0.469122	0.487198	-0.060098	-0.131308
BIO09_Mean	0.778237	0.144312	0.483864	-0.542095	0.700844	0.727377	-0.432368	-0.049712	1.000000	0.710394	0.739300	0.101345	0.068866	0.090588	0.003158	0.075678	0.094231	-0.173423	0.229538	0.431827	0.567032	0.157942	-0.016181	-0.811713	0.790835	-0.759785	0.019783	0.058081	-0.052316	0.024958	-0.001828	0.017712	-0.076497	-0.020709	-0.024281	0.681943	0.387020	0.041211	0.733357	0.614526	0.560543	0.424340	-0.191026	0.740079	0.528237	0.440069
BIO10_Mean	0.834213	0.195508	0.191135	-0.283481	0.944920	0.618611	-0.182563	0.401856	0.710394	1.000000	0.664280	-0.050253	0.041826	-0.103874	0.358530	0.027146	-0.100796	-0.188871	-0.049968	0.471835	0.617949	0.033502	0.147754	-0.728976	0.730752	-0.616370	-0.085493	-0.046152	-0.203986	-0.021094	-0.048306	-0.013210	0.064754	0.048048	0.092092	0.673073	0.401679	-0.191411	0.585170	0.855101	0.540660	0.477701	-0.411598	0.627180	0.712778	0.378249
BIO11_Mean	0.964641	-0.294588	0.736790	-0.904895	0.493310	0.989754	-0.832639	0.533279	0.739300	0.664280	1.000000	0.553223	0.512417	0.338568	0.001323	0.526211	0.358254	0.295950	0.363515	-0.047880	0.404606	0.649905	-0.383060	-0.908213	0.899160	-0.767667	0.544845	0.576559	0.466618	0.536305	0.542319	0.557942	0.482545	0.524726	0.479598	0.922765	0.495443	-0.113685	0.962252	0.491682	0.868581	0.399972	-0.358440	0.978271	0.187421	0.224729
BIO12_Mean	0.390625	-0.713355	0.653051	-0.738281	-0.267679	0.601396	-0.807068	0.450495	0.101345	-0.050253	0.553223	1.000000	0.866576	0.693863	-0.363204	0.902262	0.721509	0.819376	0.639877	-0.665131	-0.214871	0.788421	-0.671451	-0.367850	0.369259	-0.301526	0.892731	0.890630	0.866210	0.854137	0.880354	0.872008	0.730418	0.771829	0.681860	0.503934	0.250150	0.034507	0.572340	-0.129181	0.595994	0.000890	-0.013692	0.541867	-0.506879	-0.219980
BIO13_Mean	0.395517	-0.578454	0.417457	-0.635029	-0.140182	0.524581	-0.654464	0.502555	0.068866	0.041826	0.512417	0.866576	1.000000	0.311091	0.032611	0.990264	0.344194	0.732064	0.367991	-0.523224	-0.028268	0.767374	-0.492469	-0.351081	0.351835	-0.270085	0.749939	0.734452	0.671454	0.767832	0.773867	0.772600	0.760997	0.804484	0.751931	0.447721	0.325722	-0.175938	0.481981	-0.043666	0.487697	0.079028	-0.166050	0.491824	-0.315126	-0.000957
BIO14_Mean	0.206829	-0.504390	0.702141	-0.493212	-0.258438	0.409153	-0.589588	0.203279	0.090588	-0.103874	0.338568	0.693863	0.311091	1.000000	-0.646373	0.353525	0.996125	0.476342	0.814492	-0.499497	-0.302159	0.421130	-0.602403	-0.208831	0.204447	-0.166672	0.657342	0.683537	0.686660	0.575778	0.596490	0.581579	0.360557	0.356462	0.300354	0.370937	0.027501	0.354479	0.434316	-0.117588	0.495743	-0.105696	0.172991	0.362354	-0.483988	-0.426262
BIO15_Mean	0.136909	0.476459	-0.313137	0.197657	0.435381	-0.101849	0.343684	0.216602	0.003158	0.358530	0.001323	-0.363204	0.032611	-0.646373	1.000000	-0.022773	-0.647940	-0.260986	-0.543420	0.459506	0.506608	-0.122099	0.435615	-0.024098	0.024910	0.108242	-0.341468	-0.336256	-0.467274	-0.229954	-0.268371	-0.241495	0.013310	-0.017232	0.090745	0.041027	0.269784	-0.508510	-0.110131	0.332352	-0.092817	0.385890	-0.545484	-0.026078	0.501161	0.397714
BIO16_Mean	0.401032	-0.606054	0.445239	-0.660657	-0.161429	0.542281	-0.685312	0.498498	0.075678	0.027146	0.526211	0.902262	0.990264	0.353525	-0.022773	1.000000	0.387148	0.771504	0.382791	-0.554712	-0.057841	0.778952	-0.508981	-0.361712	0.364437	-0.283537	0.778449	0.763129	0.708879	0.786454	0.799806	0.799310	0.765344	0.812233	0.746643	0.455576	0.339778	-0.175488	0.497158	-0.062828	0.497846	0.091663	-0.160445	0.504069	-0.344053	-0.022829
