ID	I0001	I0002	I0003	I0004	I0005	I0006	I0007	I0008	I0009	I0010	I0991	I0992	I0993	I0994	I0995	I0996	I0997	I0998	I0999	I1000
25757	6	1	5	9	1	5	1	1	4	6	10	6	8	1	8	5	5	1	10	10
25838	6	1	5	9	1	5	1	1	4	6	10	6	8	1	8	5	5	1	10	10
25839	6	1	5	9	1	5	1	1	4	6	10	6	8	1	8	5	5	1	10	10
25918	6	1	5	9	1	5	1	1	4	6	10	6	8	1	6	8	5	1	10	10
25919	6	1	5	9	1	5	1	1	4	6	10	6	8	1	8	5	5	1	10	10
25920	6	1	5	9	1	5	1	1	4	6	10	6	8	1	8	5	5	6	10	10
25999	6	1	5	9	1	5	1	1	4	6	10	6	8	1	6	8	5	1	10	10
26000	6	1	5	9	1	5	1	1	4	6	10	6	8	1	8	5	5	1	10	10
26001	6	1	5	9	1	5	1	1	4	6	10	6	8	1	8	5	5	1	10	10
26002	6	1	5	9	1	5	1	1	4	6	10	6	8	1	8	5	5	6	10	10
26081	6	1	5	9	1	5	1	1	4	6	10	6	8	1	6	8	5	1	10	10
26082	6	1	5	9	1	5	1	1	4	6	10	6	8	1	8	5	5	1	10	10
26083	6	1	5	9	1	5	1	1	4	6	10	6	8	1	8	5	5	6	10	10
26161	6	1	5	9	1	5	1	1	4	6	10	6	8	1	6	8	5	1	10	10
26162	6	1	5	9	1	5	1	1	4	6	10	6	8	1	6	8	5	1	10	10
26163	6	1	5	9	1	5	1	1	4	6	10	6	8	1	8	5	5	1	10	10
26164	6	1	5	9	1	5	1	1	4	6	10	6	8	1	8	5	5	6	10	10
26242	6	1	5	9	1	5	1	1	4	6	10	6	8	1	6	8	5	1	10	10
26243	6	1	5	9	1	5	1	1	4	6	10	6	8	1	6	8	5	1	10	10
26244	6	1	5	9	1	5	1	1	4	6	10	6	8	1	8	5	5	1	10	10
26245	6	1	5	9	1	5	1	1	4	6	10	6	8	1	8	5	5	6	10	10
26324	6	1	5	9	1	5	1	1	4	6	10	6	8	1	6	8	5	1	10	10
26325	6	1	5	9	1	5	1	1	4	6	10	6	8	1	6	8	5	1	10	10
26326	6	1	5	9	1	5	1	1	4	6	10	6	8	1	8	5	5	1	10	10
26404	6	1	5	9	1	5	1	1	4	6	10	6	8	1	6	8	5	1	10	10
26405	6	1	5	9	1	5	1	1	4	6	10	6	8	1	6	8	5	1	10	10
26406	6	1	5	9	1	5	1	1	4	6	10	6	8	1	6	5	5	1	10	10
26407	6	1	5	9	1	5	1	1	4	6	10	6	8	1	8	5	5	6	10	10
26485	6	1	5	9	1	5	1	1	4	6	10	6	8	1	7	8	5	1	10	10
26486	6	1	5	9	1	5	1	1	4	6	10	6	8	1	6	8	5	1	10	10
26487	6	1	5	9	1	5	1	1	4	6	10	6	8	1	6	8	5	1	10	10
26488	6	1	5	9	1	5	1	1	4	6	10	6	8	1	8	5	5	1	10	10
26567	6	1	5	9	1	5	1	1	4	6	10	6	8	1	6	8	5	1	10	10
26568	6	1	5	9	1	5	1	1	4	6	10	6	8	1	6	8	5	1	10	10
26569	6	1	5	9	1	5	1	1	4	6	10	6	8	1	6	8	5	1	10	10
26647	6	1	5	9	1	5	1	1	4	10	10	6	8	1	7	8	5	1	10	10
26648	6	1	5	9	1	5	1	1	4	6	10	6	8	1	6	8	5	1	10	10
26649	6	1	5	9	1	5	1	1	4	6	10	6	8	1	6	8	5	1	10	10
26650	6	1	5	9	1	5	1	1	4	6	10	6	8	1	6	5	5	6	10	10
26729	6	1	5	9	1	5	1	1	4	10	10	6	8	1	7	8	5	1	10	10
26730	6	1	5	9	1	5	1	1	4	6	10	6	8	1	6	8	5	1	10	10
26731	6	1	5	9	1	5	1	1	4	6	10	6	8	1	6	8	5	1	10	10
26810	6	1	5	9	1	5	1	1	4	10	10	6	8	1	7	8	5	1	10	10
26811	6	1	5	9	1	5	1	1	4	10	10	6	8	1	7	8	5	1	10	10
26812	6	1	5	9	1	5	1	1	4	6	10	6	8	1	6	8	5	1	10	10
26891	6	1	5	9	1	5	1	1	4	10	10	6	8	1	7	8	5	1	10	10
26892	6	1	5	9	1	5	1	1	4	10	10	6	8	1	6	8	5	1	10	10
26893	6	1	5	9	1	5	1	1	4	6	10	6	8	1	6	8	5	1	10	10
26972	6	1	5	9	1	5	1	1	4	10	10	6	8	1	7	8	5	1	10	10
26973	6	1	5	9	1	5	1	1	4	10	10	6	8	1	7	8	5	1	10	10
26974	6	1	5	9	1	5	1	1	4	10	10	6	8	1	6	8	5	1	10	10
27054	6	1	5	9	1	5	1	1	4	10	10	6	8	1	7	8	5	1	10	10
27055	6	1	5	9	1	5	1	1	4	10	10	6	8	1	7	8	5	1	10	10
27134	6	1	5	9	1	5	1	1	4	10	10	6	8	1	7	8	5	1	10	10
27135	6	1	5	9	1	5	1	1	4	10	10	6	8	1	7	8	5	1	10	10
27136	6	1	5	9	1	5	1	1	4	10	10	6	8	1	6	8	5	1	10	10
27216	6	1	5	9	1	5	1	1	4	10	10	6	8	1	7	8	5	1	10	10
27217	6	1	5	9	1	5	1	1	4	10	10	6	8	1	7	8	5	1	10	10
28594	6	1	5	8	1	5	1	1	5	10	2	6	1	1	7	8	6	1	10	10
28837	6	1	5	8	2	5	1	1	5	10	2	6	1	1	7	8	6	1	10	10
29080	6	1	5	8	2	5	1	1	5	10	7	6	1	1	7	8	6	1	10	10
29161	6	1	5	8	2	5	1	1	5	10	7	6	1	1	7	8	6	1	10	10
29323	6	1	5	8	2	5	1	1	5	10	7	6	1	1	7	8	6	1	10	10
30052	6	1	5	10	3	1	1	2	5	9	8	1	1	1	7	8	6	1	4	9
30133	6	1	5	10	3	1	1	2	5	3	8	1	1	1	7	8	6	1	4	9
30213	6	1	5	10	3	1	1	2	5	3	8	1	1	1	7	8	6	1	4	9
30214	6	1	5	10	3	1	1	2	5	3	8	1	1	1	7	8	6	1	4	9
30293	6	1	5	10	3	1	1	2	5	3	8	1	1	1	7	8	6	1	4	9
