Feature	R	S	R.Frequency	S.Frequency	SI.Mean	SI.P.Mean	SI.Min	SI.P.Min
BIO13	TRUE	FALSE	1	0	47.3713036674821	0.996531754793961	19.8512844383449	0.965317547939607
ID	TRUE	FALSE	1	0	11.8109867943423	0.994613840009282	-2.06040840393629	0.946138400092817
R20MM	TRUE	FALSE	1	0	46.9658275095156	0.993401770177829	18.4786420232669	0.946832836329777
TX90P	TRUE	FALSE	1	0	47.7553680722662	0.995982480247317	23.7384082037021	0.964439692455676
TXX	TRUE	TRUE	1	0.9	47.8519547708931	0.995445326138445	17.4876438363703	0.960280676553904
WSDI	TRUE	FALSE	1	0	48.0406442428432	0.996206488376794	22.2425166551452	0.967412863648537
BIO09	FALSE	TRUE	0	0.8	49.0279489715921	0.999446122732973	24.5585566862772	0.995996028503285
CDD	FALSE	TRUE	0	0.79	47.180601094535	0.995760751343682	18.715815496845	0.959519015617485
BIO02	FALSE	TRUE	0	0.77	48.5630742807292	0.997089631801083	28.9292400570659	0.974272239145598
BIO15	FALSE	TRUE	0	0.68	47.9804366259609	0.998657717629117	24.1610054135762	0.986577176291168
TNN	FALSE	TRUE	0	0.68	47.019699513647	0.988934950071082	15.4146950829936	0.911721466109018
R.Mean	FALSE	FALSE	0	0	41.6326808428904	0.995363609957271	16.6230144588155	0.958403669503386
S.Mean	FALSE	FALSE	0	0	47.9372858762262	0.995889083286064	21.544492762188	0.964727767036743
