HID	PA
25757	0
25838	0
25839	0
25918	0
25919	0
25920	0
25999	0
26000	0
26001	0
26002	0
26081	0
26082	0
26083	0
26161	0
26162	0
26163	0
26164	0
26242	0
26243	0
26244	0
26245	0
26324	0
26325	0
26326	0
26404	0
26405	0
26406	0
26407	0
26485	0
26486	0
26487	0
26488	0
26567	0
26568	0
26569	0
26647	0
26648	0
26649	0
26650	0
26729	0
26730	0
26731	0
26810	0
26811	0
26812	0
26891	0
26892	0
26893	0
26972	0
26973	0
26974	0
27054	0
27055	0
27134	0
27135	0
27136	0
27216	0
27217	0
28594	1
28837	1
29080	1
29161	1
29323	1
30052	0
30133	0
30213	0
30214	0
30293	0
30294	0
30295	0
30374	0
30375	0
30376	0
30456	0
30457	0
30536	0
30537	0
30538	0
30618	0
30619	0
30700	0
30781	0
39404	0
39405	0
39406	0
39407	0
39408	0
39409	1
39410	1
39411	1
39412	1
39413	1
39418	0
39419	0
39420	0
39421	0
39422	0
39423	0
39484	0
39485	0
39486	0
39487	0
39488	0
39489	0
39490	1
39491	1
39492	1
39493	1
39498	0
39499	0
39500	0
39501	0
39502	0
39503	0
39566	0
39567	0
39568	0
39569	0
39570	0
39571	0
39572	1
39573	1
39574	1
39575	1
39580	0
39581	0
39582	0
39583	0
39584	0
39585	0
39647	0
39648	0
39649	0
39650	0
39651	0
39652	0
39653	1
39654	1
39655	1
39656	1
39657	1
39658	1
39661	1
39662	0
39663	0
39664	0
39665	0
39666	0
39728	0
39729	0
39730	0
39731	0
39732	0
39733	0
39734	1
39735	1
39736	1
39737	1
39738	1
39739	1
39740	1
39742	0
39743	0
39744	0
39745	0
39746	0
39747	0
39809	0
39810	0
39811	0
39812	0
39813	0
39814	0
39815	1
39816	1
39817	1
39818	1
39819	1
39820	1
39821	1
39822	1
39824	0
39825	0
39826	0
39827	0
39828	0
39891	0
39892	0
39893	0
39894	0
39895	0
39896	0
39897	1
39898	1
39899	1
39900	1
39901	1
39902	1
39903	1
39906	0
39907	0
39908	0
39909	0
39910	0
39971	0
39972	0
39973	0
39974	0
39975	0
39976	0
39977	0
39978	1
39979	1
39980	1
39981	1
39982	1
39983	1
39987	0
39988	0
39989	0
39990	0
40053	0
40054	0
40055	0
40056	0
40057	0
40058	0
40059	1
40060	1
40061	1
40062	1
40063	1
40064	1
40065	1
40068	0
40069	0
40070	0
40071	0
40072	0
40134	0
40135	0
40136	0
40137	0
40138	0
40139	0
40140	0
40141	1
40142	1
40143	1
40144	1
40145	1
40146	1
40147	1
40150	0
40151	0
40152	0
40153	0
40215	0
40216	0
40217	0
40218	0
40219	0
40220	0
40221	0
40222	0
40223	1
40224	1
40225	1
40226	1
40227	1
40230	0
40231	0
40232	0
40233	0
40234	0
40296	0
40297	0
40298	0
40299	0
40300	0
40301	0
40302	0
40303	0
40304	1
40305	1
40306	1
40307	1
40308	1
40309	1
40312	0
40313	0
40314	0
40315	0
40378	0
40379	0
40380	0
40381	0
40382	0
40383	0
40384	0
40385	0
40386	1
40387	1
40388	1
40389	1
40390	1
40391	1
40394	0
40395	0
40396	0
40397	0
40459	0
40460	0
40461	0
40462	0
40463	0
40464	0
40465	0
40466	0
40467	1
40468	1
40469	1
40470	1
40471	1
40475	0
40476	0
40477	0
40540	0
40541	0
40542	0
40543	0
40544	0
40545	0
40546	0
40547	0
40548	1
40549	1
40550	1
40551	1
40552	1
40553	1
40558	0
40622	0
40623	0
40624	0
40625	0
40626	0
40627	0
40628	0
40629	0
40630	1
40631	1
40632	1
40633	1
40634	1
40702	0
40703	0
40704	0
40705	0
40706	0
40707	0
40708	0
40709	0
40710	0
40711	1
40712	1
40713	1
40714	1
40715	1
40784	0
40785	0
40786	0
40787	0
40788	0
40789	0
40790	0
40791	0
40792	1
40793	1
40794	1
40795	1
40796	1
40797	1
40798	1
40866	0
40867	0
40868	0
40869	0
40870	0
40871	0
40872	0
40873	0
40874	1
40875	1
40876	1
40877	1
40878	1
40879	1
40946	0
40947	0
40948	0
40949	0
40950	0
40951	0
40952	0
40953	0
40954	1
40955	1
40956	1
40957	1
40958	1
40959	1
40960	1
41028	0
41029	0
41030	0
41031	0
41032	0
41033	0
41034	0
41035	0
41036	1
41037	1
41038	1
41039	1
41040	1
41041	1
41042	1
41110	0
41111	0
41112	0
41113	0
41114	0
41115	0
41116	0
41117	0
