BIO01_Mean	BIO02_Mean	BIO03_Mean	BIO04_Mean	BIO05_Mean	BIO06_Mean	BIO07_Mean	BIO08_Mean	BIO09_Mean	BIO10_Mean	BIO11_Mean	BIO12_Mean	BIO13_Mean	BIO14_Mean	BIO15_Mean	BIO16_Mean	BIO17_Mean	BIO18_Mean	BIO19_Mean	CDD_IDW1N10	CSDI_IDW1N10	CWD_IDW1N10	DTR_IDW1N10	FD_IDW1N10	GSL_IDW1N10	ID_IDW1N10	PRCPTOT_IDW1N10	R10MM_IDW1N10	R1MM_IDW1N10	R20MM_IDW1N10	R95P_IDW1N10	R99P_IDW1N10	RX1DAY_IDW1N10	RX5DAY_IDW1N10	SDII_IDW1N10	SU_IDW1N10	TN10P_IDW1N10	TN90P_IDW1N10	TNN_IDW1N10	TNX_IDW1N10	TR_IDW1N10	TX10P_IDW1N10	TX90P_IDW1N10	TXN_IDW1N10	TXX_IDW1N10	WSDI_IDW1N10
BIO01_Mean	1.000000	0.301254	0.426617	-0.384690	0.622125	0.758909	-0.236681	0.842852	0.107352	0.701613	0.850417	-0.050684	0.133025	-0.359551	0.561888	0.078090	-0.395807	0.073944	-0.150756	0.153468	0.466371	0.262405	0.122759	-0.489093	0.475409	-0.172897	0.212953	0.177981	0.227981	0.107611	0.219909	0.245206	0.224235	0.237510	0.245805	0.891604	0.151454	-0.137967	0.580452	0.249747	0.769086	0.509585	-0.532310	0.798459	0.126797	-0.026333
BIO02_Mean	0.301254	1.000000	-0.047358	0.237550	0.601919	-0.194214	0.524336	0.259828	-0.173750	0.459418	0.041573	-0.287663	-0.147630	-0.298164	0.186744	-0.170389	-0.403047	-0.204346	-0.320463	0.599098	0.213793	-0.238230	0.691085	-0.179735	0.206459	-0.061549	-0.255249	-0.207753	-0.313950	-0.246551	-0.305284	-0.324016	-0.382490	-0.334105	-0.171742	0.210615	-0.000855	-0.080624	-0.266838	0.186620	-0.053845	0.195509	-0.331293	0.044201	0.430038	0.260243
BIO03_Mean	0.426617	-0.047358	1.000000	-0.944247	-0.319929	0.808779	-0.851151	0.415162	-0.107410	-0.299341	0.799444	0.605184	0.693598	0.303291	0.363363	0.631340	0.284629	0.760569	0.316853	-0.506007	0.301600	0.728380	-0.508153	-0.360109	0.300530	-0.119068	0.694584	0.622623	0.756987	0.629691	0.761296	0.788384	0.787681	0.815819	0.644604	0.574677	0.289502	-0.147934	0.823445	-0.573240	0.511127	0.482017	-0.272145	0.784297	-0.706527	-0.476801
BIO04_Mean	-0.384690	0.237550	-0.944247	1.000000	0.423331	-0.842292	0.941347	-0.385821	0.098951	0.376759	-0.808716	-0.678988	-0.765606	-0.287345	-0.408209	-0.714577	-0.293033	-0.750251	-0.371077	0.601514	-0.295285	-0.773907	0.632602	0.341905	-0.261815	0.125121	-0.755437	-0.669061	-0.829478	-0.642465	-0.814120	-0.838265	-0.845940	-0.864559	-0.706283	-0.561930	-0.392310	0.207331	-0.854173	0.582918	-0.530790	-0.515781	0.299913	-0.803227	0.759436	0.550629
BIO05_Mean	0.622125	0.601919	-0.319929	0.423331	1.000000	0.029911	0.585046	0.454476	0.252378	0.965933	0.166501	-0.486400	-0.373185	-0.528140	0.198617	-0.383760	-0.571822	-0.463206	-0.381104	0.553390	0.146856	-0.285420	0.631380	-0.166034	0.191768	-0.060292	-0.310915	-0.279933	-0.355425	-0.342757	-0.360352	-0.364364	-0.409428	-0.398251	-0.254244	0.408405	-0.063143	-0.097708	-0.142210	0.639675	0.286953	0.092222	-0.253716	0.125788	0.711762	0.381856
BIO06_Mean	0.758909	-0.194214	0.808779	-0.842292	0.029911	1.000000	-0.793138	0.665924	0.090538	0.127077	0.964180	0.417641	0.536236	0.028933	0.506678	0.477878	0.038525	0.510883	0.212082	-0.420748	0.359376	0.660328	-0.463676	-0.431372	0.363257	-0.147613	0.621825	0.539043	0.689107	0.501881	0.676234	0.711447	0.718029	0.723483	0.584248	0.812272	0.298121	-0.186128	0.916965	-0.201512	0.800411	0.541506	-0.378759	0.923030	-0.441639	-0.396224
BIO07_Mean	-0.236681	0.524336	-0.851151	0.941347	0.585046	-0.793138	1.000000	-0.263388	0.080318	0.485452	-0.680849	-0.635230	-0.662469	-0.345279	-0.290080	-0.621563	-0.379677	-0.696750	-0.404288	0.678568	-0.202103	-0.709677	0.760918	0.248832	-0.177886	0.083031	-0.693971	-0.607928	-0.775682	-0.616055	-0.768240	-0.799255	-0.832053	-0.829668	-0.628952	-0.410201	-0.280358	0.091482	-0.830642	0.553263	-0.474580	-0.383166	0.152718	-0.672268	0.792017	0.554152
BIO08_Mean	0.842852	0.259828	0.415162	-0.385821	0.454476	0.665924	-0.263388	1.000000	-0.208036	0.522213	0.742131	-0.046507	0.100084	-0.190030	0.609585	0.045266	-0.225783	0.131414	-0.157210	0.144411	0.588573	0.189276	0.131077	-0.449009	0.384101	-0.190842	0.144509	0.113836	0.166302	0.080663	0.165996	0.194620	0.210367	0.218196	0.226536	0.746444	0.186546	-0.170009	0.504612	0.122249	0.618285	0.600446	-0.526649	0.706637	-0.006293	0.110026
BIO09_Mean	0.107352	-0.173750	-0.107410	0.098951	0.252378	0.090538	0.080318	-0.208036	1.000000	0.255099	0.044445	0.018632	0.024638	-0.142692	0.033363	0.026502	-0.104271	-0.060523	0.047158	-0.316247	-0.265082	0.111177	-0.153846	0.154738	-0.079857	0.062440	0.107911	0.084979	0.127174	0.043777	0.099380	0.101669	0.087590	0.078280	-0.006596	0.099590	0.025365	-0.105308	0.074405	0.187410	0.198801	-0.203486	0.131596	-0.004748	0.141133	-0.228468
BIO10_Mean	0.701613	0.459418	-0.299341	0.376759	0.965933	0.127077	0.485452	0.522213	0.255099	1.000000	0.239216	-0.524837	-0.408647	-0.566209	0.229146	-0.422623	-0.600711	-0.478874	-0.403319	0.553734	0.196538	-0.287816	0.571759	-0.212713	0.251362	-0.075497	-0.319477	-0.293851	-0.357527	-0.352796	-0.359301	-0.354528	-0.386148	-0.385976	-0.260497	0.468501	-0.110556	-0.024919	-0.055792	0.695535	0.380433	0.099141	-0.277006	0.193526	0.700546	0.374615
