HID	I001	I002	I003	I004	I005	I006	I007	I008	I009	I010	I991	I992	I993	I994	I995	I996	I997	I998	I999	I1000
75	4	1	8	7	9	6	6	2	3	1	8	9	10	5	4	5	7	2	3	8
76	5	9	5	5	3	8	1	4	4	1	2	3	7	3	3	7	8	3	1	4
77	10	1	1	4	6	10	10	9	6	2	5	3	3	3	10	5	5	7	7	3
78	1	7	10	7	6	8	4	3	2	5	9	6	4	7	5	7	4	1	1	4
79	7	9	7	7	5	6	1	7	7	1	9	9	7	9	8	10	5	10	5	9
80	1	2	5	6	5	4	9	3	2	8	3	4	7	7	9	8	10	5	6	6
81	7	8	2	6	4	1	3	10	7	2	9	3	1	6	8	5	5	1	4	6
82	10	3	1	1	6	7	7	7	5	4	4	3	6	4	3	10	7	6	6	4
156	3	1	8	5	3	5	3	1	6	10	1	2	7	5	9	1	3	10	8	8
157	10	10	1	4	8	6	9	7	8	1	6	8	1	7	8	5	10	10	6	10
158	8	3	3	8	4	4	7	2	4	5	3	3	7	4	4	2	6	2	6	6
159	1	4	2	2	2	10	1	10	7	2	8	3	7	1	2	10	9	5	2	7
160	6	6	9	10	2	7	2	3	10	1	2	9	1	9	10	3	6	7	1	9
161	6	3	10	9	2	7	10	6	9	10	6	10	9	5	2	7	1	4	8	9
162	6	1	3	6	1	2	5	2	2	5	4	8	4	7	9	1	7	8	10	4
238	5	2	6	1	10	2	9	5	3	5	7	3	5	10	8	8	6	8	7	3
239	5	1	5	2	1	2	2	4	4	9	8	10	6	9	5	2	3	2	3	4
240	4	2	5	10	5	2	7	10	8	6	5	5	6	4	5	10	1	7	10	6
241	2	10	9	9	1	6	8	3	7	6	8	5	10	5	10	4	3	6	5	10
242	8	10	4	4	1	7	10	5	3	8	5	3	10	10	1	9	5	8	1	8
243	7	1	9	5	10	7	5	8	9	6	6	2	9	8	7	4	3	6	5	6
255	9	6	8	5	7	7	8	7	10	9	8	1	5	5	6	3	7	9	6	4
320	3	5	4	10	6	9	5	3	6	10	8	3	6	4	4	2	6	7	6	2
321	10	5	7	3	10	7	6	8	3	5	10	4	6	10	5	5	1	10	3	1
322	1	2	7	8	3	10	2	2	2	6	4	2	3	4	1	5	3	3	9	9
323	5	1	9	1	9	2	1	10	9	7	4	3	4	8	4	9	10	3	1	7
324	10	8	10	6	5	5	10	10	7	6	2	7	10	2	4	3	6	8	10	5
325	7	7	1	9	5	6	4	9	8	1	7	1	7	5	2	7	1	3	2	9
335	3	7	5	7	4	5	8	5	5	3	7	8	7	4	8	3	4	4	2	1
336	6	5	6	5	4	2	2	5	3	1	2	8	10	3	5	3	7	3	1	2
401	3	9	8	2	3	10	5	7	4	8	6	7	5	8	6	9	8	4	3	2
402	2	7	5	1	8	7	7	8	4	1	5	2	2	6	4	6	10	3	2	4
403	4	10	8	1	6	6	1	4	1	2	9	8	4	7	3	7	10	2	3	7
404	3	4	1	4	5	1	5	10	4	8	6	6	1	8	10	6	5	2	3	9
405	9	6	9	2	1	4	1	2	10	2	8	3	7	10	6	2	10	4	4	2
406	7	3	1	3	1	7	10	8	10	1	2	5	7	8	5	4	7	8	2	3
410	7	1	5	7	4	4	4	2	6	1	9	5	10	3	3	10	2	3	2	10
412	8	3	5	10	7	2	7	2	5	10	5	6	3	1	8	3	4	3	5	3
416	8	10	3	9	7	10	3	1	8	7	9	4	5	3	1	10	7	1	6	1
417	3	4	9	3	4	7	5	6	7	7	8	3	1	3	5	9	4	7	2	8
418	7	6	7	5	10	6	3	1	3	3	1	5	1	7	6	2	8	7	4	10
421	10	2	9	1	9	10	10	9	4	10	6	1	7	2	3	7	9	3	10	8
483	4	10	7	1	7	3	7	9	8	2	2	2	1	2	6	4	4	5	10	8
