ID	I0001	I0002	I0003	I0004	I0005	I0006	I0007	I0008	I0009	I0010	I0991	I0992	I0993	I0994	I0995	I0996	I0997	I0998	I0999	I1000
75	9	7	4	8	4	3	2	3	2	9	10	9	5	10	3	4	5	3	2	9
76	9	10	4	8	4	3	2	3	2	9	10	9	5	10	3	4	5	3	2	9
77	8	10	4	8	3	3	2	3	2	9	9	9	5	10	3	4	3	3	10	9
78	8	10	4	8	3	3	2	3	2	9	9	9	5	10	3	4	3	3	10	9
79	8	10	4	8	3	3	5	3	2	9	9	9	6	10	3	4	3	3	10	9
80	8	10	4	8	3	3	5	3	2	9	9	9	6	10	3	4	3	3	10	9
81	8	10	4	7	3	3	5	3	2	9	9	9	6	10	3	4	3	9	10	9
82	8	10	4	7	3	3	5	3	2	9	9	9	7	10	3	4	3	9	10	9
156	9	10	4	8	4	3	2	3	2	9	10	9	5	10	3	4	5	3	2	9
157	8	10	4	8	3	3	2	3	2	9	10	9	5	10	3	4	5	3	10	9
158	8	10	4	8	3	3	2	3	2	9	9	9	5	10	3	4	3	3	10	9
159	8	10	4	8	3	3	2	3	2	9	9	9	5	10	3	4	3	3	10	9
160	8	10	4	8	3	3	5	3	2	9	9	9	6	10	3	4	3	3	10	9
161	8	10	4	7	3	3	5	3	2	9	9	9	6	10	3	4	3	3	10	9
162	8	10	4	7	3	3	5	3	2	9	9	9	6	10	3	4	3	3	10	9
238	8	10	4	8	3	3	2	3	2	9	10	9	5	10	3	4	5	3	2	9
239	8	10	4	8	3	3	2	3	2	9	10	9	5	10	3	4	3	3	10	9
240	8	10	4	8	3	3	2	3	2	9	9	9	5	10	3	4	3	3	10	9
241	8	10	4	8	3	3	2	3	2	9	9	9	6	10	3	4	3	3	10	9
242	8	10	4	8	3	3	2	3	2	9	9	9	6	10	3	4	3	3	10	9
243	8	10	4	7	3	3	5	3	2	9	9	9	6	10	3	4	3	3	10	9
255	10	9	1	5	1	1	4	5	4	6	8	10	3	4	1	7	1	6	6	7
320	8	10	4	8	3	3	2	3	2	9	10	9	5	10	3	4	3	3	2	9
321	8	10	4	8	3	3	2	3	2	9	10	9	5	10	3	4	3	3	10	9
322	8	10	4	8	3	3	2	3	2	9	9	9	5	10	3	4	3	3	10	9
323	8	10	4	8	3	3	2	3	2	9	9	9	6	10	3	4	3	3	10	9
324	8	10	4	8	3	3	2	3	2	9	9	9	6	10	3	4	3	3	10	9
325	8	10	4	7	3	3	5	3	2	9	9	9	6	10	3	4	3	3	10	9
335	10	9	1	5	1	1	4	5	4	6	8	10	3	4	1	7	1	6	6	7
336	10	9	1	5	1	1	4	5	4	6	8	10	3	4	1	7	1	6	6	7
401	8	10	4	8	3	3	2	3	2	9	10	9	5	10	3	4	3	3	10	9
402	8	10	4	8	3	3	2	3	2	9	10	9	5	10	3	4	3	3	10	9
403	8	10	4	8	3	3	2	3	2	9	9	9	6	10	3	4	3	3	10	9
404	8	10	4	8	3	3	2	3	2	9	9	9	6	10	3	4	3	3	10	9
405	8	10	4	7	3	3	2	3	2	9	9	9	6	10	3	4	3	3	10	9
406	8	10	4	7	3	3	5	3	2	9	9	1	7	10	3	4	3	3	10	9
410	10	9	1	5	1	1	4	5	4	6	1	8	6	4	1	7	1	6	6	7
412	10	9	1	5	1	1	4	5	4	6	1	9	5	4	1	7	1	6	6	7
416	10	9	1	5	1	1	4	5	4	6	8	10	4	4	1	7	1	6	6	7
417	10	9	1	5	1	1	4	5	4	6	8	10	3	4	1	7	1	6	6	7
418	10	9	1	5	1	1	4	5	4	6	8	10	2	4	1	7	1	6	6	7
421	10	9	1	5	1	1	4	5	4	6	8	10	2	4	1	7	1	6	6	7
483	8	10	4	8	3	3	2	3	2	9	10	9	5	10	3	4	3	3	10	9
484	8	10	4	8	3	3	2	3	2	9	10	9	5	10	3	4	3	3	10	9
485	8	10	4	8	3	3	2	3	2	9	9	9	6	10	3	4	3	3	10	9
486	8	10	4	8	3	3	2	3	2	9	9	9	6	10	3	4	3	3	10	9
487	8	10	4	7	3	3	2	3	2	9	9	9	6	10	3	4	3	3	10	9
493	10	9	1	5	1	1	4	5	4	6	1	9	6	4	1	7	1	6	6	7
494	10	9	1	5	1	1	4	5	4	6	1	9	5	4	1	7	1	6	6	7
498	10	9	1	5	1	1	4	5	4	6	8	10	3	4	1	7	1	6	6	7
499	10	9	1	5	1	1	4	5	4	6	8	10	3	4	1	7	1	6	6	7
502	10	9	1	5	1	1	4	5	4	6	8	10	2	4	1	7	1	6	6	7
503	6	9	1	5	1	1	4	5	4	6	8	10	2	4	1	7	1	6	6	7
564	8	10	4	8	3	3	2	3	2	9	10	9	5	10	3	4	3	3	10	9
565	8	10	4	8	3	3	2	3	2	9	10	9	5	10	3	4	3	3	10	9
566	8	10	4	8	3	3	2	3	2	9	10	9	6	10	3	4	3	3	10	9
567	8	10	4	8	3	3	2	3	2	9	9	9	6	10	3	4	3	3	10	9
568	8	10	4	7	3	3	2	3	2	9	9	9	6	10	3	4	3	3	10	9
573	10	9	1	5	1	1	4	5	4	6	1	9	6	4	1	7	1	6	6	7
574	10	9	1	5	1	1	4	5	4	6	1	9	5	4	1	7	1	6	6	7
575	10	9	1	5	1	1	4	5	4	6	1	9	5	4	1	7	1	6	6	7
578	10	9	1	5	1	1	4	5	4	6	8	10	4	4	1	7	1	6	6	7
579	10	9	1	5	1	1	4	5	4	6	8	10	3	4	1	7	1	6	6	7
580	10	9	1	5	1	1	4	5	4	6	8	10	2	4	1	7	1	6	6	7
582	10	9	1	5	1	1	4	5	4	6	8	10	2	4	1	7	1	6	6	7
583	6	9	1	5	1	1	4	5	4	6	8	10	2	4	1	7	1	6	6	7
645	8	10	4	8	3	3	2	3	2	9	10	9	5	10	3	4	3	3	10	9
646	8	10	4	8	3	3	2	3	2	9	10	9	5	10	3	4	3	3	10	9
647	8	10	4	8	3	3	2	3	2	9	10	9	6	10	3	4	3	3	10	9
648	8	10	4	8	3	3	2	3	2	9	9	9	6	10	3	4	3	3	10	9
649	8	10	4	7	3	3	2	3	2	9	9	9	6	10	3	4	3	3	10	9
654	10	9	1	5	1	1	4	5	4	6	1	8	6	4	1	7	1	6	6	7
655	10	9	1	5	1	1	4	5	4	6	1	9	6	4	1	7	1	6	6	7
656	10	9	1	5	1	1	4	5	4	6	1	9	5	4	1	7	1	6	6	7
657	10	9	1	5	1	1	4	5	4	6	1	10	5	4	1	7	1	6	6	7
660	10	9	1	5	1	1	4	5	4	6	8	10	3	4	1	7	1	6	6	7
661	10	9	1	5	1	1	4	5	4	6	8	10	3	4	1	7	1	6	6	7
663	10	9	1	5	1	1	4	5	4	6	8	10	2	4	1	7	1	6	6	7
664	6	9	1	5	1	1	4	5	4	6	8	10	2	4	1	7	1	6	6	7
665	6	9	1	5	7	1	4	5	4	6	8	10	2	4	1	7	1	6	6	7
666	6	5	7	5	7	1	4	5	4	6	8	7	2	4	1	7	1	6	6	7
727	8	10	4	8	3	3	2	3	2	9	10	9	5	10	3	4	3	3	10	9
728	8	10	4	8	3	3	2	3	2	9	10	9	6	10	3	4	3	3	10	9
729	8	10	4	8	3	3	2	3	2	9	9	9	6	10	3	4	3	3	10	9
730	8	10	4	7	3	3	2	3	2	9	9	9	6	10	3	4	3	3	10	9
736	10	9	1	5	1	1	4	5	4	6	1	8	6	4	1	7	1	6	6	7
737	10	9	1	5	1	1	4	5	4	6	1	9	6	4	1	7	1	6	6	7
738	10	9	1	5	1	1	4	5	4	6	1	9	5	4	1	7	1	6	6	7
741	10	9	1	5	1	1	4	5	4	6	8	10	4	4	1	7	1	6	6	7
742	10	9	1	5	1	1	4	5	4	6	8	10	3	4	1	7	1	6	6	7
745	6	9	1	5	7	1	4	5	4	6	8	10	2	4	1	7	1	6	6	7
746	6	5	7	5	7	1	4	5	4	6	8	10	2	4	1	7	1	6	6	7
747	6	5	7	5	7	1	4	5	4	6	8	7	2	4	1	7	1	6	6	7
748	6	5	7	5	7	8	4	5	4	6	8	7	2	4	1	7	1	6	6	7
809	8	10	4	8	3	3	2	3	2	9	10	9	5	10	3	4	3	3	10	9
810	8	10	4	8	3	3	2	3	2	9	10	9	6	10	3	4	3	3	10	9
811	8	10	4	8	3	3	2	3	2	9	9	9	6	10	3	4	3	3	10	9
816	10	9	1	5	1	1	4	5	4	6	1	8	6	4	1	7	1	6	6	7
817	10	9	1	5	1	1	4	5	4	6	1	9	6	4	1	7	1	6	6	7
818	10	9	1	5	1	1	4	5	4	6	1	9	5	4	1	7	1	6	6	7
819	10	9	1	5	1	1	4	5	4	6	1	9	5	4	1	7	1	6	6	7
822	10	9	1	5	1	1	4	5	4	6	8	10	3	4	1	7	1	6	6	7
823	10	9	1	5	1	1	4	5	4	6	8	10	3	4	1	7	1	6	6	7
825	6	5	1	5	7	1	4	5	4	6	8	10	2	4	1	7	1	6	6	7
826	6	5	7	5	7	1	4	5	4	6	8	10	2	4	1	7	1	6	6	7
827	6	5	7	5	7	1	4	5	4	6	8	10	2	4	1	7	1	6	6	7
828	6	5	7	5	7	8	4	5	4	6	8	7	2	4	1	7	1	6	6	7
829	6	5	7	5	7	8	4	5	4	6	8	7	2	4	1	7	1	6	6	7
889	8	10	4	8	3	3	2	3	2	9	10	9	5	10	3	4	3	3	10	9
