Feature	R	S	R.Frequency	S.Frequency	SI.Mean	SI.P.Mean	SI.Min	SI.P.Min
BIO04	TRUE	TRUE	1	0.94	47.9204296944413	0.995183942344795	19.7186500299681	0.958531734494303
BIO13	TRUE	FALSE	1	0	47.9506125673492	0.995270217688715	22.1362657576949	0.966707308447387
BIO15	TRUE	FALSE	1	0	47.7849390776131	0.996305240951425	18.8896162115157	0.968191869621843
CSDI	TRUE	FALSE	1	0	48.384772598202	0.989796833956331	20.1776302316928	0.901593789315947
TN10P	TRUE	TRUE	1	0.98	48.2382443275583	0.983144392896857	21.842558315147	0.866208084865278
WSDI	TRUE	TRUE	1	1	48.9077611565713	0.982600390463065	19.4043132538464	0.869344620194251
TR	FALSE	TRUE	0	0.94	63.8696428695183	0.999365799721192	33.0198957994824	0.993657997211925
TX10P	FALSE	TRUE	0	0.91	48.1333277834245	0.985166585234702	21.8196977784048	0.853507685387224
TNX	FALSE	TRUE	0	0.76	48.2568419464033	0.990019451231223	20.8910242323883	0.910809986661863
R.Mean	FALSE	FALSE	0	0	48.1977932369559	0.990383503050198	20.3615056333108	0.921762901156502
S.Mean	FALSE	FALSE	0	0	50.8877079629862	0.989246760315306	22.7826899015395	0.908676684802474
