HID	PA
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
156	0
157	1
158	1
159	1
160	1
161	0
162	0
238	1
239	1
240	1
241	1
242	1
243	0
255	1
320	1
321	1
322	1
323	1
324	0
325	0
335	1
336	1
401	1
402	1
403	1
404	1
405	0
406	0
410	1
412	1
416	1
417	1
418	1
421	1
483	1
484	1
485	1
486	1
487	1
493	1
494	1
498	1
499	1
502	1
503	1
564	1
565	1
566	1
567	1
568	1
573	1
574	1
575	0
578	1
579	1
580	1
582	1
583	1
645	1
646	1
647	1
648	0
649	0
654	1
655	1
656	0
657	0
660	1
661	1
663	1
664	1
665	1
666	1
727	0
728	0
729	0
730	0
736	0
737	0
738	0
741	0
742	0
745	1
746	1
747	1
748	1
809	0
810	0
811	0
816	0
817	0
818	0
819	0
822	0
823	1
825	0
826	1
827	1
828	1
829	1
889	0
890	0
891	0
892	0
898	0
899	0
900	0
901	0
904	0
905	0
906	0
907	1
908	1
909	1
910	1
911	1
972	0
973	0
979	0
980	0
981	0
982	0
983	0
985	0
986	0
987	0
988	0
989	1
990	1
991	1
992	1
1060	0
1061	0
1062	0
1063	0
1064	0
1065	0
1066	0
1067	0
1068	0
1069	1
1070	1
1071	1
1072	1
1073	1
1141	0
1142	0
1143	0
1144	0
1145	0
1146	0
1147	0
1148	0
1149	0
1150	0
1151	1
1152	1
1153	1
1154	1
1155	1
1188	1
1222	0
1223	0
1224	0
1225	0
1226	0
1227	0
1228	0
1229	0
1230	0
1231	0
1232	1
1233	1
1234	1
1235	1
1236	1
1237	1
1270	1
1303	0
1304	0
1305	0
1306	0
1307	0
1308	0
1309	0
1310	0
1311	0
1312	0
1313	1
1314	1
1315	1
1316	1
1317	1
1348	1
1350	1
1384	0
1385	0
1386	0
1387	0
1389	0
1390	0
1391	0
1392	0
1393	0
1394	1
1395	1
1396	1
1397	1
1398	1
1428	1
1429	1
1432	1
1466	0
1467	0
1468	0
1471	0
1472	0
1473	0
1474	0
1475	0
1476	1
1477	1
1478	1
1479	1
1480	1
1509	1
1510	1
1511	1
1512	1
1513	1
1514	1
1547	0
1548	0
1552	0
1553	0
1554	0
1555	0
1556	0
1557	1
1558	1
1559	1
1560	1
1590	1
1591	1
1592	1
1593	1
1594	1
1628	0
1629	0
1634	0
1635	0
1636	0
1637	0
1638	1
1639	1
1640	1
1641	1
1642	1
1671	1
1672	1
1673	1
1674	1
1675	1
1676	1
1716	0
1717	0
1718	0
1719	0
1720	1
1721	1
1722	1
1723	1
1753	1
1754	1
1755	1
1756	1
1757	1
1758	1
1797	0
1798	0
1799	0
1800	1
1801	1
1802	1
1803	1
1804	1
1833	1
1834	1
1835	1
1836	1
1837	1
1838	1
1839	1
1878	0
1879	0
1880	0
1881	0
1882	1
1883	1
1884	1
1885	1
1914	1
1915	1
1916	1
1917	1
1918	1
1919	1
1920	1
1960	0
1961	0
1962	0
1963	0
1964	1
1965	1
1966	1
1967	1
1996	1
1997	1
1998	1
1999	0
2000	1
2001	1
2002	1
2041	0
2042	0
2043	0
2044	1
2045	1
2046	1
2047	1
2076	1
2077	1
2078	1
2079	0
2080	0
2081	1
2082	1
2083	1
2084	1
2085	1
2122	0
2123	0
2124	0
2125	0
2126	1
2127	1
2128	1
2129	1
2158	1
2159	1
2160	0
2161	0
2162	0
2163	1
2164	1
2165	1
2166	1
2204	0
2205	0
2206	0
2207	1
2208	1
2209	1
2210	1
2235	1
2236	1
2239	1
2240	1
2241	0
2242	0
2243	0
2244	1
2245	1
2246	1
2247	1
2284	0
2285	0
2286	0
2287	0
2288	1
2289	1
2290	1
2291	1
2315	1
2316	1
2317	1
2319	1
2320	1
2321	0
2322	0
2323	0
2324	0
2325	1
2326	1
2327	1
2328	1
2329	1
2330	1
2366	0
2367	0
2368	0
2369	0
2370	1
2371	1
2372	1
2396	1
2397	1
2398	1
2400	1
2401	1
2402	0
2403	0
2404	0
2405	0
2406	0
2407	1
2408	1
2409	1
2410	1
2411	1
2448	0
2449	0
2450	0
2451	1
2452	1
2453	1
2454	1
2477	1
2478	1
2479	1
2480	1
2481	0
2482	1
2483	0
2484	0
2485	0
2486	0
2487	0
2488	0
2489	1
2490	1
2491	1
2492	1
2493	1
2494	1
2528	0
2529	0
2530	0
2531	0
2532	1
2533	1
2534	1
2535	1
2556	1
2557	1
2558	1
2559	1
2560	1
2562	1
2563	0
2564	0
2565	0
2566	0
2567	0
2568	0
2569	0
2570	1
2571	1
2572	1
2573	1
2574	1
2610	0
2611	0
2612	0
2613	0
2614	1
2615	1
2616	1
2638	1
2639	1
2640	1
2641	1
2643	0
2644	0
2645	0
2646	0
2647	0
2648	0
2649	0
2650	0
2651	0
2652	1
2653	1
2654	1
2655	1
2656	1
2691	0
2692	0
2693	0
2694	0
2695	1
2696	1
2697	1
2698	1
2719	1
2720	1
2721	1
2722	1
2723	1
2724	1
2725	0
2726	0
2727	0
2728	0
2729	0
2730	0
2731	0
2732	0
2733	0
2734	1
2735	1
2736	1
2737	1
2738	1
2772	0
2773	0
2774	0
2775	0
2776	1
2777	1
2778	1
2799	1
2800	1
2801	1
2802	1
2803	1
2805	0
2806	0
2807	0
2808	0
2809	0
2810	0
2811	0
2812	0
2813	0
2814	0
2815	1
2816	1
2817	1
2818	1
