BIO01_Mean	BIO02_Mean	BIO03_Mean	BIO04_Mean	BIO05_Mean	BIO06_Mean	BIO07_Mean	BIO08_Mean	BIO09_Mean	BIO10_Mean	BIO11_Mean	BIO12_Mean	BIO13_Mean	BIO14_Mean	BIO15_Mean	BIO16_Mean	BIO17_Mean	BIO18_Mean	BIO19_Mean	CDD_IDW1N10	CSDI_IDW1N10	CWD_IDW1N10	DTR_IDW1N10	FD_IDW1N10	GSL_IDW1N10	ID_IDW1N10	PRCPTOT_IDW1N10	R10MM_IDW1N10	R1MM_IDW1N10	R20MM_IDW1N10	R95P_IDW1N10	R99P_IDW1N10	RX1DAY_IDW1N10	RX5DAY_IDW1N10	SDII_IDW1N10	SU_IDW1N10	TN10P_IDW1N10	TN90P_IDW1N10	TNN_IDW1N10	TNX_IDW1N10	TR_IDW1N10	TX10P_IDW1N10	TX90P_IDW1N10	TXN_IDW1N10	TXX_IDW1N10	WSDI_IDW1N10
BIO01_Mean	1.000000	0.305560	0.770052	-0.370228	0.690437	0.814221	-0.208510	0.648698	0.665934	0.778873	0.869149	0.325244	0.410176	0.189232	-0.218642	0.390609	0.192295	0.509571	0.232184	-0.844236	-0.024640	0.391201	0.521742	-0.907692	0.822183	-0.926226	0.660505	0.482933	0.766177	0.295391	0.619145	0.620173	0.451619	0.343988	0.450685	0.495590	0.086179	-0.122410	0.596699	0.591554	0.102865	0.031329	0.020900	0.706156	0.573988	-0.095902
BIO02_Mean	0.305560	1.000000	0.381086	0.645388	0.821976	-0.232003	0.766246	0.778551	-0.080979	0.741859	-0.135676	-0.344131	-0.193838	-0.452436	0.411150	-0.228198	-0.444573	-0.042449	-0.416880	-0.428577	-0.291123	-0.162440	0.679592	-0.457425	0.478528	-0.489297	-0.033022	-0.166150	0.174888	-0.208344	-0.043941	-0.026274	-0.016979	-0.158009	-0.136357	0.493041	-0.093894	-0.028817	-0.230487	0.724172	0.245658	-0.058984	0.117049	-0.106115	0.765875	-0.022154
BIO03_Mean	0.770052	0.381086	1.000000	-0.412748	0.459727	0.708685	-0.279468	0.442952	0.721367	0.511219	0.742100	0.376554	0.447963	0.291831	-0.255372	0.411665	0.295586	0.507092	0.351006	-0.672658	-0.089183	0.533940	0.233620	-0.683141	0.556750	-0.707082	0.717221	0.586609	0.746250	0.406729	0.658592	0.638316	0.483371	0.468316	0.557013	0.181474	0.212914	-0.234041	0.691481	0.347139	-0.082529	0.195541	-0.131402	0.753498	0.351307	0.023151
BIO04_Mean	-0.370228	0.645388	-0.412748	1.000000	0.400991	-0.824558	0.974529	0.402178	-0.693706	0.288277	-0.776000	-0.672455	-0.572874	-0.713811	0.691380	-0.583852	-0.708427	-0.500904	-0.699489	0.165690	-0.184883	-0.530808	0.365850	0.115003	-0.039834	0.120804	-0.570449	-0.564264	-0.438496	-0.461394	-0.535420	-0.507182	-0.371755	-0.486946	-0.537876	0.228495	-0.196482	0.145850	-0.732592	0.417829	0.284474	-0.140916	0.195439	-0.689379	0.446094	0.018467
BIO05_Mean	0.690437	0.821976	0.459727	0.400991	1.000000	0.166003	0.553670	0.942544	0.131764	0.985674	0.259363	-0.187617	-0.041089	-0.342814	0.275474	-0.066103	-0.337370	0.116804	-0.293075	-0.711700	-0.116631	-0.013649	0.790313	-0.786073	0.760718	-0.800577	0.202585	0.015073	0.433796	-0.094160	0.172962	0.191891	0.111406	-0.068257	-0.000833	0.661790	-0.097010	0.045296	0.004802	0.908999	0.339220	-0.110157	0.231690	0.139617	0.915765	-0.056862
BIO06_Mean	0.814221	-0.232003	0.708685	-0.824558	0.166003	1.000000	-0.729271	0.145600	0.828110	0.291341	0.990925	0.586238	0.578541	0.531345	-0.525484	0.570898	0.529144	0.579750	0.559839	-0.596384	0.162519	0.589909	0.034952	-0.608604	0.486989	-0.611988	0.753530	0.642868	0.736950	0.461051	0.698531	0.677802	0.481050	0.498455	0.592873	0.107255	0.210226	-0.159110	0.815017	0.096265	-0.119207	0.144359	-0.100491	0.837981	0.066455	-0.011381
BIO07_Mean	-0.208510	0.766246	-0.279468	0.974529	0.553670	-0.729271	1.000000	0.531034	-0.607875	0.437888	-0.656830	-0.625228	-0.517060	-0.686558	0.634885	-0.527963	-0.680922	-0.408527	-0.676108	0.009804	-0.218164	-0.507621	0.518845	-0.031481	0.116587	-0.038687	-0.495756	-0.532413	-0.321329	-0.454669	-0.469866	-0.439228	-0.328925	-0.468282	-0.501231	0.368613	-0.244837	0.165790	-0.684912	0.549419	0.336033	-0.198337	0.245619	-0.610762	0.579287	-0.029843
BIO08_Mean	0.648698	0.778551	0.442952	0.402178	0.942544	0.145600	0.531034	1.000000	0.067816	0.939596	0.234049	-0.320240	-0.158812	-0.472152	0.394730	-0.192516	-0.466087	-0.001501	-0.416004	-0.692869	-0.113170	-0.060650	0.718205	-0.747502	0.677993	-0.773499	0.157310	-0.016232	0.385048	-0.121499	0.137852	0.160259	0.093930	-0.103084	-0.023675	0.576926	-0.136824	0.107313	0.001499	0.894075	0.289135	-0.131238	0.267571	0.128304	0.891606	-0.017349
BIO09_Mean	0.665934	-0.080979	0.721367	-0.693706	0.131764	0.828110	-0.607875	0.067816	1.000000	0.224254	0.821783	0.637079	0.610866	0.610616	-0.610574	0.596083	0.618680	0.601317	0.660556	-0.474991	0.061980	0.528947	0.029542	-0.476329	0.389440	-0.473939	0.668936	0.578916	0.638699	0.424941	0.609859	0.578385	0.414040	0.470559	0.557571	0.051705	0.337151	-0.336252	0.698116	0.028443	-0.153891	0.277492	-0.286686	0.715560	0.036836	-0.015194
BIO10_Mean	0.778873	0.741859	0.511219	0.288277	0.985674	0.291341	0.437888	0.939596	0.224254	1.000000	0.378518	-0.129255	0.019097	-0.291856	0.227263	-0.008203	-0.285889	0.167724	-0.236253	-0.754509	-0.096848	0.055678	0.766042	-0.850466	0.811340	-0.863253	0.289225	0.101354	0.500479	-0.027549	0.259650	0.276646	0.180035	0.001394	0.080010	0.658847	-0.052263	0.013588	0.119208	0.888711	0.310244	-0.076417	0.193510	0.254228	0.887425	-0.054830
