HID	I001	I002	I003	I004	I005	I006	I007	I008	I009	I010	I991	I992	I993	I994	I995	I996	I997	I998	I999	I1000
69069	2	3	8	6	3	2	9	3	6	10	8	8	4	4	1	2	7	6	3	3
69149	2	6	2	9	7	4	1	4	4	2	7	5	5	4	4	6	10	4	6	10
69150	7	2	6	5	7	8	6	6	3	2	4	3	1	7	4	2	3	9	2	8
69151	6	9	8	5	1	9	7	7	5	3	9	4	7	6	9	4	10	2	4	1
69152	9	4	6	7	8	1	7	8	6	10	8	6	10	3	5	3	4	7	4	1
69230	1	6	3	8	3	4	5	3	9	9	6	8	9	3	2	6	8	5	5	3
69231	4	5	2	10	9	6	10	1	3	7	10	5	5	10	9	8	6	10	8	4
69232	1	6	1	3	7	6	10	8	10	8	8	3	10	7	8	2	3	4	10	9
69233	2	6	1	9	9	1	2	7	9	3	2	3	6	5	2	4	9	7	5	1
69234	9	6	8	8	5	4	7	6	2	7	3	6	6	4	10	3	9	9	8	8
69311	4	9	2	1	10	6	6	10	6	10	6	5	9	7	10	5	3	3	7	4
69312	10	2	5	4	5	4	4	6	3	9	7	1	1	5	10	1	8	6	9	6
69313	1	1	4	9	5	8	4	4	8	6	5	9	6	9	5	4	8	4	3	1
69314	2	6	8	7	5	9	1	6	6	1	1	6	3	1	10	6	6	6	9	4
69315	6	3	9	7	10	10	3	9	3	5	4	1	6	2	3	3	10	1	1	3
69316	1	3	1	6	1	9	8	10	2	5	1	10	6	1	2	9	8	1	8	7
69391	5	1	10	4	6	3	1	6	3	4	7	10	3	9	2	6	7	10	1	1
69392	9	9	9	6	2	8	3	1	3	2	1	5	3	1	9	10	8	2	3	1
69393	5	5	2	7	9	10	7	4	4	6	2	5	2	10	9	3	5	1	4	1
69394	3	4	9	1	7	1	2	3	9	1	10	7	8	3	9	2	10	5	9	2
69395	7	2	10	7	1	2	4	10	8	6	4	9	3	5	6	9	3	2	10	10
69396	6	6	7	7	1	9	10	9	4	6	1	6	10	10	1	9	4	1	4	7
69397	5	7	7	2	1	5	10	1	8	4	2	5	1	5	4	9	6	8	2	10
69473	5	9	4	4	1	8	5	5	10	3	1	10	3	3	2	8	8	3	5	5
69474	3	10	5	5	9	5	4	9	7	10	5	8	7	5	5	4	10	9	7	2
69475	7	1	2	1	9	9	1	5	5	2	1	7	6	2	6	1	1	3	4	8
69476	4	9	3	2	4	3	7	9	7	9	9	7	6	2	4	6	2	3	3	3
69477	5	5	6	2	5	6	3	7	7	4	2	1	4	5	10	6	8	5	6	8
69478	9	6	4	3	2	1	7	1	3	4	10	1	10	8	4	4	10	3	5	6
69479	9	2	8	9	9	10	10	5	6	9	9	5	1	7	10	4	5	6	8	7
69554	6	6	6	7	10	9	8	2	7	6	4	2	1	10	9	7	6	6	6	8
69555	6	4	7	5	1	9	8	7	2	1	1	9	8	9	3	9	10	8	5	7
69556	5	7	5	10	3	7	5	2	6	7	6	7	4	4	5	10	5	6	9	3
69557	8	6	4	2	10	7	1	7	4	2	8	1	1	2	3	6	4	9	4	6
69558	9	4	2	3	9	6	7	9	5	8	1	7	4	10	8	7	8	7	1	7
69559	6	4	8	8	9	5	5	1	4	5	1	2	9	3	4	2	3	5	1	8
69560	6	5	3	10	2	8	4	1	10	9	4	1	2	1	10	5	6	3	9	3
69561	1	10	3	3	7	8	3	3	5	3	7	3	5	7	1	10	2	4	4	6
69634	10	8	5	8	7	7	3	9	4	6	9	2	6	8	6	4	6	5	1	2
69635	6	5	8	1	8	2	9	7	3	9	7	10	9	1	1	8	2	10	8	4
69636	5	6	4	3	3	6	8	7	9	8	5	2	4	3	4	4	6	8	1	8
69637	7	8	9	4	3	6	9	6	2	10	9	4	4	3	2	7	9	8	7	3
69638	8	7	9	6	6	5	10	10	8	8	1	6	4	10	5	4	5	2	6	1
69639	1	10	1	3	6	9	7	10	8	4	9	7	9	7	1	1	7	7	7	5
69640	4	4	6	10	6	10	3	3	8	8	1	1	1	10	10	4	2	10	1	9
69641	5	8	4	5	6	6	4	7	1	7	4	2	4	10	8	2	6	1	1	6
69642	1	2	1	6	3	10	10	3	9	10	7	2	2	3	3	6	2	3	8	10
69715	5	3	1	7	10	7	5	1	8	4	3	9	3	5	8	2	8	10	6	10
69716	3	6	10	6	6	7	10	3	10	9	4	9	6	4	7	2	5	5	1	10
69717	5	2	1	10	4	7	9	9	1	7	9	4	4	8	7	6	5	3	5	7
69718	1	3	7	3	7	10	4	1	2	9	1	10	6	9	1	1	1	7	9	1
69719	7	4	6	2	8	8	3	3	10	6	1	3	6	2	2	2	5	6	2	4
69720	1	2	1	6	2	10	9	3	7	2	2	6	7	8	7	6	4	5	10	5
69721	6	5	10	7	3	8	6	9	4	6	1	10	5	5	7	1	2	6	9	6
69722	1	9	7	10	5	2	4	7	3	9	3	8	2	5	6	2	9	5	4	8
69723	10	6	5	3	5	1	5	10	3	6	5	7	3	4	9	7	10	4	3	1
69797	6	9	9	2	7	4	9	5	8	6	7	9	10	8	6	1	1	6	6	5
69798	5	1	2	5	2	8	5	10	2	8	10	1	8	3	3	7	9	6	7	2
69799	6	6	5	10	6	2	10	10	1	9	2	3	10	3	9	4	4	3	3	2
69800	3	3	9	4	10	2	4	9	5	2	7	3	5	10	4	1	5	7	8	9
69801	8	7	3	5	4	1	8	1	2	4	6	2	9	8	8	9	8	2	6	7
69802	4	3	5	3	7	7	7	3	2	7	1	2	4	9	7	3	4	6	4	9
