ID	I0001	I0002	I0003	I0004	I0005	I0006	I0007	I0008	I0009	I0010	I0991	I0992	I0993	I0994	I0995	I0996	I0997	I0998	I0999	I1000
69069	2	7	6	10	4	1	1	1	8	1	10	10	1	5	8	4	9	2	2	1
69149	2	7	6	10	4	1	1	1	8	1	10	10	2	5	8	4	9	2	2	1
69150	2	7	6	10	4	1	1	1	8	7	7	10	1	5	9	4	9	2	1	1
69151	2	7	6	10	4	1	1	1	8	7	7	10	1	5	9	4	9	2	1	1
69152	1	7	6	6	3	1	1	1	8	7	7	10	1	5	10	4	5	1	1	8
69230	2	7	6	10	5	2	2	2	8	1	10	10	2	5	8	4	9	2	2	1
69231	2	7	6	10	4	1	1	1	8	1	10	10	1	5	9	4	9	2	2	1
69232	2	7	6	10	4	1	1	1	8	7	7	10	1	5	9	4	9	2	1	1
69233	2	7	6	10	3	1	1	1	8	7	7	10	1	5	10	4	9	1	1	8
69234	1	7	6	6	3	1	1	1	8	7	7	10	1	5	10	4	5	1	1	8
69311	2	7	6	10	5	2	2	2	8	1	10	10	2	5	8	4	9	2	2	1
69312	2	7	6	10	4	2	2	1	8	1	10	10	2	5	8	4	9	2	2	1
69313	2	7	6	10	4	1	1	1	8	1	10	10	1	5	9	4	9	2	2	1
69314	2	7	6	10	3	1	1	1	8	7	7	10	1	5	9	4	9	2	1	1
69315	1	7	6	6	3	1	1	1	8	7	7	10	1	5	10	4	5	1	1	8
69316	1	7	6	6	3	1	1	1	8	7	7	10	1	5	10	4	5	1	1	8
69391	2	1	6	10	5	2	2	2	8	1	10	10	2	5	8	4	9	2	2	1
69392	2	7	6	10	4	2	2	2	8	1	10	10	2	5	8	4	9	2	2	1
69393	2	7	6	10	4	2	1	1	8	1	10	10	2	5	9	4	9	2	2	1
69394	2	7	6	10	4	1	1	1	8	7	7	10	1	5	9	4	9	2	1	1
69395	2	7	6	10	3	1	1	1	8	7	7	10	1	5	10	4	9	1	1	8
69396	1	7	6	6	3	1	1	1	8	7	7	10	1	5	10	4	5	1	1	8
69397	1	7	6	6	3	1	1	1	8	7	7	10	1	5	6	4	5	1	1	8
69473	2	7	6	10	5	2	2	2	8	1	10	10	2	5	8	4	9	2	2	1
69474	2	7	6	10	4	2	2	2	8	1	10	10	2	5	8	4	9	2	2	1
69475	2	7	6	10	4	1	1	1	8	1	10	10	2	5	9	4	9	2	2	1
69476	2	7	6	10	3	1	1	1	8	7	7	10	1	5	10	4	9	2	1	1
69477	1	7	6	6	3	1	1	1	8	7	7	10	1	5	10	4	5	1	1	8
69478	1	7	6	6	3	1	1	1	8	7	7	10	1	5	10	4	5	1	1	8
69479	1	7	6	6	2	1	1	8	8	7	7	10	1	4	6	4	5	1	1	8
69554	2	1	6	10	5	2	2	2	8	1	10	10	2	5	8	4	9	2	2	1
69555	2	7	6	10	4	2	2	2	8	1	10	10	2	5	8	4	9	2	2	1
69556	2	7	6	10	4	2	1	2	8	1	10	10	2	5	9	4	9	2	2	1
69557	2	7	6	10	3	1	1	1	8	7	10	10	1	5	9	4	9	2	2	1
69558	2	7	6	10	3	1	1	1	8	7	7	10	1	5	10	4	9	1	1	8
69559	1	7	6	6	3	1	1	1	8	7	7	10	1	5	10	4	5	1	1	8
69560	1	7	6	6	2	1	1	1	8	7	7	10	1	4	6	4	5	1	1	8
69561	1	7	6	6	2	1	1	8	4	7	7	10	7	4	6	10	5	1	1	8
69634	3	1	6	10	5	2	2	2	8	1	10	7	2	5	8	4	8	2	2	1
69635	2	1	6	10	4	2	2	2	8	1	10	10	2	5	8	4	9	2	2	1
69636	2	7	6	10	4	2	2	2	8	1	10	10	2	5	9	4	9	2	2	1
69637	2	7	6	10	4	8	1	1	8	1	10	10	1	5	9	4	9	2	2	1
69638	2	7	6	10	3	1	1	1	8	7	7	10	1	5	10	4	9	1	6	8
69639	2	7	6	6	3	1	1	1	8	7	7	10	1	5	10	4	5	1	1	8
69640	1	7	6	6	3	1	1	1	8	7	7	10	1	4	10	4	5	1	1	8
69641	1	7	6	6	2	1	1	8	8	7	7	10	1	4	6	10	5	1	1	8
69642	1	7	6	6	1	1	1	8	4	7	7	2	7	4	7	10	5	1	1	8
69715	3	1	10	10	5	2	2	2	8	1	10	7	2	5	8	4	8	3	2	1
69716	3	1	10	10	5	2	2	2	8	1	10	10	2	5	8	4	9	2	2	1
69717	2	7	6	10	4	2	2	2	8	1	10	10	2	5	8	4	9	2	2	1
69718	2	7	6	10	4	2	7	2	8	1	10	10	1	5	9	4	9	1	6	1
