HID	PA
69069	0
69149	0
69150	0
69151	0
69152	0
69230	0
69231	0
69232	0
69233	0
69234	0
69311	0
69312	0
69313	0
69314	0
69315	0
69316	0
69391	0
69392	0
69393	0
69394	0
69395	0
69396	0
69397	0
69473	0
69474	0
69475	0
69476	0
69477	0
69478	0
69479	0
69554	0
69555	0
69556	0
69557	0
69558	0
69559	0
69560	0
69561	0
69634	0
69635	0
69636	0
69637	0
69638	0
69639	0
69640	0
69641	0
69642	0
69715	0
69716	0
69717	0
69718	1
69719	0
69720	0
69721	0
69722	0
69723	0
69797	0
69798	0
69799	0
69800	1
69801	1
69802	1
69803	0
69804	0
69877	0
69878	0
69879	0
69880	1
69881	1
69882	1
69883	1
69884	0
69885	0
69959	0
69960	0
69961	0
69962	1
69963	1
69964	1
69965	1
69966	0
69967	0
69968	0
70040	0
70041	0
70042	1
70043	1
70044	1
70045	1
70046	1
70047	0
70048	0
70121	0
70122	0
70123	1
70124	1
70125	1
70126	1
70127	1
70128	0
70129	0
70202	0
70203	0
70204	1
70205	1
70206	1
70207	1
70208	1
70209	1
70210	0
70211	0
70284	0
70285	0
70286	1
70287	1
70288	1
70289	1
70290	1
70291	1
70292	0
70293	0
70364	0
70365	0
70366	1
70367	1
70368	1
70369	1
70370	1
70371	1
70372	0
70446	0
70447	0
70448	1
70449	1
70450	1
70451	1
70452	1
70453	1
70454	0
70527	0
70528	0
70529	1
70530	1
70531	1
70532	1
70533	1
70534	1
70535	0
70608	0
70609	0
70610	1
70611	1
70612	1
70613	1
70614	1
70615	1
70616	0
70617	0
70689	0
70690	0
70691	1
70692	1
70693	1
70694	1
70695	1
70696	1
70697	0
70698	0
70770	0
70771	0
70772	0
70773	1
70774	1
70775	1
70776	1
70777	1
70778	1
70779	0
70780	0
70850	0
70851	0
70852	0
70853	1
70854	1
70855	1
70856	1
70857	1
70858	1
70859	0
70860	0
70932	0
70933	0
70934	0
70935	1
70936	1
70937	1
70938	1
70939	1
70940	1
70941	0
71013	0
71014	0
71015	0
71016	1
71017	1
71018	1
71019	1
71020	1
71021	0
71022	0
71023	0
71093	0
71094	0
71095	0
71096	0
71097	1
71098	1
71099	1
71100	1
71101	1
71102	0
71103	0
71174	0
71175	0
71176	0
71177	1
71178	1
71179	1
71180	1
71181	1
71182	1
71255	0
71256	0
71257	0
71258	0
71259	1
71260	1
71261	1
71262	1
71263	1
71264	1
71266	0
71336	0
71337	0
71338	0
71339	1
71340	1
71341	1
71342	1
71343	1
71344	1
71417	0
71418	0
71419	0
71420	0
71421	1
71422	1
71423	1
71424	1
71425	1
71427	0
71498	0
71499	0
71500	0
71501	1
71502	1
71503	1
71504	1
71505	1
71506	1
71578	0
71579	0
71580	0
71581	1
71582	1
71583	1
71584	1
71585	1
71586	1
71660	0
71661	0
71662	0
71663	1
71664	1
71665	1
71666	1
71667	1
71668	0
71741	0
71742	0
71743	0
71744	1
71745	1
71746	1
71747	1
71748	1
71749	1
71821	0
71822	0
71823	0
71824	1
71825	1
71826	1
71827	1
71828	1
71829	0
71902	0
71903	0
71904	0
71905	1
71906	1
71907	1
71908	1
71909	1
71910	1
71984	0
71985	0
71986	0
71987	1
71988	1
71989	1
71990	1
71991	1
72064	0
72065	0
72066	0
72067	1
72068	1
72069	1
72070	1
72071	1
72072	1
72145	0
72146	0
72147	0
72148	1
72149	1
72150	1
72151	1
72152	1
72153	1
72227	0
72228	0
72229	1
72230	1
72231	1
72232	1
72233	1
72234	1
72235	0
72307	0
72308	0
72309	0
72310	1
72311	1
72312	1
72313	1
72314	1
72315	1
72389	0
72390	0
72391	1
72392	1
72393	1
72394	1
72395	1
72396	1
72470	0
72471	0
72472	1
72473	1
72474	1
72475	1
72476	1
72477	1
72478	0
72551	0
72552	0
72553	1
72554	1
72555	1
72556	1
72557	1
72558	0
72632	0
72633	0
72634	1
72635	1
72636	1
72637	1
72638	1
72639	1
72640	0
72714	0
72715	0
72716	1
72717	1
72718	1
72719	1
72720	1
72721	0
72794	0
72795	0
72796	1
72797	1
72798	1
72799	1
72800	1
72801	1
72876	0
72877	0
72878	1
72879	1
72880	1
72881	1
72882	1
72883	0
72957	0
72958	0
72959	1
72960	1
72961	1
72962	1
72963	1
72964	1
72965	0
73038	0
73039	0
73040	1
73041	1
73042	1
73043	1
73044	0
73045	0
73119	0
73120	0
73121	1
73122	1
73123	1
73124	1
73125	1
73126	0
73201	0
73202	0
73203	1
73204	1
73205	1
73206	1
73207	1
73281	0
73282	0
73283	1
73284	1
73285	1
73286	1
73287	1
73288	0
73363	0
73364	0
73365	1
73366	1
73367	1
73368	1
73369	1
73444	0
73445	0
73446	1
73447	1
73448	1
73449	1
73450	1
73525	0
73526	0
73527	1
73528	1
73529	1
73530	1
73531	1
73606	0
73607	0
73608	1
73609	1
73610	1
73611	1
73612	1
73688	0
73689	0
73690	1
73691	1
73692	1
73693	1
73694	1
73768	0
73769	0
73770	0
73771	1
73772	1
73773	1
73774	1
73850	0
73851	0
73852	1
73853	1
73854	1
73855	1
73856	1
73931	0
73932	0
73933	0
73934	1
73935	1
73936	1
73937	0
74012	0
74013	0
74014	1
74015	1
74016	1
74017	1
74018	0
74094	0
74095	0
74096	1
74097	1
74098	1
74099	0
74175	0
74176	0
74177	1
74178	1
74179	1
74180	1
74181	0
74256	0
74257	0
74258	1
74259	1
74260	1
74261	1
74337	0
74338	0
74339	1
74340	1
74341	1
74342	1
74419	0
74420	0
74421	1
74422	1
74423	1
74424	1
