BIO01_Mean	BIO02_Mean	BIO03_Mean	BIO04_Mean	BIO05_Mean	BIO06_Mean	BIO07_Mean	BIO08_Mean	BIO09_Mean	BIO10_Mean	BIO11_Mean	BIO12_Mean	BIO13_Mean	BIO14_Mean	BIO15_Mean	BIO16_Mean	BIO17_Mean	BIO18_Mean	BIO19_Mean	CDD_IDW1N10	CSDI_IDW1N10	CWD_IDW1N10	DTR_IDW1N10	FD_IDW1N10	GSL_IDW1N10	ID_IDW1N10	PRCPTOT_IDW1N10	R10MM_IDW1N10	R1MM_IDW1N10	R20MM_IDW1N10	R95P_IDW1N10	R99P_IDW1N10	RX1DAY_IDW1N10	RX5DAY_IDW1N10	SDII_IDW1N10	SU_IDW1N10	TN10P_IDW1N10	TN90P_IDW1N10	TNN_IDW1N10	TNX_IDW1N10	TR_IDW1N10	TX10P_IDW1N10	TX90P_IDW1N10	TXN_IDW1N10	TXX_IDW1N10	WSDI_IDW1N10
BIO01_Mean	1.000000	0.398406	0.420282	-0.270999	0.875294	0.926118	0.053966	0.944198	0.862841	0.941486	0.962086	0.049688	0.176917	-0.563528	0.645135	0.164105	-0.486503	-0.053079	-0.580611	0.449020	0.632883	-0.225818	0.107896	-0.942642	0.930647	-0.850850	-0.295533	-0.288845	-0.214879	-0.328655	-0.267983	-0.200687	-0.190450	-0.220923	-0.264636	0.885011	0.390042	-0.642214	0.939824	0.883056	0.865424	0.467082	-0.678494	0.923878	0.856802	0.161960
BIO02_Mean	0.398406	1.000000	-0.023314	0.590091	0.696273	0.057374	0.816174	0.476739	0.439767	0.619418	0.190779	-0.725361	-0.592528	-0.495470	0.462687	-0.626194	-0.585608	-0.617425	-0.347660	0.835163	0.509990	-0.505271	0.651895	-0.393289	0.385693	-0.387548	-0.617188	-0.647633	-0.762562	-0.540914	-0.610422	-0.615008	-0.527005	-0.544779	-0.449788	0.345591	-0.164368	-0.195270	0.315324	0.628216	0.362245	-0.349028	-0.141231	0.288809	0.637003	0.226696
BIO03_Mean	0.420282	-0.023314	1.000000	-0.727952	0.036714	0.559068	-0.589879	0.493388	0.155849	0.171107	0.570892	0.524861	0.516280	-0.334639	0.263671	0.532579	-0.222279	0.606452	-0.520540	-0.039437	-0.121109	0.570559	-0.004145	-0.498513	0.527381	-0.585068	0.413987	0.367971	0.429306	0.359876	0.455193	0.508842	0.414504	0.450625	0.284958	0.309178	0.197318	-0.366971	0.485704	0.152673	0.246884	0.457517	-0.429062	0.531886	0.095323	-0.655246
BIO04_Mean	-0.270999	0.590091	-0.727952	1.000000	0.186451	-0.591839	0.909707	-0.227677	-0.076284	0.061321	-0.521153	-0.819089	-0.802507	0.089765	-0.159752	-0.828911	-0.095755	-0.695642	0.267097	0.519355	0.205416	-0.680868	0.481935	0.320097	-0.334263	0.344553	-0.625618	-0.645369	-0.783020	-0.523602	-0.633452	-0.680518	-0.573124	-0.586674	-0.435543	-0.255076	-0.480496	0.415137	-0.386412	0.060852	-0.211076	-0.771244	0.481316	-0.444035	0.115975	0.490761
BIO05_Mean	0.875294	0.696273	0.036714	0.186451	1.000000	0.658686	0.516248	0.821381	0.870288	0.979953	0.728390	-0.371611	-0.198996	-0.560377	0.663303	-0.229658	-0.550936	-0.468643	-0.456309	0.672097	0.758329	-0.546306	0.317463	-0.798080	0.773923	-0.683826	-0.598417	-0.584266	-0.577881	-0.585529	-0.590629	-0.554157	-0.476122	-0.526517	-0.466982	0.797297	0.234045	-0.539159	0.772122	0.938073	0.804283	0.164076	-0.530564	0.738763	0.936993	0.435246
BIO06_Mean	0.926118	0.057374	0.559068	-0.591839	0.658686	1.000000	-0.304354	0.847930	0.755158	0.757201	0.987541	0.362276	0.463850	-0.441865	0.571983	0.460549	-0.299675	0.208444	-0.516859	0.139404	0.449838	0.041344	-0.128297	-0.879141	0.872400	-0.803454	-0.011648	0.006144	0.112070	-0.075681	0.011563	0.079893	0.067442	0.036474	-0.038835	0.815129	0.509784	-0.676962	0.904967	0.698424	0.784544	0.682697	-0.735891	0.909271	0.659479	0.000840
BIO07_Mean	0.053966	0.816174	-0.589879	0.909707	0.516248	-0.304354	1.000000	0.074710	0.242225	0.378734	-0.201928	-0.882819	-0.779905	-0.206483	0.188681	-0.814965	-0.356378	-0.830561	0.010629	0.692196	0.448014	-0.738682	0.547942	-0.009685	-0.013224	0.048809	-0.744336	-0.746673	-0.859160	-0.655134	-0.760896	-0.792500	-0.679535	-0.708086	-0.546994	0.081557	-0.283961	0.087979	-0.052573	0.392617	0.125213	-0.569360	0.165935	-0.099705	0.435580	0.550064
BIO08_Mean	0.944198	0.476739	0.493388	-0.227677	0.821381	0.847930	0.074710	1.000000	0.746353	0.888976	0.897218	0.001414	0.115988	-0.560585	0.602644	0.100104	-0.474409	-0.012893	-0.601336	0.505399	0.579023	-0.155717	0.193142	-0.899893	0.892975	-0.830402	-0.234307	-0.246264	-0.227750	-0.245530	-0.200489	-0.147322	-0.118456	-0.144018	-0.186263	0.790370	0.305551	-0.578831	0.885435	0.840354	0.787441	0.374648	-0.621889	0.876425	0.804124	0.055405
BIO09_Mean	0.862841	0.439767	0.155849	-0.076284	0.870288	0.755158	0.242225	0.746353	1.000000	0.883120	0.792286	-0.084077	0.095678	-0.500323	0.711583	0.066686	-0.454109	-0.250672	-0.399943	0.462956	0.669409	-0.370557	0.158723	-0.809870	0.792808	-0.714335	-0.425256	-0.407488	-0.343972	-0.444973	-0.410138	-0.358734	-0.312412	-0.360463	-0.347308	0.802116	0.380418	-0.666671	0.789482	0.856279	0.779014	0.385719	-0.670926	0.775535	0.834953	0.282303
BIO10_Mean	0.941486	0.619418	0.171107	0.061321	0.979953	0.757201	0.378734	0.888976	0.883120	1.000000	0.819232	-0.233824	-0.087633	-0.552079	0.636650	-0.111018	-0.540426	-0.315929	-0.506405	0.634660	0.721729	-0.465844	0.277421	-0.866452	0.849114	-0.764947	-0.524073	-0.519257	-0.486146	-0.525701	-0.501072	-0.446522	-0.401944	-0.439761	-0.431538	0.831217	0.247098	-0.541338	0.839543	0.937531	0.824781	0.226183	-0.552562	0.806140	0.928686	0.343294
BIO11_Mean	0.962086	0.190779	0.570892	-0.521153	0.728390	0.987541	-0.201928	0.897218	0.792286	0.819232	1.000000	0.271417	0.383213	-0.524285	0.625297	0.378818	-0.405580	0.137737	-0.587933	0.248126	0.499487	-0.007778	-0.038238	-0.925694	0.919025	-0.852348	-0.087669	-0.074037	0.031456	-0.146573	-0.062609	0.010242	-0.011436	-0.035539	-0.115480	0.856968	0.482234	-0.693006	0.941070	0.766937	0.826760	0.631899	-0.742090	0.944465	0.728068	0.008974
BIO12_Mean	0.049688	-0.725361	0.524861	-0.819089	-0.371611	0.362276	-0.882819	0.001414	-0.084077	-0.233824	0.271417	1.000000	0.943044	0.213118	-0.108965	0.964096	0.337300	0.911168	0.018083	-0.627639	-0.442075	0.639007	-0.456519	-0.078790	0.104795	-0.135732	0.657797	0.655866	0.772566	0.567161	0.684175	0.730695	0.613908	0.640383	0.464874	-0.032599	0.206443	-0.101050	0.107275	-0.293913	-0.096809	0.518514	-0.179289	0.145263	-0.330918	-0.466395
BIO13_Mean	0.176917	-0.592528	0.516280	-0.802507	-0.198996	0.463850	-0.779905	0.115988	0.095678	-0.087633	0.383213	0.943044	1.000000	0.042787	0.171672	0.993689	0.211058	0.816982	-0.080403	-0.530216	-0.293895	0.621465	-0.426036	-0.190069	0.208609	-0.222537	0.622793	0.628095	0.685128	0.546849	0.639400	0.676777	0.622044	0.620454	0.507665	0.076104	0.344137	-0.322043	0.220238	-0.140634	0.025951	0.621778	-0.382229	0.266566	-0.187791	-0.409295
BIO14_Mean	-0.563528	-0.495470	-0.334639	0.089765	-0.560377	-0.441865	-0.206483	-0.560585	-0.500323	-0.552079	-0.524285	0.213118	0.042787	1.000000	-0.671106	0.054132	0.895027	0.217316	0.841919	-0.479817	-0.562933	0.058465	-0.108174	0.571054	-0.546749	0.464853	0.203103	0.202934	0.219783	0.209027	0.205942	0.163048	0.178808	0.172829	0.165607	-0.620275	-0.435857	0.591785	-0.604771	-0.611374	-0.660407	-0.346100	0.539996	-0.613633	-0.581652	-0.076873
BIO15_Mean	0.645135	0.462687	0.263671	-0.159752	0.663303	0.571983	0.188681	0.602644	0.711583	0.636650	0.625297	-0.108965	0.171672	-0.671106	1.000000	0.125283	-0.565733	-0.228823	-0.551607	0.389709	0.584040	-0.020846	0.105018	-0.623770	0.600323	-0.537179	-0.129537	-0.107388	-0.166435	-0.126090	-0.142558	-0.129327	-0.044743	-0.097409	-0.023030	0.612665	0.554544	-0.830016	0.637389	0.666168	0.640012	0.500544	-0.820044	0.676858	0.616464	0.068726
BIO16_Mean	0.164105	-0.626194	0.532579	-0.828911	-0.229658	0.460549	-0.814965	0.100104	0.066686	-0.111018	0.378818	0.964096	0.993689	0.054132	0.125283	1.000000	0.208803	0.839438	-0.092009	-0.560809	-0.317759	0.637830	-0.449779	-0.182990	0.202489	-0.217441	0.639003	0.645274	0.724908	0.554757	0.656500	0.699176	0.620979	0.628469	0.493350	0.074776	0.339889	-0.292729	0.217814	-0.163438	0.021791	0.623595	-0.356214	0.263255	-0.209911	-0.424319
BIO17_Mean	-0.486503	-0.585608	-0.222279	-0.095755	-0.550936	-0.299675	-0.356378	-0.474409	-0.454109	-0.540426	-0.405580	0.337300	0.211058	0.895027	-0.565733	0.208803	1.000000	0.301827	0.859366	-0.563958	-0.515788	0.150819	-0.228012	0.512494	-0.492889	0.423752	0.323844	0.330335	0.309017	0.333384	0.321483	0.259832	0.339701	0.293748	0.344809	-0.553144	-0.259717	0.433132	-0.518205	-0.584458	-0.576183	-0.137697	0.371181	-0.516568	-0.563978	-0.101666
BIO18_Mean	-0.053079	-0.617425	0.606452	-0.695642	-0.468643	0.208444	-0.830561	-0.012893	-0.250672	-0.315929	0.137737	0.911168	0.816982	0.217316	-0.228823	0.839438	0.301827	1.000000	-0.018308	-0.519474	-0.517844	0.680135	-0.303979	0.013877	0.022356	-0.081230	0.684028	0.642419	0.695650	0.622959	0.727100	0.763788	0.654177	0.701054	0.513690	-0.190791	0.029311	0.071074	-0.014587	-0.385652	-0.256246	0.309947	-0.016006	0.017220	-0.421612	-0.613070
BIO19_Mean	-0.580611	-0.347660	-0.520540	0.267097	-0.456309	-0.516859	0.010629	-0.601336	-0.399943	-0.506405	-0.587933	0.018083	-0.080403	0.841919	-0.551607	-0.092009	0.859366	-0.018308	1.000000	-0.338912	-0.381203	-0.120901	-0.080769	0.607079	-0.589932	0.499662	0.041644	0.047305	-0.030606	0.086546	0.028476	-0.041036	0.062297	0.018193	0.134042	-0.603885	-0.387745	0.530390	-0.635178	-0.514390	-0.616407	-0.418528	0.534794	-0.668276	-0.471819	0.112577
CDD_IDW1N10	0.449020	0.835163	-0.039437	0.519355	0.672097	0.139404	0.692196	0.505399	0.462956	0.634660	0.248126	-0.627639	-0.530216	-0.479817	0.389709	-0.560809	-0.563958	-0.519474	-0.338912	1.000000	0.584363	-0.596574	0.658650	-0.465031	0.450752	-0.395534	-0.718082	-0.759853	-0.849691	-0.642529	-0.695862	-0.685003	-0.618241	-0.626087	-0.532388	0.456654	-0.177131	-0.133737	0.382023	0.679829	0.465451	-0.347853	-0.093095	0.350288	0.704555	0.263940
CSDI_IDW1N10	0.632883	0.509990	-0.121109	0.205416	0.758329	0.449838	0.448014	0.579023	0.669409	0.721729	0.499487	-0.442075	-0.293895	-0.562933	0.584040	-0.317759	-0.515788	-0.517844	-0.381203	0.584363	1.000000	-0.551987	0.046024	-0.581701	0.546838	-0.446996	-0.572142	-0.539053	-0.562235	-0.550148	-0.572070	-0.543325	-0.451484	-0.503802	-0.404876	0.701888	0.544285	-0.569174	0.636540	0.817540	0.767170	0.263049	-0.520787	0.588187	0.806235	0.555671
CWD_IDW1N10	-0.225818	-0.505271	0.570559	-0.680868	-0.546306	0.041344	-0.738682	-0.155717	-0.370557	-0.465844	-0.007778	0.639007	0.621465	0.058465	-0.020846	0.637830	0.150819	0.680135	-0.120901	-0.596574	-0.551987	1.000000	-0.442120	0.212883	-0.177412	0.056915	0.941834	0.926813	0.804384	0.916720	0.936159	0.921034	0.865487	0.909498	0.814456	-0.374143	0.231543	-0.104706	-0.157925	-0.516237	-0.369908	0.351476	-0.119979	-0.093467	-0.589769	-0.759698
